,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Jordan,1.0,0.0,0.0,8.0,1.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,401.0,1.0,1.0,18.0,1.0,2.0,40.0,0.0,5.0,2.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,67.0,4.0,0.0,2.0,1.0,1.0,0.0,4.0,2.0,8.0,0.0,2.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,14.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,2.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,1.0,1.0,3.0,15.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,467.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,67.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
Norway,1.0,0.0,0.0,72.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,22.0,1.0,0.0,4.0,0.0,549.0,2.0,0.0,3.0,3.0,8.0,4.0,0.0,25.0,11.0,17.0,2.0,0.0,12.0,2.0,16.0,0.0,0.0,0.0,0.0,14.0,9.0,1.0,4.0,2.0,1.0,0.0,32.0,29.0,39.0,0.0,19.0,1.0,0.0,0.0,87.0,0.0,0.0,0.0,6.0,0.0,8.0,3.0,2.0,0.0,5.0,1.0,6.0,12.0,0.0,23.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,10.0,3.0,4.0,0.0,7.0,29.0,3.0,0.0,2.0,0.0,7.0,11.0,48.0,1.0,0.0,1.0,0.0,8.0,2.0,11.0,0.0,18.0,17.0,0.0,10.0,15.0,0.0,1.0,1.0,0.0,11.0,1.0,8.0,12.0,0.0,0.0,0.0,1.0,31.0
Puerto Rico,1.0,2.0,0.0,106.0,1.0,0.0,4.0,0.0,2.0,2.0,4.0,9.0,0.0,0.0,0.0,22.0,0.0,631.0,0.0,1.0,7.0,13.0,24.0,0.0,1.0,6.0,0.0,20.0,0.0,0.0,6.0,1.0,12.0,1.0,0.0,0.0,4.0,7.0,3.0,0.0,1.0,2.0,0.0,0.0,43.0,19.0,28.0,0.0,8.0,4.0,3.0,0.0,35.0,0.0,0.0,2.0,3.0,1.0,5.0,1.0,1.0,0.0,3.0,0.0,10.0,2.0,1.0,19.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,25.0,5.0,4.0,0.0,13.0,0.0,3.0,10.0,20.0,0.0,2.0,0.0,0.0,1.0,0.0,15.0,0.0,30.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,23.0,0.0,4.0,1.0,4.0,19.0
Papua New Guinea,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,55.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,4.0
Viet Nam,1.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,6.0,0.0,16.0,1.0,5.0,6.0,1.0,36.0,0.0,2173.0,3.0,0.0,11.0,11.0,105.0,3.0,0.0,33.0,0.0,17.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,1.0,13.0,9.0,2.0,2.0,2.0,1.0,0.0,3.0,23.0,631.0,2.0,16.0,3.0,0.0,0.0,51.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,17.0,8.0,6.0,10.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,11.0,190.0,4.0,0.0,3.0,1.0,9.0,0.0,9.0,0.0,11.0,5.0,11.0,0.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,7.0,1.0,9.0,9.0,0.0,0.0,0.0,5.0,8.0
Albania,0.0,24.0,0.0,265.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,305.0,0.0,2979.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,0.0,36.0,2.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,43.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,49.0
Australia,0.0,11.0,7.0,163.0,2.0,9.0,17.0,31.0,18.0,3.0,30.0,17.0,133.0,2.0,3.0,63.0,0.0,2525.0,2.0,0.0,60.0,39.0,30.0,39.0,0.0,92.0,3.0,130.0,9.0,0.0,19.0,59.0,73.0,2.0,0.0,13.0,0.0,98.0,27.0,7.0,41.0,10.0,5.0,150.0,34.0,103.0,133.0,4.0,54.0,29.0,9.0,0.0,1154.0,531.0,0.0,3.0,23.0,2.0,38.0,34.0,1.0,1.0,5.0,0.0,46.0,88.0,2.0,213.0,52.0,1.0,0.0,19.0,15.0,50.0,12.0,10.0,26.0,38.0,30.0,11.0,29.0,161.0,4.0,0.0,28.0,8.0,46.0,99.0,40.0,8.0,13.0,5.0,0.0,13.0,3.0,46.0,2.0,228.0,18.0,28.0,4.0,75.0,5.0,10.0,6.0,3.0,34.0,0.0,42.0,29.0,2.0,27.0,0.0,29.0,95.0
Kuwait,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,194.0,0.0,0.0,1.0,1.0,0.0,34.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,14.0,6.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0
Zimbabwe,0.0,7.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,0.0,251.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,1.0,17.0,6.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,36.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,10.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,3.0,17.0,1.0,0.0,0.0,20.0,0.0,0.0,12.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,13.0,0.0,58.0,0.0,0.0,0.0,0.0,5.0,1.0
Egypt,0.0,2.0,0.0,199.0,0.0,1.0,25.0,0.0,6.0,2.0,12.0,3.0,2.0,26.0,29.0,11.0,0.0,1414.0,1.0,0.0,3.0,2.0,14.0,335.0,0.0,15.0,1.0,602.0,2.0,1.0,1.0,0.0,26.0,1.0,1.0,12.0,1.0,354.0,12.0,2.0,5.0,0.0,3.0,0.0,9.0,28.0,83.0,1.0,9.0,2.0,1.0,0.0,55.0,1.0,0.0,0.0,0.0,0.0,19.0,2.0,2.0,0.0,3.0,0.0,7.0,80.0,8.0,71.0,2.0,0.0,1.0,0.0,1.0,86.0,2.0,0.0,25.0,14.0,178.0,0.0,2.0,2.0,2.0,0.0,2.0,19.0,9.0,34.0,19.0,0.0,10.0,16.0,0.0,7.0,4.0,19.0,0.0,11.0,25.0,1.0,2.0,4.0,5.0,2.0,0.0,0.0,31.0,0.0,8.0,61.0,1.0,2.0,0.0,18.0,12.0
Myanmar,0.0,1.0,1.0,30.0,1.0,8.0,10.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,0.0,376.0,0.0,0.0,2.0,7.0,13.0,1.0,0.0,32.0,0.0,3.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,11.0,5.0,19.0,1.0,21.0,4.0,1.0,0.0,18.0,0.0,3.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,3.0,0.0,6.0,11.0,0.0,32.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,10.0,7.0,0.0,1.0,0.0,8.0,1.0,3.0,0.0,6.0,3.0,5.0,0.0,3.0,1.0,0.0,23.0,1.0,14.0,0.0,8.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
Serbia,0.0,1.0,0.0,8.0,0.0,7.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,8.0,0.0,459.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0,5.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,13.0
China,0.0,38.0,3.0,873.0,2.0,23.0,30.0,0.0,66.0,5.0,16.0,26.0,60.0,164.0,9.0,432.0,2.0,15711.0,29.0,12.0,157.0,138.0,92.0,63.0,3.0,610.0,130.0,307.0,74.0,1.0,89.0,12.0,360.0,4.0,0.0,16.0,10.0,250.0,43.0,3.0,25.0,22.0,32.0,3.0,59.0,436.0,314.0,100.0,285.0,42.0,15.0,0.0,1543.0,53.0,12.0,8.0,10.0,11.0,37.0,18.0,4.0,3.0,20.0,4.0,560.0,200.0,33.0,792.0,63.0,28.0,8.0,3.0,16.0,3165.0,6.0,27.0,92.0,9216.0,75.0,3.0,59.0,133.0,14.0,6.0,56.0,19.0,1027.0,88.0,178.0,1.0,16.0,58.0,0.0,51.0,2.0,61.0,1.0,392.0,67.0,11.0,21.0,52.0,1.0,11.0,7.0,4.0,183.0,3.0,84.0,345.0,3.0,8.0,0.0,58.0,231.0
Germany,0.0,15.0,13.0,843.0,51.0,39.0,13.0,1.0,33.0,7.0,105.0,49.0,60.0,21.0,5.0,137.0,8.0,9251.0,3.0,83.0,49.0,177.0,49.0,110.0,6.0,309.0,38.0,160.0,14.0,0.0,142.0,7.0,206.0,3.0,0.0,9.0,27.0,151.0,26.0,1.0,26.0,22.0,15.0,0.0,88.0,191.0,217.0,41.0,298.0,171.0,8.0,0.0,1275.0,5.0,3.0,6.0,10.0,11.0,34.0,11.0,9.0,0.0,192.0,0.0,97.0,112.0,99.0,837.0,47.0,6.0,0.0,2.0,29.0,60.0,6.0,25.0,51.0,58.0,83.0,2.0,34.0,145.0,20.0,68.0,58.0,27.0,151.0,102.0,329.0,0.0,9.0,17.0,3.0,12.0,20.0,127.0,1.0,166.0,39.0,24.0,16.0,39.0,0.0,17.0,7.0,4.0,135.0,11.0,50.0,70.0,0.0,109.0,0.0,53.0,131.0
Indonesia,0.0,18.0,2.0,87.0,0.0,5.0,2.0,0.0,2.0,0.0,4.0,16.0,0.0,11.0,1.0,68.0,0.0,2778.0,0.0,0.0,25.0,19.0,174.0,19.0,0.0,92.0,0.0,26.0,0.0,0.0,6.0,0.0,24.0,5.0,0.0,7.0,0.0,42.0,2.0,1.0,0.0,12.0,2.0,37.0,257.0,67.0,71.0,14.0,28.0,7.0,1.0,0.0,213.0,4.0,0.0,1.0,3.0,1.0,17.0,10.0,0.0,0.0,1.0,1.0,40.0,49.0,3.0,39.0,11.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,19.0,28.0,36.0,0.0,4.0,6.0,0.0,0.0,73.0,39.0,25.0,9.0,19.0,1.0,6.0,4.0,0.0,3.0,1.0,5.0,0.0,29.0,1.0,0.0,3.0,6.0,0.0,1.0,0.0,1.0,61.0,0.0,18.0,22.0,0.0,0.0,0.0,8.0,37.0
Turkey,0.0,20.0,0.0,64.0,2.0,17.0,12.0,0.0,3.0,1.0,57.0,1.0,2.0,2.0,0.0,19.0,13.0,1238.0,1.0,2.0,22.0,13.0,4.0,66.0,1.0,26.0,51.0,21.0,6.0,1.0,8.0,0.0,42.0,0.0,0.0,0.0,0.0,277.0,26.0,0.0,0.0,4.0,1.0,0.0,27.0,52.0,30.0,4.0,72.0,3.0,1.0,0.0,123.0,0.0,0.0,0.0,1.0,2.0,27.0,4.0,0.0,0.0,2.0,0.0,9.0,50.0,2.0,111.0,33.0,16.0,0.0,0.0,25.0,19.0,0.0,21.0,1.0,27.0,49.0,0.0,40.0,254.0,3.0,0.0,20.0,31.0,65.0,70.0,58.0,0.0,63.0,3.0,0.0,3.0,11.0,57.0,0.0,32.0,16.0,0.0,15.0,9.0,0.0,6.0,0.0,0.0,100.0,1.0,28.0,7.0,1.0,17.0,11.0,10.0,31.0
Congo,0.0,21.0,0.0,21.0,0.0,0.0,0.0,1.0,1.0,3.0,21.0,3.0,0.0,24.0,3.0,12.0,49.0,271.0,0.0,0.0,1.0,5.0,18.0,1.0,3.0,1344.0,2.0,31.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,8.0,3.0,2.0,0.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,0.0,15.0,3.0,0.0,0.0,36.0,0.0,0.0,11.0,3.0,2.0,7.0,0.0,0.0,0.0,8.0,1.0,16.0,90.0,11.0,221.0,5.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,33.0,0.0,1.0,28.0,1.0,0.0,2.0,19.0,11.0,64.0,0.0,0.0,2.0,7.0,0.0,1.0,24.0,54.0,0.0,25.0,16.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,15.0,0.0,11.0,2.0,1.0,2.0,1.0,22.0,51.0
Ukraine,0.0,198.0,0.0,1018.0,1.0,66.0,91.0,0.0,2.0,2.0,16.0,2.0,8.0,369.0,1.0,105.0,6.0,10466.0,1.0,17.0,359.0,8.0,18.0,654.0,8.0,378.0,46.0,44.0,10.0,1.0,6.0,2.0,44.0,0.0,0.0,2.0,9.0,165.0,40.0,1.0,4.0,77.0,67.0,1.0,59.0,141.0,85.0,4.0,30.0,13.0,4.0,0.0,531.0,1.0,3.0,1.0,3.0,0.0,31.0,71.0,0.0,2.0,10.0,1.0,47.0,105.0,5.0,1547.0,6.0,4.0,0.0,1.0,7.0,10.0,0.0,67.0,1.0,33.0,572.0,4.0,261.0,10.0,19.0,1.0,64.0,188.0,36.0,67.0,24.0,0.0,8.0,0.0,0.0,18.0,1.0,73.0,0.0,42.0,23.0,3.0,28.0,42.0,2.0,2.0,2.0,0.0,314.0,24.0,106.0,40.0,1.0,8.0,0.0,20.0,39.0
Mexico,0.0,2.0,2.0,227.0,5.0,18.0,34.0,0.0,3.0,43.0,33.0,22.0,9.0,52.0,5.0,66.0,0.0,3572.0,10.0,0.0,23.0,20.0,137.0,24.0,1.0,61.0,2.0,24.0,7.0,1.0,5.0,3.0,39.0,0.0,0.0,1.0,2.0,56.0,6.0,0.0,7.0,23.0,2.0,0.0,269.0,120.0,93.0,6.0,61.0,16.0,2.0,0.0,130.0,0.0,0.0,0.0,1.0,3.0,39.0,4.0,0.0,3.0,10.0,0.0,13.0,46.0,0.0,130.0,1.0,2.0,0.0,0.0,12.0,2.0,10.0,5.0,4.0,25.0,17.0,0.0,60.0,13.0,110.0,0.0,74.0,20.0,39.0,138.0,34.0,1.0,16.0,1.0,0.0,9.0,5.0,99.0,5.0,82.0,38.0,3.0,6.0,11.0,0.0,5.0,9.0,0.0,42.0,1.0,42.0,86.0,0.0,5.0,0.0,9.0,152.0
Iraq,0.0,11.0,0.0,77.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,361.0,8.0,8.0,104.0,563.0,0.0,0.0,2.0,0.0,4.0,204.0,0.0,214.0,2.0,151.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,3.0,1.0,82.0,20.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,1.0,6.0,7.0,0.0,0.0,2.0,0.0,12.0,7.0,30.0,29.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,16.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,27.0,0.0,14.0,21.0,1.0,3.0,6.0,37.0,2.0
Bangladesh,0.0,3.0,2.0,30.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,52.0,0.0,10.0,0.0,516.0,0.0,0.0,4.0,4.0,117.0,0.0,0.0,15.0,0.0,7.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,21.0,7.0,0.0,2.0,3.0,1.0,4.0,4.0,13.0,14.0,0.0,1.0,1.0,1.0,0.0,52.0,1.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,2.0,28.0,0.0,0.0,1.0,10.0,0.0,2.0,0.0,0.0,11.0,6.0,4.0,0.0,0.0,3.0,0.0,0.0,11.0,12.0,2.0,6.0,26.0,0.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,15.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,14.0,0.0,81.0,7.0,4.0,0.0,0.0,0.0,6.0
South Sudan,0.0,5.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,49.0,1.0,1.0,2.0,36.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,9.0,0.0,0.0,5.0,1.0
Ethiopia,0.0,4.0,5.0,13.0,0.0,3.0,4.0,0.0,2.0,0.0,1.0,2.0,4.0,20.0,5.0,4.0,3.0,240.0,0.0,1.0,1.0,1.0,3.0,9.0,1.0,78.0,0.0,14.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,2.0,0.0,8.0,3.0,3.0,0.0,5.0,1.0,0.0,3.0,9.0,8.0,0.0,12.0,6.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,2.0,0.0,3.0,85.0,1.0,143.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,2.0,18.0,0.0,4.0,5.0,2.0,1.0,7.0,6.0,3.0,7.0,5.0,0.0,3.0,13.0,0.0,7.0,7.0,14.0,0.0,1.0,2.0,1.0,4.0,4.0,11.0,1.0,0.0,6.0,32.0,0.0,4.0,4.0,13.0,0.0,0.0,9.0,7.0
Uganda,0.0,19.0,2.0,10.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,6.0,9.0,6.0,1.0,243.0,0.0,0.0,8.0,2.0,6.0,0.0,1.0,63.0,0.0,11.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,5.0,1.0,9.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,34.0,9.0,2.0,5.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,1.0,0.0,8.0,85.0,6.0,34.0,12.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,3.0,7.0,57.0,0.0,7.0,1.0,0.0,0.0,0.0,3.0,2.0,17.0,4.0,0.0,3.0,16.0,1.0,0.0,14.0,0.0,0.0,7.0,6.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,17.0,0.0,18.0,9.0,0.0,6.0,0.0,33.0,18.0
Kyrgyzstan,0.0,10.0,0.0,2.0,0.0,8.0,14.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,4.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,16.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,10.0,0.0,8.0,1.0,0.0,0.0,8.0,9.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,3.0,18.0,0.0,0.0,0.0,2.0,1.0
South Africa,0.0,1.0,1.0,46.0,3.0,2.0,8.0,0.0,9.0,3.0,2.0,22.0,1.0,11.0,15.0,55.0,1.0,1555.0,0.0,0.0,40.0,5.0,10.0,9.0,0.0,157.0,2.0,70.0,4.0,0.0,20.0,1.0,43.0,0.0,0.0,1.0,0.0,36.0,10.0,9.0,5.0,2.0,1.0,1.0,4.0,25.0,21.0,1.0,17.0,4.0,1.0,0.0,264.0,2.0,1.0,14.0,3.0,3.0,6.0,0.0,6.0,0.0,2.0,0.0,145.0,105.0,22.0,155.0,15.0,0.0,0.0,0.0,18.0,7.0,2.0,2.0,12.0,55.0,42.0,0.0,23.0,34.0,6.0,0.0,7.0,7.0,138.0,25.0,22.0,1.0,2.0,6.0,1.0,13.0,4.0,15.0,0.0,70.0,2.0,2.0,4.0,26.0,0.0,0.0,4.0,0.0,144.0,0.0,86.0,5.0,4.0,2.0,0.0,30.0,37.0
Greece,0.0,17.0,0.0,100.0,0.0,32.0,2.0,0.0,103.0,0.0,8.0,1.0,7.0,11.0,1.0,111.0,0.0,5743.0,1.0,0.0,3.0,82.0,4.0,6.0,1.0,94.0,0.0,9.0,3.0,0.0,13.0,0.0,12.0,0.0,0.0,3.0,0.0,223.0,28.0,1.0,13.0,2.0,1.0,0.0,8.0,7.0,11.0,7.0,11.0,16.0,2.0,0.0,71.0,0.0,1.0,2.0,3.0,25.0,64.0,0.0,0.0,0.0,4.0,0.0,13.0,18.0,1.0,122.0,2.0,0.0,0.0,0.0,6.0,154.0,0.0,0.0,3.0,8.0,8.0,0.0,3.0,6.0,0.0,0.0,5.0,53.0,29.0,32.0,60.0,0.0,1.0,2.0,0.0,41.0,0.0,44.0,0.0,25.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,10.0,6.0,59.0,12.0,2.0,1.0,14.0
