,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Peru,2.0,0.0,2.0,139.0,1.0,7.0,6.0,0.0,6.0,7.0,5.0,4.0,1.0,3.0,0.0,33.0,0.0,1730.0,8.0,0.0,3.0,5.0,58.0,10.0,2.0,18.0,0.0,12.0,0.0,0.0,1.0,3.0,14.0,1.0,0.0,2.0,2.0,16.0,3.0,2.0,1.0,14.0,2.0,1.0,44.0,51.0,15.0,0.0,11.0,0.0,1.0,0.0,44.0,0.0,2.0,0.0,6.0,7.0,14.0,2.0,0.0,0.0,4.0,0.0,7.0,14.0,1.0,97.0,30.0,1.0,0.0,1.0,0.0,5.0,0.0,2.0,6.0,27.0,39.0,0.0,22.0,3.0,2.0,1.0,46.0,16.0,4.0,43.0,12.0,0.0,5.0,7.0,0.0,1.0,0.0,230.0,2.0,15.0,13.0,0.0,12.0,5.0,0.0,0.0,3.0,2.0,27.0,0.0,7.0,15.0,1.0,1.0,0.0,9.0,34.0
Namibia,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0
Hong Kong,1.0,3.0,1.0,136.0,2.0,21.0,3.0,0.0,4.0,4.0,0.0,4.0,7.0,4.0,7.0,66.0,2.0,2581.0,1.0,0.0,93.0,10.0,16.0,12.0,2.0,136.0,2.0,82.0,6.0,0.0,13.0,10.0,24.0,0.0,0.0,2.0,0.0,74.0,40.0,0.0,9.0,4.0,9.0,0.0,17.0,65.0,36.0,13.0,43.0,20.0,2.0,0.0,226.0,3.0,0.0,1.0,4.0,7.0,4.0,1.0,2.0,0.0,15.0,0.0,24.0,22.0,5.0,37.0,5.0,0.0,0.0,2.0,5.0,54.0,2.0,4.0,57.0,99.0,13.0,0.0,7.0,8.0,3.0,0.0,11.0,2.0,106.0,32.0,33.0,1.0,1.0,3.0,1.0,3.0,2.0,9.0,1.0,109.0,6.0,3.0,1.0,7.0,0.0,0.0,4.0,3.0,21.0,1.0,52.0,434.0,1.0,7.0,0.0,4.0,22.0
Morocco,2.0,19.0,0.0,40.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,7.0,123.0,1.0,2400.0,0.0,0.0,34.0,0.0,2.0,60.0,1.0,141.0,3.0,212.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,71.0,10.0,0.0,13.0,0.0,0.0,0.0,3.0,3.0,39.0,1.0,8.0,1.0,0.0,0.0,258.0,0.0,0.0,0.0,1.0,6.0,5.0,1.0,0.0,0.0,1.0,0.0,23.0,14.0,12.0,44.0,1.0,1.0,0.0,1.0,0.0,28.0,1.0,0.0,9.0,2.0,13.0,0.0,9.0,27.0,1.0,0.0,5.0,2.0,23.0,28.0,48.0,1.0,0.0,1.0,1.0,1.0,0.0,13.0,0.0,15.0,8.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,26.0,0.0,7.0,32.0,1.0,0.0,0.0,4.0,36.0
Slovenia,1.0,0.0,0.0,26.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,518.0,0.0,0.0,3.0,5.0,2.0,1.0,0.0,9.0,1.0,6.0,1.0,0.0,4.0,1.0,16.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,11.0,2.0,5.0,3.0,0.0,0.0,32.0,0.0,1.0,0.0,39.0,0.0,5.0,2.0,1.0,0.0,5.0,0.0,6.0,2.0,0.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,8.0,2.0,32.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0
Netherlands,6.0,2.0,2.0,783.0,2.0,19.0,3.0,0.0,11.0,3.0,6.0,4.0,6.0,1.0,1.0,13.0,0.0,901.0,1.0,3.0,19.0,18.0,8.0,8.0,0.0,54.0,3.0,27.0,0.0,0.0,6.0,7.0,39.0,3.0,0.0,0.0,1.0,18.0,7.0,0.0,10.0,6.0,1.0,0.0,9.0,37.0,34.0,5.0,19.0,6.0,0.0,0.0,92.0,0.0,2.0,0.0,44.0,0.0,13.0,3.0,0.0,0.0,12.0,0.0,15.0,9.0,3.0,18.0,32.0,2.0,0.0,0.0,14.0,4.0,2.0,2.0,18.0,8.0,18.0,4.0,11.0,32.0,2.0,3.0,27.0,10.0,15.0,46.0,41.0,0.0,24.0,0.0,0.0,5.0,5.0,15.0,0.0,24.0,6.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,19.0,0.0,9.0,14.0,1.0,2.0,0.0,5.0,21.0
Thailand,2.0,10.0,2.0,28.0,4.0,21.0,11.0,0.0,4.0,0.0,15.0,25.0,3.0,8.0,3.0,33.0,3.0,1123.0,4.0,0.0,13.0,12.0,34.0,10.0,0.0,87.0,8.0,107.0,9.0,3.0,3.0,0.0,35.0,1.0,0.0,19.0,1.0,119.0,2.0,2.0,13.0,1.0,5.0,1.0,12.0,24.0,31.0,32.0,17.0,4.0,2.0,0.0,209.0,1.0,2.0,0.0,5.0,4.0,22.0,11.0,1.0,0.0,19.0,0.0,12.0,38.0,2.0,60.0,16.0,13.0,0.0,6.0,6.0,4.0,0.0,15.0,12.0,25.0,19.0,0.0,45.0,18.0,3.0,0.0,30.0,9.0,7.0,39.0,17.0,0.0,3.0,9.0,0.0,20.0,4.0,6.0,3.0,49.0,28.0,0.0,9.0,6.0,0.0,8.0,3.0,2.0,78.0,11.0,28.0,16.0,0.0,11.0,4.0,16.0,45.0
Svalbard and Jan Mayen,1.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra Leone,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,4.0,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,566.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,8.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,4.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,5.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,25.0,1.0,0.0,1.0,1.0,4.0,1.0
Germany,9.0,9.0,11.0,1367.0,9.0,25.0,3.0,0.0,31.0,3.0,63.0,9.0,31.0,12.0,5.0,101.0,26.0,6075.0,2.0,98.0,46.0,78.0,40.0,59.0,0.0,253.0,52.0,91.0,15.0,1.0,85.0,6.0,173.0,2.0,0.0,4.0,28.0,63.0,20.0,2.0,20.0,40.0,10.0,1.0,60.0,141.0,107.0,26.0,125.0,113.0,4.0,0.0,1173.0,3.0,0.0,5.0,61.0,3.0,31.0,7.0,3.0,0.0,35.0,0.0,83.0,64.0,64.0,425.0,32.0,3.0,3.0,0.0,29.0,47.0,3.0,15.0,42.0,22.0,134.0,1.0,14.0,257.0,17.0,13.0,56.0,16.0,87.0,73.0,170.0,0.0,3.0,1.0,0.0,14.0,14.0,65.0,1.0,87.0,28.0,4.0,37.0,21.0,1.0,17.0,2.0,0.0,88.0,4.0,50.0,37.0,1.0,133.0,0.0,14.0,118.0
Croatia,1.0,64.0,0.0,34.0,1.0,2.0,4.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,311.0,0.0,1.0,6.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,13.0,0.0,5.0,2.0,0.0,0.0,27.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,1.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,122.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,8.0,6.0,0.0,0.0,3.0,1.0,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0
Serbia,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,181.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,3.0,16.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,13.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,1.0,1.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,2.0
Argentina,2.0,10.0,0.0,72.0,2.0,41.0,83.0,0.0,9.0,42.0,14.0,24.0,9.0,16.0,3.0,15.0,0.0,1531.0,0.0,2.0,29.0,44.0,105.0,13.0,0.0,63.0,18.0,11.0,10.0,0.0,5.0,4.0,41.0,2.0,0.0,14.0,0.0,32.0,9.0,3.0,6.0,19.0,346.0,0.0,42.0,91.0,44.0,2.0,32.0,2.0,1.0,0.0,122.0,0.0,0.0,0.0,192.0,28.0,680.0,27.0,0.0,1.0,1.0,0.0,28.0,20.0,1.0,146.0,17.0,5.0,0.0,0.0,4.0,5.0,0.0,0.0,40.0,144.0,163.0,0.0,40.0,46.0,7.0,0.0,76.0,252.0,19.0,127.0,13.0,13.0,9.0,2.0,0.0,8.0,2.0,103.0,0.0,184.0,33.0,4.0,11.0,19.0,0.0,38.0,10.0,0.0,73.0,0.0,33.0,31.0,0.0,12.0,0.0,60.0,123.0
Kenya,5.0,7.0,0.0,31.0,1.0,4.0,4.0,0.0,2.0,0.0,0.0,20.0,8.0,41.0,18.0,4.0,0.0,467.0,5.0,0.0,8.0,1.0,4.0,3.0,1.0,233.0,6.0,40.0,2.0,2.0,3.0,0.0,11.0,0.0,0.0,6.0,1.0,50.0,10.0,0.0,5.0,4.0,0.0,0.0,4.0,14.0,7.0,1.0,14.0,4.0,1.0,0.0,41.0,0.0,0.0,1.0,1.0,5.0,6.0,4.0,0.0,0.0,2.0,0.0,5.0,79.0,15.0,106.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,13.0,5.0,17.0,1.0,2.0,0.0,9.0,8.0,2.0,37.0,11.0,0.0,0.0,14.0,0.0,12.0,11.0,6.0,0.0,4.0,5.0,0.0,6.0,26.0,7.0,5.0,2.0,1.0,23.0,0.0,41.0,2.0,17.0,0.0,0.0,36.0,7.0
Switzerland,1.0,10.0,0.0,118.0,1.0,3.0,2.0,0.0,8.0,6.0,14.0,5.0,7.0,85.0,9.0,28.0,0.0,1408.0,0.0,1.0,44.0,19.0,22.0,14.0,1.0,219.0,3.0,35.0,3.0,0.0,4.0,2.0,40.0,0.0,0.0,1.0,0.0,17.0,14.0,1.0,16.0,3.0,1.0,1.0,9.0,41.0,42.0,22.0,61.0,10.0,0.0,0.0,146.0,0.0,0.0,2.0,5.0,5.0,11.0,0.0,1.0,0.0,11.0,0.0,45.0,107.0,15.0,139.0,7.0,0.0,0.0,0.0,4.0,8.0,3.0,2.0,10.0,26.0,16.0,10.0,5.0,30.0,8.0,0.0,5.0,3.0,12.0,18.0,46.0,0.0,0.0,1.0,0.0,2.0,4.0,125.0,0.0,71.0,8.0,3.0,1.0,6.0,1.0,1.0,1.0,0.0,38.0,4.0,79.0,28.0,2.0,12.0,0.0,20.0,43.0
Turkey,1.0,21.0,3.0,204.0,3.0,14.0,2.0,0.0,2.0,1.0,20.0,4.0,6.0,37.0,1.0,15.0,7.0,763.0,0.0,0.0,23.0,12.0,4.0,51.0,4.0,16.0,20.0,15.0,5.0,2.0,7.0,0.0,60.0,1.0,0.0,2.0,1.0,369.0,44.0,0.0,0.0,4.0,0.0,0.0,8.0,45.0,23.0,3.0,29.0,5.0,1.0,0.0,155.0,1.0,11.0,0.0,3.0,1.0,8.0,2.0,0.0,0.0,9.0,1.0,9.0,28.0,2.0,108.0,8.0,6.0,0.0,0.0,3.0,1.0,0.0,7.0,3.0,32.0,12.0,1.0,202.0,217.0,3.0,0.0,9.0,4.0,63.0,42.0,46.0,1.0,61.0,1.0,0.0,14.0,5.0,27.0,0.0,44.0,10.0,3.0,20.0,7.0,4.0,5.0,1.0,0.0,67.0,0.0,16.0,13.0,1.0,12.0,14.0,8.0,14.0
"Tanzania, United Republic of",1.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,7.0,2.0,5.0,1.0,127.0,0.0,0.0,8.0,2.0,3.0,2.0,0.0,298.0,1.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,2.0,4.0,3.0,0.0,2.0,0.0,27.0,0.0,1.0,3.0,5.0,0.0,3.0,0.0,1.0,0.0,15.0,1.0,1.0,1.0,0.0,0.0,10.0,57.0,0.0,0.0,1.0,0.0,2.0,62.0,97.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,2.0,2.0,6.0,3.0,6.0,0.0,3.0,0.0,3.0,2.0,2.0,7.0,10.0,0.0,1.0,15.0,0.0,18.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,14.0,0.0,11.0,5.0,0.0,0.0,0.0,6.0,7.0
"Korea, Republic of",1.0,2.0,0.0,91.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,8.0,0.0,11.0,1.0,819.0,0.0,1.0,27.0,12.0,6.0,1.0,0.0,24.0,0.0,32.0,2.0,0.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,23.0,4.0,0.0,3.0,2.0,8.0,0.0,1.0,35.0,21.0,5.0,12.0,6.0,1.0,0.0,102.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,8.0,0.0,32.0,3.0,7.0,0.0,1.0,1.0,5.0,0.0,2.0,4.0,14.0,2.0,1.0,3.0,9.0,1.0,1.0,1.0,0.0,7.0,6.0,2.0,0.0,1.0,9.0,0.0,12.0,0.0,3.0,0.0,13.0,1.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,7.0
New Zealand,1.0,4.0,2.0,14.0,2.0,4.0,0.0,0.0,15.0,0.0,1.0,1.0,6.0,3.0,0.0,16.0,0.0,440.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,20.0,0.0,14.0,0.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,25.0,2.0,0.0,1.0,0.0,0.0,0.0,66.0,6.0,19.0,0.0,8.0,4.0,0.0,0.0,114.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,45.0,24.0,0.0,0.0,0.0,4.0,1.0,2.0,4.0,12.0,15.0,5.0,1.0,0.0,14.0,0.0,0.0,14.0,1.0,2.0,10.0,17.0,31.0,4.0,0.0,0.0,3.0,0.0,6.0,1.0,20.0,4.0,3.0,0.0,18.0,0.0,0.0,0.0,2.0,5.0,0.0,3.0,8.0,0.0,0.0,0.0,2.0,0.0
Brazil,1.0,2.0,11.0,105.0,7.0,63.0,26.0,0.0,4.0,36.0,70.0,193.0,15.0,8.0,3.0,87.0,0.0,4775.0,1.0,18.0,21.0,40.0,262.0,11.0,0.0,42.0,2.0,48.0,1.0,0.0,39.0,23.0,68.0,2.0,0.0,11.0,0.0,146.0,20.0,8.0,5.0,136.0,3.0,1.0,23.0,289.0,81.0,9.0,101.0,77.0,12.0,0.0,165.0,1.0,0.0,4.0,0.0,75.0,125.0,22.0,0.0,0.0,7.0,1.0,18.0,60.0,1.0,504.0,235.0,0.0,2.0,1.0,4.0,32.0,2.0,4.0,46.0,35.0,636.0,0.0,207.0,9.0,35.0,0.0,400.0,303.0,23.0,131.0,32.0,1.0,2.0,32.0,0.0,20.0,8.0,293.0,1.0,415.0,156.0,35.0,63.0,42.0,2.0,1.0,11.0,3.0,96.0,0.0,21.0,132.0,3.0,7.0,0.0,205.0,456.0
Dominican Republic,1.0,0.0,2.0,24.0,0.0,9.0,29.0,0.0,0.0,5.0,13.0,5.0,3.0,56.0,0.0,23.0,0.0,1154.0,0.0,0.0,0.0,21.0,89.0,7.0,0.0,14.0,2.0,1.0,1.0,0.0,5.0,0.0,7.0,3.0,0.0,3.0,0.0,14.0,2.0,0.0,0.0,36.0,3.0,0.0,24.0,67.0,20.0,3.0,15.0,9.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,1.0,21.0,42.0,0.0,0.0,2.0,0.0,2.0,15.0,0.0,49.0,22.0,1.0,0.0,0.0,0.0,5.0,2.0,11.0,3.0,8.0,72.0,0.0,15.0,6.0,2.0,0.0,50.0,83.0,4.0,28.0,7.0,1.0,4.0,2.0,0.0,10.0,0.0,63.0,0.0,40.0,11.0,1.0,28.0,10.0,0.0,3.0,10.0,1.0,36.0,0.0,3.0,31.0,0.0,1.0,0.0,43.0,49.0
Bulgaria,3.0,0.0,4.0,35.0,3.0,8.0,13.0,0.0,1.0,0.0,55.0,3.0,9.0,2.0,0.0,22.0,7.0,1537.0,2.0,0.0,5.0,6.0,3.0,12.0,0.0,28.0,3.0,4.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,57.0,33.0,13.0,0.0,10.0,8.0,0.0,0.0,566.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,7.0,0.0,243.0,3.0,2.0,0.0,0.0,54.0,1.0,0.0,2.0,0.0,24.0,19.0,3.0,10.0,3.0,3.0,0.0,72.0,10.0,8.0,11.0,38.0,0.0,0.0,1.0,0.0,3.0,0.0,11.0,0.0,44.0,41.0,2.0,2.0,7.0,0.0,39.0,1.0,0.0,92.0,0.0,4.0,0.0,0.0,18.0,0.0,0.0,2.0
Czechia,0.0,20.0,5.0,107.0,12.0,9.0,7.0,0.0,28.0,12.0,17.0,28.0,25.0,12.0,38.0,79.0,0.0,1642.0,11.0,3.0,185.0,86.0,42.0,3.0,0.0,93.0,10.0,105.0,10.0,0.0,49.0,8.0,101.0,4.0,0.0,9.0,11.0,209.0,50.0,5.0,35.0,26.0,14.0,1.0,65.0,96.0,99.0,7.0,118.0,84.0,8.0,1.0,380.0,17.0,1.0,1.0,18.0,8.0,19.0,15.0,16.0,0.0,33.0,8.0,69.0,53.0,6.0,156.0,39.0,5.0,0.0,1.0,4.0,12.0,5.0,7.0,67.0,61.0,35.0,1.0,35.0,70.0,15.0,11.0,49.0,15.0,46.0,110.0,82.0,1.0,11.0,14.0,0.0,29.0,13.0,40.0,2.0,72.0,38.0,10.0,20.0,33.0,8.0,6.0,17.0,1.0,61.0,0.0,97.0,52.0,2.0,25.0,0.0,26.0,43.0
India,0.0,37.0,3.0,137.0,14.0,11.0,31.0,1.0,7.0,1.0,11.0,208.0,15.0,79.0,24.0,299.0,4.0,7794.0,28.0,1.0,172.0,31.0,645.0,17.0,1.0,145.0,3.0,120.0,6.0,0.0,19.0,3.0,75.0,3.0,1.0,116.0,2.0,258.0,38.0,10.0,25.0,19.0,0.0,0.0,63.0,123.0,87.0,4.0,61.0,23.0,12.0,0.0,384.0,120.0,0.0,6.0,6.0,44.0,169.0,46.0,0.0,0.0,4.0,0.0,23.0,285.0,2.0,1212.0,3.0,2.0,8.0,7.0,11.0,30.0,13.0,5.0,53.0,56.0,121.0,0.0,270.0,32.0,4.0,0.0,68.0,82.0,48.0,81.0,51.0,0.0,7.0,7.0,0.0,25.0,6.0,39.0,6.0,304.0,12.0,2.0,19.0,11.0,9.0,3.0,1.0,0.0,272.0,0.0,249.0,43.0,76.0,7.0,0.0,62.0,183.0
Botswana,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,61.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
Kyrgyzstan,0.0,8.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,79.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,1.0
Uganda,0.0,11.0,4.0,10.0,2.0,0.0,2.0,0.0,0.0,4.0,1.0,9.0,0.0,14.0,22.0,15.0,11.0,197.0,0.0,0.0,2.0,0.0,12.0,15.0,1.0,4981.0,0.0,39.0,0.0,0.0,7.0,11.0,5.0,1.0,0.0,4.0,37.0,10.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,12.0,8.0,3.0,1.0,0.0,1.0,0.0,15.0,0.0,1.0,8.0,1.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,9.0,167.0,54.0,60.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,38.0,0.0,21.0,1.0,1.0,0.0,3.0,5.0,8.0,11.0,4.0,0.0,3.0,11.0,0.0,1.0,16.0,15.0,0.0,7.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,3.0,21.0,0.0,72.0,3.0,2.0,13.0,0.0,21.0,9.0
Cyprus,0.0,3.0,0.0,69.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,4.0,0.0,243.0,1.0,0.0,6.0,0.0,15.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,22.0,1.0,0.0,1.0,4.0,10.0,6.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,19.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,1.0,0.0,14.0,0.0,28.0,11.0
