,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Russian Federation,1.0,133.0,0.0,374.0,7.0,39.0,101.0,0.0,6.0,3.0,64.0,14.0,9.0,129.0,3.0,108.0,18.0,6607.0,3.0,2.0,330.0,32.0,32.0,394.0,3.0,355.0,52.0,84.0,32.0,24.0,10.0,14.0,87.0,0.0,0.0,2.0,8.0,258.0,9.0,0.0,9.0,10.0,87.0,1.0,91.0,79.0,55.0,10.0,25.0,12.0,1.0,0.0,1336.0,2.0,1.0,2.0,9.0,2.0,46.0,66.0,1.0,1.0,161.0,0.0,41.0,55.0,6.0,435.0,34.0,20.0,0.0,0.0,28.0,10.0,3.0,21.0,21.0,150.0,189.0,11.0,246.0,44.0,32.0,0.0,133.0,105.0,294.0,61.0,36.0,1.0,17.0,5.0,0.0,9.0,6.0,45.0,2.0,56.0,183.0,5.0,44.0,33.0,0.0,32.0,4.0,0.0,230.0,30.0,151.0,55.0,1.0,28.0,0.0,109.0,54.0
Philippines,1.0,1.0,2.0,171.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,33.0,2.0,40.0,0.0,1178.0,1.0,0.0,14.0,1.0,200.0,2.0,0.0,49.0,0.0,486.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,30.0,3.0,1.0,0.0,3.0,4.0,0.0,3.0,22.0,56.0,0.0,2.0,4.0,6.0,0.0,87.0,4.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,6.0,11.0,1.0,57.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,26.0,24.0,22.0,0.0,30.0,3.0,0.0,0.0,12.0,10.0,4.0,14.0,1.0,12.0,0.0,27.0,0.0,0.0,3.0,4.0,1.0,13.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,11.0,0.0,14.0,2.0,0.0,1.0,0.0,3.0,9.0
"Congo, The Democratic Republic of the",1.0,2.0,3.0,32.0,1.0,2.0,7.0,0.0,0.0,0.0,13.0,2.0,0.0,36.0,4.0,6.0,51.0,358.0,1.0,0.0,6.0,5.0,9.0,0.0,0.0,552.0,1.0,32.0,5.0,0.0,1.0,0.0,15.0,0.0,0.0,2.0,4.0,38.0,5.0,0.0,5.0,1.0,2.0,0.0,25.0,10.0,6.0,4.0,40.0,10.0,0.0,1.0,51.0,0.0,1.0,0.0,2.0,0.0,12.0,3.0,0.0,0.0,3.0,0.0,19.0,26.0,4.0,98.0,8.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,5.0,7.0,51.0,8.0,3.0,14.0,0.0,1.0,15.0,4.0,27.0,14.0,8.0,0.0,2.0,0.0,0.0,9.0,13.0,25.0,0.0,30.0,1.0,1.0,0.0,6.0,0.0,7.0,5.0,0.0,37.0,0.0,18.0,4.0,0.0,0.0,6.0,13.0,19.0
Croatia,1.0,0.0,0.0,22.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,0.0,325.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,10.0,8.0,3.0,10.0,3.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,2.0,7.0,2.0,0.0,0.0,0.0,10.0,2.0,7.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,14.0,3.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,8.0
China,0.0,37.0,3.0,853.0,2.0,18.0,30.0,0.0,41.0,5.0,12.0,10.0,41.0,38.0,6.0,329.0,1.0,13571.0,26.0,5.0,179.0,107.0,68.0,73.0,0.0,711.0,114.0,281.0,68.0,1.0,70.0,10.0,365.0,3.0,0.0,10.0,10.0,266.0,34.0,2.0,14.0,23.0,60.0,5.0,62.0,355.0,269.0,112.0,232.0,36.0,10.0,0.0,1246.0,47.0,15.0,8.0,12.0,10.0,32.0,14.0,7.0,3.0,14.0,2.0,587.0,227.0,43.0,772.0,66.0,25.0,8.0,3.0,18.0,2905.0,5.0,24.0,96.0,8479.0,77.0,3.0,57.0,128.0,19.0,5.0,52.0,19.0,906.0,95.0,134.0,2.0,5.0,48.0,0.0,48.0,2.0,83.0,1.0,316.0,56.0,22.0,24.0,41.0,2.0,10.0,5.0,4.0,189.0,1.0,61.0,297.0,2.0,5.0,0.0,36.0,165.0
"Korea, Republic of",0.0,3.0,0.0,95.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,17.0,1.0,548.0,2.0,0.0,31.0,8.0,3.0,1.0,0.0,39.0,0.0,82.0,5.0,0.0,5.0,3.0,23.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,3.0,5.0,7.0,0.0,6.0,52.0,30.0,3.0,8.0,5.0,5.0,0.0,117.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,97.0,5.0,1.0,53.0,2.0,0.0,0.0,0.0,1.0,11.0,2.0,0.0,7.0,52.0,4.0,3.0,1.0,19.0,2.0,1.0,10.0,0.0,21.0,7.0,7.0,0.0,0.0,2.0,0.0,4.0,0.0,7.0,1.0,16.0,1.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,45.0,17.0,0.0,7.0,0.0,1.0,6.0
Ukraine,0.0,199.0,0.0,824.0,1.0,68.0,85.0,0.0,2.0,2.0,12.0,2.0,3.0,158.0,1.0,99.0,5.0,8727.0,0.0,10.0,334.0,7.0,11.0,563.0,8.0,348.0,47.0,39.0,13.0,1.0,6.0,2.0,38.0,0.0,0.0,1.0,7.0,165.0,23.0,1.0,3.0,76.0,65.0,1.0,51.0,127.0,82.0,4.0,26.0,6.0,4.0,0.0,549.0,1.0,2.0,1.0,3.0,0.0,24.0,70.0,0.0,2.0,5.0,0.0,45.0,74.0,4.0,1506.0,5.0,4.0,0.0,1.0,6.0,12.0,0.0,66.0,1.0,30.0,555.0,4.0,229.0,10.0,20.0,0.0,69.0,187.0,25.0,53.0,19.0,0.0,8.0,0.0,0.0,12.0,1.0,70.0,0.0,35.0,22.0,3.0,25.0,14.0,2.0,1.0,2.0,0.0,275.0,23.0,91.0,34.0,1.0,5.0,0.0,14.0,30.0
South Africa,0.0,4.0,2.0,66.0,3.0,2.0,5.0,0.0,19.0,1.0,7.0,14.0,1.0,12.0,9.0,88.0,0.0,2279.0,0.0,0.0,46.0,4.0,13.0,10.0,0.0,233.0,2.0,133.0,2.0,0.0,21.0,1.0,41.0,0.0,0.0,2.0,0.0,27.0,12.0,9.0,4.0,1.0,1.0,1.0,3.0,22.0,20.0,1.0,32.0,4.0,0.0,0.0,426.0,2.0,1.0,12.0,5.0,0.0,5.0,0.0,8.0,1.0,3.0,0.0,163.0,118.0,33.0,235.0,14.0,0.0,0.0,0.0,18.0,11.0,3.0,2.0,7.0,61.0,38.0,0.0,18.0,68.0,5.0,0.0,9.0,9.0,143.0,25.0,27.0,1.0,2.0,5.0,1.0,11.0,0.0,21.0,0.0,91.0,1.0,19.0,5.0,24.0,1.0,0.0,4.0,0.0,129.0,0.0,81.0,5.0,1.0,7.0,0.0,23.0,40.0
Australia,0.0,21.0,5.0,134.0,2.0,6.0,16.0,32.0,14.0,3.0,24.0,23.0,138.0,4.0,6.0,54.0,0.0,2898.0,2.0,0.0,62.0,23.0,38.0,18.0,1.0,87.0,7.0,127.0,10.0,0.0,13.0,48.0,70.0,2.0,0.0,12.0,2.0,91.0,13.0,2.0,43.0,9.0,6.0,98.0,31.0,102.0,122.0,3.0,48.0,20.0,10.0,0.0,802.0,511.0,0.0,2.0,23.0,2.0,30.0,32.0,2.0,1.0,5.0,0.0,52.0,86.0,4.0,241.0,62.0,1.0,0.0,8.0,16.0,41.0,11.0,8.0,25.0,35.0,29.0,13.0,24.0,118.0,4.0,0.0,29.0,7.0,47.0,89.0,34.0,9.0,12.0,7.0,0.0,11.0,2.0,51.0,2.0,255.0,19.0,21.0,2.0,53.0,4.0,4.0,6.0,3.0,32.0,0.0,33.0,29.0,2.0,26.0,0.0,42.0,109.0
Kazakhstan,0.0,10.0,0.0,15.0,2.0,0.0,16.0,0.0,1.0,1.0,3.0,2.0,8.0,5.0,2.0,12.0,7.0,274.0,0.0,0.0,47.0,6.0,2.0,18.0,1.0,27.0,7.0,3.0,0.0,0.0,2.0,1.0,17.0,1.0,0.0,1.0,0.0,11.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,6.0,6.0,2.0,8.0,4.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,9.0,11.0,0.0,20.0,3.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,112.0,4.0,0.0,22.0,6.0,1.0,0.0,1.0,0.0,6.0,6.0,11.0,0.0,1.0,2.0,0.0,2.0,7.0,1.0,1.0,3.0,7.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,16.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,3.0
Germany,0.0,19.0,15.0,1162.0,41.0,41.0,8.0,1.0,38.0,6.0,81.0,43.0,41.0,34.0,8.0,136.0,7.0,10072.0,5.0,53.0,43.0,178.0,46.0,99.0,7.0,351.0,31.0,164.0,39.0,0.0,139.0,5.0,143.0,2.0,0.0,7.0,16.0,139.0,22.0,0.0,21.0,22.0,14.0,0.0,253.0,188.0,204.0,32.0,306.0,156.0,8.0,0.0,1197.0,5.0,4.0,5.0,6.0,6.0,34.0,9.0,18.0,0.0,115.0,0.0,85.0,101.0,92.0,1165.0,37.0,4.0,0.0,1.0,36.0,53.0,4.0,24.0,36.0,54.0,108.0,4.0,30.0,140.0,20.0,65.0,49.0,19.0,115.0,78.0,292.0,0.0,11.0,21.0,2.0,10.0,22.0,120.0,1.0,178.0,34.0,22.0,11.0,42.0,0.0,22.0,2.0,3.0,138.0,11.0,38.0,61.0,0.0,98.0,0.0,52.0,122.0
Kenya,0.0,2.0,0.0,6.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,18.0,1.0,11.0,22.0,7.0,1.0,373.0,0.0,0.0,7.0,3.0,16.0,0.0,2.0,76.0,1.0,9.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,3.0,0.0,19.0,4.0,0.0,6.0,1.0,1.0,1.0,1.0,11.0,0.0,0.0,3.0,5.0,1.0,0.0,13.0,0.0,1.0,2.0,0.0,4.0,16.0,0.0,0.0,1.0,2.0,0.0,4.0,160.0,19.0,32.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,8.0,11.0,16.0,2.0,9.0,21.0,2.0,0.0,8.0,5.0,1.0,24.0,4.0,0.0,0.0,14.0,0.0,1.0,8.0,1.0,0.0,9.0,21.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,29.0,0.0,21.0,2.0,7.0,0.0,0.0,81.0,37.0
Uganda,0.0,13.0,1.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,8.0,6.0,0.0,236.0,0.0,0.0,10.0,2.0,5.0,0.0,0.0,69.0,0.0,9.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,4.0,0.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,9.0,1.0,4.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,6.0,74.0,3.0,35.0,13.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,2.0,6.0,76.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,5.0,13.0,14.0,0.0,0.0,10.0,2.0,0.0,12.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,20.0,7.0,0.0,6.0,0.0,33.0,17.0
Hungary,0.0,2.0,0.0,317.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,11.0,0.0,8.0,1.0,396.0,0.0,0.0,6.0,3.0,14.0,7.0,0.0,52.0,1.0,4.0,2.0,0.0,5.0,1.0,6.0,0.0,0.0,1.0,43.0,5.0,0.0,1.0,2.0,2.0,17.0,0.0,2.0,13.0,15.0,1.0,8.0,2.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,17.0,3.0,31.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,11.0,3.0,1.0,0.0,2.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,195.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,15.0
Zimbabwe,0.0,7.0,0.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,229.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,12.0,1.0,15.0,6.0,0.0,9.0,15.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,16.0,2.0,0.0,0.0,18.0,0.0,3.0,9.0,0.0,0.0,3.0,9.0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,14.0,0.0,60.0,0.0,0.0,0.0,0.0,4.0,2.0
Sweden,0.0,3.0,3.0,83.0,2.0,2.0,4.0,0.0,18.0,8.0,0.0,3.0,23.0,10.0,1.0,32.0,5.0,1048.0,0.0,1.0,20.0,14.0,1.0,13.0,0.0,62.0,4.0,31.0,4.0,0.0,10.0,1.0,33.0,0.0,0.0,0.0,2.0,9.0,7.0,3.0,3.0,7.0,8.0,0.0,8.0,19.0,20.0,2.0,24.0,2.0,0.0,0.0,162.0,0.0,1.0,0.0,12.0,3.0,2.0,1.0,0.0,1.0,23.0,0.0,27.0,93.0,0.0,81.0,2.0,0.0,0.0,0.0,28.0,6.0,1.0,2.0,17.0,12.0,7.0,0.0,19.0,126.0,4.0,1.0,8.0,4.0,25.0,9.0,26.0,0.0,0.0,4.0,0.0,5.0,2.0,24.0,0.0,40.0,21.0,3.0,0.0,1.0,0.0,6.0,0.0,0.0,28.0,5.0,7.0,8.0,0.0,0.0,0.0,5.0,56.0
Lithuania,0.0,7.0,0.0,9.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,310.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,6.0,7.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,5.0,7.0,0.0,4.0,0.0,26.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mexico,0.0,3.0,3.0,212.0,6.0,15.0,29.0,0.0,48.0,36.0,30.0,16.0,8.0,60.0,5.0,69.0,0.0,3269.0,7.0,0.0,24.0,18.0,127.0,26.0,1.0,69.0,2.0,22.0,8.0,1.0,6.0,5.0,36.0,0.0,0.0,3.0,2.0,65.0,5.0,1.0,7.0,25.0,1.0,0.0,223.0,131.0,95.0,5.0,64.0,14.0,2.0,0.0,132.0,0.0,0.0,0.0,0.0,3.0,34.0,5.0,0.0,3.0,8.0,0.0,15.0,47.0,0.0,160.0,2.0,3.0,0.0,0.0,13.0,2.0,12.0,5.0,3.0,19.0,11.0,0.0,62.0,16.0,44.0,0.0,79.0,20.0,23.0,118.0,37.0,2.0,14.0,2.0,0.0,9.0,4.0,69.0,6.0,120.0,31.0,3.0,6.0,7.0,1.0,5.0,7.0,1.0,38.0,1.0,37.0,72.0,0.0,4.0,0.0,9.0,120.0
"Korea, Democratic People's Republic of",0.0,14.0,0.0,13.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,46.0,0.0,970.0,0.0,0.0,33.0,0.0,1.0,6.0,0.0,42.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,108.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,5.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,192.0,0.0,0.0,0.0,0.0,1.0,0.0
Canada,0.0,10.0,0.0,625.0,8.0,13.0,3.0,0.0,32.0,3.0,11.0,7.0,18.0,7.0,9.0,271.0,0.0,6284.0,2.0,13.0,139.0,42.0,15.0,17.0,1.0,216.0,1.0,94.0,10.0,0.0,32.0,1.0,52.0,2.0,0.0,1.0,3.0,62.0,43.0,5.0,9.0,3.0,4.0,0.0,116.0,77.0,88.0,2.0,83.0,59.0,0.0,0.0,534.0,1.0,0.0,1.0,7.0,2.0,13.0,15.0,1.0,0.0,99.0,1.0,51.0,41.0,5.0,143.0,11.0,5.0,0.0,0.0,80.0,30.0,5.0,6.0,14.0,54.0,32.0,0.0,80.0,101.0,1.0,6.0,15.0,7.0,83.0,71.0,102.0,2.0,3.0,4.0,0.0,10.0,7.0,106.0,1.0,145.0,37.0,46.0,11.0,17.0,0.0,1.0,3.0,0.0,55.0,2.0,32.0,18.0,1.0,19.0,0.0,16.0,71.0
Estonia,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,12.0,0.0,207.0,0.0,0.0,11.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,5.0,2.0,0.0,3.0,1.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,12.0,3.0,2.0,0.0,12.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
Bulgaria,0.0,2.0,0.0,165.0,1.0,5.0,13.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,22.0,1.0,1611.0,0.0,0.0,8.0,12.0,2.0,3.0,0.0,20.0,3.0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,3.0,2.0,2.0,0.0,6.0,20.0,10.0,4.0,13.0,6.0,0.0,0.0,434.0,0.0,0.0,1.0,8.0,0.0,5.0,1.0,0.0,0.0,7.0,0.0,9.0,5.0,0.0,171.0,2.0,0.0,0.0,0.0,16.0,1.0,0.0,2.0,1.0,6.0,9.0,1.0,13.0,2.0,1.0,0.0,56.0,2.0,14.0,6.0,16.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,6.0,19.0,1.0,2.0,3.0,0.0,5.0,1.0,0.0,25.0,0.0,12.0,2.0,0.0,2.0,0.0,0.0,5.0
Iraq,0.0,10.0,2.0,46.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,3.0,23.0,8.0,5.0,75.0,486.0,0.0,0.0,1.0,0.0,7.0,262.0,0.0,164.0,3.0,109.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,1.0,66.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,4.0,0.0,2.0,5.0,9.0,0.0,0.0,2.0,0.0,9.0,9.0,26.0,32.0,1.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,4.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,15.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,23.0,0.0,12.0,20.0,1.0,3.0,5.0,28.0,0.0
Namibia,0.0,3.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,28.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,5.0,7.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,0.0,4.0,5.0,16.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,1.0,3.0,21.0,5.0,4.0,3.0,233.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,74.0,0.0,13.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,6.0,3.0,3.0,0.0,3.0,1.0,0.0,2.0,6.0,8.0,0.0,11.0,5.0,12.0,0.0,9.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,2.0,0.0,2.0,99.0,1.0,91.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,2.0,8.0,0.0,3.0,4.0,2.0,1.0,5.0,5.0,4.0,9.0,6.0,0.0,2.0,22.0,0.0,7.0,7.0,12.0,0.0,2.0,1.0,1.0,4.0,4.0,8.0,1.0,0.0,6.0,29.0,0.0,3.0,3.0,1.0,0.0,0.0,5.0,9.0
Uruguay,0.0,4.0,0.0,7.0,0.0,3.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,302.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,9.0,0.0,2.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,3.0,5.0,0.0,0.0,2.0,5.0,16.0,8.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0
Kuwait,0.0,4.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,208.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0
Egypt,0.0,2.0,0.0,194.0,0.0,2.0,24.0,0.0,3.0,1.0,12.0,3.0,1.0,21.0,31.0,9.0,1.0,1310.0,0.0,0.0,2.0,2.0,10.0,304.0,0.0,24.0,1.0,638.0,2.0,0.0,2.0,0.0,26.0,1.0,1.0,13.0,1.0,241.0,8.0,2.0,6.0,0.0,3.0,0.0,7.0,24.0,72.0,1.0,16.0,12.0,1.0,0.0,54.0,1.0,0.0,0.0,0.0,0.0,19.0,2.0,2.0,0.0,0.0,0.0,9.0,63.0,2.0,65.0,2.0,0.0,1.0,0.0,1.0,51.0,3.0,0.0,23.0,12.0,328.0,0.0,2.0,3.0,2.0,0.0,2.0,8.0,8.0,31.0,17.0,0.0,9.0,13.0,0.0,1.0,4.0,18.0,0.0,9.0,19.0,1.0,2.0,4.0,1.0,2.0,0.0,0.0,24.0,0.0,6.0,39.0,1.0,3.0,0.0,22.0,10.0
