,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Viet Nam,0.0,11.0,9.0,91.0,0.0,3.0,0.0,0.0,1.0,0.0,93.0,9.0,1.0,2.0,0.0,8.0,0.0,1782.0,0.0,0.0,9.0,6.0,74.0,0.0,3.0,20.0,0.0,33.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,91.0,4.0,0.0,4.0,12.0,1.0,0.0,4.0,28.0,142.0,16.0,18.0,4.0,1.0,0.0,55.0,3.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,13.0,21.0,0.0,10.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,4.0,23.0,3.0,0.0,9.0,0.0,2.0,3.0,29.0,9.0,3.0,3.0,21.0,0.0,0.0,1.0,0.0,10.0,0.0,14.0,0.0,22.0,6.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,3.0,5.0,0.0,0.0,0.0,13.0,52.0
Pakistan,0.0,1.0,1.0,10.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,8.0,0.0,128.0,3.0,20.0,4.0,465.0,0.0,0.0,5.0,3.0,639.0,36.0,0.0,58.0,3.0,23.0,1.0,1.0,1.0,0.0,10.0,0.0,0.0,2.0,1.0,31.0,13.0,0.0,3.0,11.0,4.0,0.0,20.0,25.0,30.0,6.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,14.0,19.0,5.0,0.0,1.0,1.0,0.0,4.0,489.0,0.0,277.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,467.0,1.0,5.0,4.0,3.0,0.0,7.0,2.0,5.0,8.0,7.0,0.0,43.0,1.0,0.0,2.0,0.0,4.0,0.0,16.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,39.0,0.0,465.0,4.0,9.0,2.0,0.0,12.0,22.0
Somalia,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,42.0,0.0,1.0,0.0,110.0,0.0,0.0,0.0,1.0,8.0,7.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0
Djibouti,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
"Congo, The Democratic Republic of the",0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,24.0,0.0,3.0,0.0,74.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,198.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,43.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,17.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,13.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,23.0,4.0,2.0,0.0,0.0,23.0,0.0
Singapore,0.0,1.0,1.0,38.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,22.0,0.0,852.0,0.0,0.0,146.0,1.0,26.0,5.0,0.0,13.0,0.0,34.0,0.0,0.0,6.0,1.0,7.0,0.0,0.0,0.0,1.0,19.0,4.0,0.0,6.0,1.0,1.0,7.0,1.0,5.0,5.0,0.0,3.0,4.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,12.0,7.0,3.0,0.0,7.0,24.0,1.0,0.0,0.0,5.0,22.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,25.0
Greenland,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Zambia,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Cambodia,0.0,1.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,465.0,0.0,0.0,3.0,0.0,15.0,0.0,1.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,7.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,11.0
Sudan,0.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,1.0,10.0,23.0,4.0,3.0,84.0,0.0,0.0,0.0,0.0,60.0,52.0,1.0,788.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,7.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,8.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,0.0,0.0,1.0,0.0,4.0,191.0,54.0,63.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,31.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,0.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,18.0,10.0,3.0,13.0,0.0,33.0,25.0
Ireland,0.0,1.0,2.0,340.0,1.0,3.0,6.0,0.0,3.0,0.0,1.0,3.0,15.0,4.0,1.0,35.0,0.0,1728.0,0.0,4.0,16.0,2.0,1.0,0.0,0.0,20.0,3.0,34.0,4.0,0.0,1.0,0.0,52.0,2.0,0.0,0.0,1.0,79.0,8.0,7.0,18.0,2.0,14.0,1.0,21.0,10.0,71.0,0.0,12.0,9.0,2.0,0.0,398.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,1.0,0.0,19.0,0.0,6.0,6.0,2.0,24.0,91.0,1.0,0.0,0.0,37.0,3.0,2.0,0.0,7.0,8.0,9.0,3.0,2.0,111.0,1.0,0.0,1.0,3.0,43.0,28.0,52.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,63.0,9.0,9.0,0.0,11.0,1.0,7.0,0.0,1.0,24.0,0.0,21.0,1.0,0.0,6.0,0.0,3.0,10.0
Zimbabwe,0.0,7.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,4.0,0.0,169.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,5.0,230.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,30.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,5.0,19.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,65.0,2.0,0.0,0.0,0.0,0.0,0.0
Gambia,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Chad,0.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,9.0,0.0,169.0,0.0,0.0,1.0,1.0,1.0,6.0,3.0,8.0,0.0,10.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,13.0,8.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,35.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,12.0,4.0,11.0,0.0,3.0,17.0,0.0,0.0,2.0,0.0,26.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,7.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,12.0,1.0,1.0,0.0,0.0,5.0,1.0
Liberia,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,63.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,457.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,1.0,11.0,2.0
Fiji,0.0,1.0,0.0,13.0,0.0,3.0,2.0,0.0,8.0,0.0,2.0,2.0,5.0,3.0,0.0,142.0,0.0,1137.0,1.0,0.0,4.0,7.0,5.0,5.0,0.0,25.0,0.0,11.0,2.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,14.0,6.0,2.0,6.0,8.0,0.0,0.0,1.0,10.0,25.0,0.0,10.0,6.0,0.0,0.0,441.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,7.0,2.0,5.0,31.0,10.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,12.0,23.0,5.0,0.0,0.0,70.0,2.0,0.0,13.0,13.0,16.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,80.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,13.0,3.0,0.0,1.0,0.0,2.0,13.0
Malawi,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,319.0,1.0,3.0,0.0,87.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,7.0,1.0,41.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,46.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0
Sweden,0.0,2.0,1.0,86.0,2.0,4.0,0.0,0.0,12.0,0.0,3.0,5.0,38.0,7.0,1.0,26.0,0.0,722.0,1.0,6.0,27.0,30.0,4.0,5.0,1.0,17.0,1.0,48.0,3.0,0.0,26.0,1.0,26.0,0.0,0.0,0.0,1.0,11.0,3.0,4.0,9.0,8.0,12.0,0.0,15.0,22.0,42.0,1.0,57.0,2.0,1.0,0.0,150.0,0.0,4.0,1.0,30.0,1.0,3.0,2.0,0.0,0.0,18.0,0.0,4.0,10.0,0.0,30.0,14.0,1.0,0.0,0.0,18.0,20.0,3.0,5.0,22.0,34.0,10.0,1.0,0.0,140.0,4.0,2.0,17.0,14.0,8.0,22.0,108.0,0.0,0.0,5.0,0.0,9.0,0.0,5.0,0.0,23.0,15.0,4.0,1.0,21.0,0.0,9.0,1.0,0.0,18.0,15.0,6.0,4.0,0.0,2.0,0.0,1.0,4.0
Egypt,0.0,3.0,0.0,383.0,2.0,4.0,4.0,0.0,2.0,1.0,6.0,8.0,1.0,70.0,32.0,10.0,0.0,1404.0,1.0,0.0,5.0,0.0,46.0,303.0,0.0,68.0,2.0,263.0,0.0,0.0,0.0,0.0,12.0,4.0,1.0,9.0,0.0,330.0,18.0,1.0,9.0,0.0,0.0,3.0,5.0,9.0,51.0,2.0,12.0,13.0,2.0,0.0,85.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,3.0,0.0,11.0,0.0,6.0,133.0,0.0,87.0,9.0,0.0,0.0,0.0,1.0,59.0,1.0,1.0,15.0,2.0,160.0,1.0,3.0,46.0,1.0,0.0,4.0,39.0,2.0,65.0,10.0,0.0,1.0,29.0,0.0,1.0,1.0,15.0,0.0,11.0,21.0,3.0,5.0,10.0,0.0,1.0,0.0,0.0,34.0,0.0,17.0,83.0,0.0,2.0,0.0,32.0,17.0
Maldives,0.0,4.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,164.0,0.0,1.0,1.0,6.0,2.0,1.0,0.0,18.0,0.0,9.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,4.0,6.0,9.0,8.0,1.0,10.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,2.0,26.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,68.0,0.0,1.0,7.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0
Algeria,0.0,4.0,0.0,63.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,26.0,1.0,0.0,241.0,0.0,0.0,0.0,0.0,2.0,47.0,0.0,12.0,0.0,17.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,82.0,8.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,3.0
Kuwait,0.0,1.0,0.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,2.0,0.0,146.0,0.0,0.0,0.0,0.0,1.0,76.0,0.0,7.0,0.0,40.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,6.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,14.0,2.0,22.0,11.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,11.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,9.0,2.0,4.0,0.0,2.0,0.0
Tajikistan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaica,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Puerto Rico,0.0,1.0,0.0,39.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,4.0,3.0,12.0,1.0,12.0,0.0,670.0,0.0,0.0,19.0,1.0,30.0,0.0,0.0,8.0,0.0,7.0,2.0,0.0,0.0,1.0,13.0,0.0,0.0,4.0,0.0,24.0,10.0,0.0,1.0,0.0,1.0,0.0,5.0,12.0,23.0,0.0,9.0,14.0,4.0,0.0,54.0,1.0,1.0,0.0,2.0,0.0,11.0,81.0,0.0,0.0,21.0,0.0,3.0,7.0,0.0,9.0,11.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,10.0,4.0,5.0,0.0,31.0,14.0,10.0,0.0,2.0,2.0,6.0,27.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,17.0,7.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,3.0,0.0,21.0,0.0,7.0,31.0
Cabo Verde,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,15.0,0.0,2.0,4.0,0.0,291.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,15.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,6.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0
Isle of Man,0.0,1.0,0.0,20.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,6.0,0.0,295.0,0.0,0.0,5.0,6.0,3.0,0.0,0.0,7.0,0.0,14.0,5.0,0.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,85.0,0.0,15.0,5.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,5.0,21.0,6.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0
Senegal,0.0,2.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,15.0,1.0,781.0,0.0,1.0,1.0,1.0,20.0,5.0,3.0,68.0,0.0,7.0,0.0,7.0,0.0,5.0,1.0,0.0,0.0,12.0,2.0,7.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,19.0,1.0,0.0,0.0,1.0,0.0,2.0,44.0,16.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,4.0,14.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,7.0,22.0,0.0,3.0,0.0,0.0,3.0,0.0,11.0,6.0
