,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Portugal,3.0,2.0,1.0,161.0,0.0,23.0,13.0,0.0,21.0,1.0,5.0,4.0,6.0,3.0,0.0,43.0,0.0,1965.0,0.0,0.0,20.0,30.0,6.0,1.0,0.0,32.0,0.0,6.0,1.0,0.0,2.0,1.0,26.0,0.0,0.0,1.0,0.0,21.0,4.0,1.0,5.0,4.0,0.0,0.0,2.0,27.0,65.0,1.0,13.0,5.0,1.0,0.0,73.0,1.0,0.0,0.0,28.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,0.0,63.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,5.0,11.0,0.0,18.0,3.0,2.0,0.0,4.0,2.0,14.0,27.0,12.0,2.0,6.0,0.0,0.0,2.0,10.0,71.0,0.0,46.0,6.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,29.0,0.0,19.0,6.0,0.0,1.0,0.0,18.0,25.0
Norway,3.0,1.0,0.0,94.0,2.0,2.0,1.0,0.0,6.0,0.0,1.0,1.0,14.0,6.0,0.0,5.0,0.0,307.0,2.0,1.0,5.0,3.0,4.0,7.0,0.0,14.0,4.0,7.0,1.0,0.0,3.0,1.0,16.0,0.0,0.0,1.0,0.0,17.0,1.0,0.0,3.0,3.0,0.0,0.0,21.0,17.0,31.0,0.0,9.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,11.0,1.0,2.0,3.0,6.0,0.0,7.0,0.0,4.0,3.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,8.0,30.0,1.0,0.0,2.0,0.0,10.0,3.0,41.0,10.0,1.0,0.0,0.0,1.0,0.0,15.0,0.0,8.0,15.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,9.0,11.0,3.0,5.0,2.0,0.0,0.0,7.0,14.0
Puerto Rico,1.0,1.0,0.0,26.0,1.0,4.0,4.0,0.0,4.0,0.0,5.0,11.0,3.0,0.0,0.0,16.0,0.0,723.0,0.0,1.0,15.0,4.0,35.0,0.0,1.0,17.0,0.0,15.0,2.0,0.0,3.0,1.0,11.0,0.0,0.0,4.0,0.0,19.0,12.0,0.0,1.0,1.0,1.0,0.0,24.0,20.0,22.0,0.0,8.0,12.0,3.0,0.0,58.0,1.0,1.0,0.0,2.0,0.0,10.0,78.0,0.0,1.0,10.0,0.0,3.0,4.0,0.0,13.0,10.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,4.0,7.0,0.0,35.0,13.0,4.0,0.0,5.0,4.0,5.0,24.0,22.0,0.0,2.0,0.0,0.0,1.0,0.0,27.0,0.0,17.0,6.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,17.0,0.0,20.0,0.0,6.0,36.0
Russian Federation,1.0,96.0,1.0,222.0,5.0,20.0,35.0,0.0,1.0,0.0,27.0,1.0,5.0,86.0,4.0,74.0,18.0,4188.0,3.0,1.0,78.0,10.0,16.0,196.0,1.0,203.0,12.0,52.0,8.0,19.0,1.0,1.0,42.0,1.0,0.0,0.0,29.0,151.0,12.0,1.0,8.0,2.0,12.0,20.0,68.0,31.0,97.0,1.0,21.0,35.0,0.0,0.0,378.0,0.0,0.0,1.0,1.0,4.0,7.0,16.0,4.0,0.0,116.0,0.0,41.0,20.0,25.0,133.0,17.0,6.0,0.0,0.0,12.0,8.0,0.0,9.0,15.0,23.0,16.0,6.0,45.0,12.0,11.0,0.0,71.0,25.0,59.0,50.0,7.0,0.0,3.0,1.0,0.0,4.0,2.0,30.0,0.0,43.0,36.0,1.0,7.0,11.0,0.0,14.0,1.0,0.0,85.0,25.0,53.0,32.0,0.0,13.0,1.0,18.0,23.0
Papua New Guinea,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,26.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,3.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,41.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
"Iran, Islamic Republic of",1.0,11.0,0.0,9.0,1.0,3.0,28.0,0.0,2.0,0.0,0.0,0.0,6.0,265.0,0.0,15.0,6.0,458.0,0.0,0.0,9.0,12.0,8.0,74.0,0.0,24.0,7.0,34.0,1.0,0.0,0.0,0.0,18.0,1.0,0.0,2.0,0.0,98.0,117.0,0.0,15.0,2.0,1.0,0.0,3.0,6.0,6.0,0.0,15.0,0.0,1.0,0.0,361.0,0.0,1.0,0.0,1.0,4.0,3.0,2.0,3.0,0.0,2.0,0.0,5.0,4.0,4.0,6.0,2.0,0.0,0.0,0.0,3.0,13.0,0.0,2.0,6.0,8.0,12.0,2.0,2.0,7.0,4.0,1.0,6.0,4.0,15.0,9.0,11.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,8.0,3.0,0.0,0.0,10.0,0.0,60.0,2.0,0.0,49.0,4.0,2.0,5.0,0.0,1.0,5.0,10.0,3.0
Belgium,1.0,0.0,0.0,240.0,1.0,1.0,10.0,0.0,4.0,0.0,2.0,2.0,6.0,8.0,2.0,13.0,0.0,1139.0,1.0,0.0,9.0,5.0,5.0,17.0,0.0,56.0,0.0,10.0,9.0,0.0,1.0,2.0,20.0,1.0,0.0,0.0,0.0,36.0,21.0,2.0,3.0,1.0,1.0,0.0,59.0,17.0,29.0,2.0,11.0,6.0,0.0,0.0,111.0,0.0,0.0,1.0,3.0,1.0,4.0,2.0,1.0,0.0,22.0,0.0,4.0,16.0,52.0,29.0,6.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,10.0,9.0,4.0,1.0,6.0,13.0,2.0,0.0,6.0,4.0,58.0,13.0,306.0,0.0,3.0,1.0,2.0,10.0,2.0,82.0,0.0,14.0,3.0,1.0,0.0,29.0,0.0,1.0,1.0,0.0,20.0,0.0,11.0,9.0,1.0,1.0,0.0,7.0,7.0
Viet Nam,1.0,2.0,7.0,98.0,0.0,0.0,0.0,0.0,3.0,0.0,119.0,4.0,0.0,3.0,0.0,14.0,0.0,1715.0,3.0,0.0,13.0,6.0,138.0,0.0,3.0,15.0,0.0,33.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,1.0,0.0,90.0,3.0,1.0,5.0,11.0,1.0,0.0,3.0,26.0,117.0,11.0,19.0,3.0,1.0,0.0,79.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,14.0,11.0,0.0,17.0,3.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,6.0,31.0,7.0,0.0,8.0,11.0,7.0,1.0,23.0,8.0,5.0,5.0,21.0,0.0,0.0,2.0,0.0,9.0,0.0,11.0,0.0,27.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,7.0,4.0,0.0,0.0,0.0,3.0,8.0
Honduras,2.0,0.0,0.0,30.0,0.0,4.0,12.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,3.0,0.0,434.0,0.0,1.0,0.0,3.0,72.0,3.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,10.0,1.0,27.0,5.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,4.0,10.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,4.0,1.0,2.0,0.0,7.0,11.0,2.0,8.0,5.0,0.0,1.0,0.0,0.0,6.0,0.0,10.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,25.0
France,3.0,19.0,3.0,1523.0,9.0,53.0,24.0,0.0,20.0,4.0,12.0,135.0,43.0,52.0,19.0,149.0,0.0,5042.0,2.0,4.0,110.0,50.0,189.0,87.0,0.0,160.0,8.0,143.0,5.0,1.0,31.0,3.0,332.0,1.0,0.0,3.0,5.0,167.0,50.0,1.0,77.0,10.0,5.0,1.0,45.0,104.0,119.0,18.0,69.0,17.0,0.0,0.0,1015.0,5.0,2.0,0.0,28.0,4.0,70.0,22.0,82.0,4.0,72.0,2.0,39.0,81.0,5.0,109.0,41.0,3.0,1.0,1.0,14.0,21.0,8.0,6.0,29.0,25.0,41.0,9.0,56.0,115.0,49.0,3.0,46.0,5.0,45.0,88.0,208.0,1.0,5.0,13.0,0.0,19.0,18.0,210.0,1.0,49.0,45.0,11.0,8.0,40.0,1.0,6.0,1.0,1.0,105.0,0.0,58.0,57.0,2.0,23.0,0.0,59.0,202.0
Colombia,1.0,2.0,2.0,38.0,1.0,6.0,46.0,0.0,1.0,26.0,14.0,9.0,0.0,4.0,2.0,18.0,0.0,1029.0,0.0,0.0,26.0,3.0,53.0,2.0,0.0,31.0,1.0,24.0,10.0,0.0,3.0,6.0,8.0,0.0,0.0,2.0,0.0,40.0,3.0,1.0,0.0,6.0,3.0,0.0,17.0,17.0,8.0,0.0,9.0,3.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,6.0,10.0,7.0,0.0,0.0,3.0,0.0,0.0,33.0,2.0,35.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,8.0,17.0,6.0,1.0,34.0,6.0,5.0,0.0,13.0,15.0,9.0,34.0,5.0,1.0,0.0,1.0,0.0,3.0,2.0,133.0,0.0,18.0,6.0,0.0,20.0,10.0,4.0,0.0,1.0,1.0,33.0,5.0,9.0,5.0,0.0,1.0,0.0,33.0,60.0
Chile,16.0,5.0,0.0,16.0,0.0,5.0,14.0,0.0,0.0,9.0,8.0,11.0,1.0,3.0,0.0,22.0,0.0,1492.0,0.0,0.0,7.0,13.0,44.0,9.0,0.0,15.0,8.0,5.0,1.0,0.0,2.0,0.0,10.0,1.0,0.0,1.0,0.0,15.0,3.0,0.0,4.0,4.0,23.0,0.0,22.0,12.0,16.0,2.0,18.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,5.0,2.0,36.0,6.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,6.0,4.0,4.0,0.0,0.0,5.0,3.0,0.0,1.0,4.0,22.0,8.0,0.0,9.0,36.0,2.0,0.0,4.0,7.0,7.0,19.0,2.0,2.0,7.0,3.0,0.0,5.0,1.0,64.0,0.0,52.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,27.0
Iceland,3.0,0.0,0.0,44.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,137.0,0.0,1.0,5.0,9.0,1.0,0.0,0.0,15.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,12.0,0.0,2.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,7.0,6.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,4.0,3.0,10.0,0.0,0.0,0.0,0.0,3.0,2.0,18.0,0.0,24.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,6.0
China,3.0,30.0,9.0,502.0,9.0,41.0,12.0,0.0,53.0,4.0,22.0,27.0,41.0,161.0,7.0,488.0,4.0,15852.0,18.0,5.0,99.0,105.0,62.0,53.0,3.0,475.0,127.0,256.0,32.0,0.0,30.0,9.0,184.0,1.0,0.0,9.0,5.0,189.0,44.0,13.0,19.0,12.0,23.0,20.0,52.0,291.0,133.0,211.0,179.0,48.0,8.0,0.0,1025.0,52.0,7.0,15.0,15.0,4.0,29.0,8.0,21.0,1.0,20.0,4.0,304.0,149.0,48.0,590.0,54.0,18.0,8.0,24.0,12.0,1839.0,2.0,17.0,94.0,5001.0,47.0,3.0,27.0,107.0,23.0,5.0,46.0,16.0,658.0,79.0,118.0,1.0,10.0,38.0,0.0,33.0,1.0,93.0,0.0,421.0,36.0,22.0,26.0,32.0,1.0,6.0,2.0,1.0,143.0,2.0,59.0,172.0,4.0,11.0,1.0,36.0,190.0
Guernsey,1.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,0.0,2.0,0.0,0.0,0.0,8.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Lebanon,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.0,6.0,4.0,0.0,400.0,0.0,0.0,2.0,2.0,1.0,159.0,0.0,7.0,0.0,72.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,118.0,42.0,3.0,4.0,0.0,0.0,0.0,49.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,8.0,1.0,1.0,0.0,7.0,2.0,0.0,1.0,5.0,0.0,3.0,16.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,11.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,132.0,2.0,0.0,0.0,5.0,4.0
