,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
"Taiwan, Province of China",0.0,1.0,0.0,110.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,57.0,0.0,1276.0,2.0,0.0,5.0,1.0,52.0,2.0,0.0,12.0,0.0,14.0,17.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,5.0,9.0,2.0,0.0,17.0,17.0,2.0,14.0,5.0,0.0,0.0,120.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,1.0,25.0,5.0,1.0,0.0,0.0,0.0,73.0,0.0,5.0,7.0,171.0,3.0,0.0,2.0,11.0,2.0,1.0,1.0,1.0,55.0,10.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,4.0,19.0,0.0,0.0,0.0,6.0,3.0
Kosovo,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,111.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Korea, Democratic People's Republic of",0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,124.0,0.0,0.0,17.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0
Lithuania,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Slovakia,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,202.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Costa Rica,0.0,5.0,0.0,17.0,0.0,4.0,5.0,0.0,1.0,3.0,0.0,3.0,2.0,2.0,0.0,4.0,0.0,332.0,0.0,0.0,8.0,1.0,27.0,1.0,0.0,9.0,0.0,2.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,12.0,9.0,6.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,12.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,5.0,20.0,2.0,0.0,12.0,2.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,2.0,6.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,3.0,0.0,1.0,0.0,6.0,17.0
Angola,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,122.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,8.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,9.0,1.0,0.0,0.0,0.0,7.0,3.0
Mozambique,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,10.0,0.0,2.0,0.0,102.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,35.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,0.0,3.0,1.0,26.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,4.0,2.0,2.0,0.0,10.0,0.0,278.0,1.0,0.0,9.0,2.0,7.0,8.0,2.0,38.0,1.0,6.0,0.0,0.0,5.0,1.0,30.0,0.0,0.0,9.0,0.0,20.0,17.0,0.0,2.0,0.0,0.0,0.0,1.0,16.0,3.0,0.0,5.0,1.0,1.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,9.0,3.0,0.0,0.0,1.0,1.0,0.0,93.0,3.0,26.0,6.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,17.0,0.0,13.0,6.0,3.0,3.0,2.0,0.0,2.0,7.0,15.0,1.0,0.0,10.0,0.0,1.0,3.0,1.0,0.0,5.0,4.0,0.0,1.0,3.0,6.0,0.0,0.0,1.0,15.0,0.0,10.0,8.0,0.0,0.0,0.0,7.0,1.0
Mexico,0.0,2.0,2.0,315.0,3.0,40.0,27.0,0.0,0.0,14.0,36.0,17.0,5.0,23.0,9.0,42.0,0.0,2638.0,26.0,0.0,6.0,13.0,118.0,24.0,0.0,36.0,0.0,17.0,1.0,0.0,0.0,10.0,14.0,0.0,0.0,5.0,17.0,87.0,4.0,0.0,4.0,54.0,7.0,18.0,39.0,79.0,92.0,2.0,52.0,9.0,2.0,0.0,141.0,1.0,0.0,0.0,1.0,4.0,64.0,4.0,4.0,0.0,1.0,0.0,7.0,18.0,3.0,113.0,350.0,2.0,0.0,0.0,8.0,7.0,5.0,2.0,3.0,32.0,21.0,2.0,58.0,22.0,126.0,1.0,55.0,8.0,20.0,107.0,23.0,1.0,3.0,1.0,0.0,4.0,1.0,252.0,0.0,69.0,37.0,11.0,8.0,6.0,3.0,2.0,11.0,2.0,21.0,0.0,56.0,13.0,0.0,12.0,0.0,13.0,108.0
Indonesia,0.0,2.0,2.0,12.0,1.0,6.0,0.0,0.0,3.0,0.0,2.0,6.0,4.0,1.0,1.0,45.0,0.0,2157.0,0.0,0.0,31.0,20.0,118.0,4.0,2.0,71.0,0.0,7.0,0.0,0.0,1.0,0.0,35.0,1.0,0.0,13.0,0.0,16.0,8.0,1.0,7.0,7.0,2.0,1.0,22.0,53.0,25.0,10.0,47.0,12.0,2.0,0.0,103.0,1.0,0.0,0.0,8.0,0.0,9.0,38.0,0.0,0.0,2.0,2.0,29.0,42.0,4.0,38.0,79.0,0.0,0.0,1.0,1.0,10.0,3.0,1.0,25.0,40.0,184.0,0.0,8.0,1.0,1.0,0.0,20.0,31.0,10.0,9.0,11.0,0.0,8.0,2.0,0.0,19.0,0.0,8.0,0.0,7.0,23.0,1.0,3.0,25.0,0.0,3.0,1.0,1.0,94.0,0.0,20.0,6.0,0.0,1.0,0.0,1.0,31.0
Austria,0.0,1.0,0.0,62.0,1.0,12.0,4.0,0.0,3.0,0.0,5.0,3.0,7.0,12.0,4.0,12.0,1.0,973.0,1.0,1.0,8.0,3.0,13.0,19.0,0.0,14.0,0.0,17.0,2.0,0.0,4.0,2.0,20.0,0.0,0.0,0.0,0.0,7.0,22.0,3.0,22.0,1.0,2.0,0.0,26.0,22.0,27.0,3.0,17.0,19.0,0.0,0.0,136.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,4.0,0.0,23.0,0.0,14.0,29.0,0.0,37.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,7.0,31.0,6.0,5.0,0.0,8.0,16.0,3.0,0.0,1.0,12.0,7.0,14.0,24.0,0.0,2.0,1.0,2.0,2.0,1.0,5.0,0.0,21.0,9.0,0.0,1.0,8.0,5.0,2.0,2.0,0.0,4.0,0.0,15.0,16.0,0.0,6.0,0.0,0.0,16.0
Romania,0.0,17.0,1.0,77.0,1.0,162.0,9.0,0.0,3.0,0.0,18.0,0.0,3.0,1.0,0.0,24.0,0.0,1159.0,0.0,3.0,12.0,19.0,1.0,4.0,0.0,19.0,5.0,18.0,4.0,0.0,2.0,0.0,37.0,1.0,0.0,0.0,0.0,39.0,5.0,1.0,1.0,23.0,0.0,0.0,7.0,27.0,22.0,2.0,13.0,8.0,0.0,0.0,224.0,0.0,0.0,0.0,2.0,1.0,7.0,12.0,11.0,0.0,10.0,1.0,6.0,3.0,0.0,21.0,20.0,0.0,0.0,0.0,0.0,266.0,0.0,2.0,18.0,31.0,25.0,1.0,26.0,9.0,2.0,0.0,11.0,10.0,78.0,15.0,65.0,0.0,3.0,1.0,0.0,5.0,0.0,86.0,0.0,12.0,6.0,0.0,4.0,12.0,0.0,108.0,0.0,1.0,84.0,0.0,16.0,36.0,0.0,36.0,0.0,3.0,3.0
Guinea-Bissau,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,0.0,7.0,0.0,146.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,2.0,0.0,360.0,7.0,0.0,13.0,5.0,0.0,6.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,23.0,54.0,0.0,15.0,0.0,0.0,0.0,41.0,21.0,19.0,0.0,5.0,2.0,0.0,0.0,138.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,8.0,0.0,10.0,1.0,1.0,0.0,1.0,1.0,8.0,4.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,8.0,2.0,7.0,1.0,1.0,9.0,0.0,2.0,1.0,0.0,2.0,6.0,4.0,1.0
Rwanda,0.0,1.0,9.0,70.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,9.0,1.0,3.0,0.0,122.0,0.0,1.0,6.0,2.0,1.0,45.0,1.0,68.0,1.0,7.0,0.0,7.0,1.0,0.0,18.0,0.0,0.0,14.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,4.0,0.0,32.0,0.0,0.0,2.0,1.0,2.0,6.0,0.0,6.0,0.0,2.0,0.0,0.0,41.0,27.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,2.0,1.0,5.0,2.0,3.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,1.0,6.0,0.0,2.0,4.0,8.0,0.0,9.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,8.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0
Philippines,0.0,10.0,1.0,67.0,7.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,40.0,3.0,39.0,0.0,1048.0,0.0,0.0,8.0,3.0,124.0,1.0,1.0,62.0,0.0,147.0,2.0,0.0,1.0,1.0,9.0,1.0,0.0,1.0,0.0,47.0,11.0,0.0,1.0,7.0,0.0,0.0,4.0,25.0,6.0,1.0,2.0,6.0,3.0,0.0,48.0,0.0,0.0,0.0,2.0,0.0,6.0,76.0,0.0,0.0,0.0,0.0,8.0,15.0,4.0,57.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,10.0,17.0,0.0,34.0,14.0,0.0,0.0,2.0,13.0,10.0,21.0,3.0,27.0,1.0,23.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,31.0,11.0,0.0,0.0,0.0,2.0,14.0
Comoros,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,40.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,16.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0
Saudi Arabia,0.0,2.0,0.0,5.0,1.0,2.0,7.0,0.0,0.0,0.0,3.0,2.0,0.0,20.0,1.0,9.0,0.0,677.0,0.0,0.0,6.0,3.0,7.0,56.0,0.0,35.0,1.0,165.0,0.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,1.0,54.0,22.0,1.0,5.0,2.0,0.0,0.0,4.0,4.0,2.0,3.0,3.0,4.0,0.0,0.0,65.0,0.0,0.0,1.0,3.0,3.0,10.0,0.0,3.0,1.0,2.0,0.0,51.0,6.0,1.0,51.0,55.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,8.0,2.0,5.0,1.0,3.0,0.0,1.0,1.0,2.0,5.0,12.0,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,9.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,48.0,0.0,11.0,9.0,0.0,0.0,0.0,10.0,5.0
Pakistan,0.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,153.0,3.0,20.0,4.0,457.0,0.0,0.0,5.0,3.0,642.0,35.0,0.0,69.0,3.0,22.0,1.0,1.0,1.0,0.0,11.0,0.0,0.0,2.0,1.0,33.0,15.0,0.0,3.0,3.0,4.0,0.0,21.0,21.0,30.0,7.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,13.0,18.0,5.0,0.0,1.0,1.0,0.0,4.0,464.0,0.0,270.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,12.0,368.0,1.0,5.0,4.0,2.0,0.0,7.0,2.0,5.0,7.0,7.0,0.0,43.0,1.0,0.0,4.0,0.0,3.0,0.0,17.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,39.0,0.0,469.0,5.0,9.0,2.0,0.0,10.0,24.0
Djibouti,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
Somalia,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,40.0,0.0,1.0,0.0,101.0,0.0,0.0,0.0,1.0,8.0,7.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0
Singapore,0.0,1.0,1.0,40.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,22.0,0.0,859.0,0.0,0.0,143.0,1.0,28.0,5.0,0.0,14.0,0.0,32.0,0.0,0.0,6.0,1.0,7.0,0.0,0.0,0.0,1.0,21.0,5.0,0.0,6.0,2.0,1.0,6.0,2.0,6.0,5.0,0.0,3.0,3.0,0.0,0.0,72.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,12.0,7.0,3.0,0.0,5.0,32.0,1.0,0.0,0.0,6.0,20.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,5.0,0.0,1.0,0.0,2.0,25.0
Greenland,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Zambia,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Cambodia,0.0,1.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,1.0,0.0,438.0,0.0,0.0,2.0,1.0,10.0,0.0,1.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,7.0,0.0,1.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0
Sudan,0.0,5.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,15.0,1.0,13.0,26.0,4.0,3.0,82.0,0.0,0.0,0.0,0.0,62.0,47.0,1.0,712.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,42.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,19.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,189.0,46.0,59.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,27.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,8.0,0.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,18.0,17.0,3.0,13.0,0.0,25.0,30.0
Ireland,0.0,1.0,2.0,342.0,1.0,4.0,7.0,0.0,3.0,0.0,1.0,3.0,12.0,6.0,1.0,34.0,0.0,1729.0,0.0,5.0,17.0,2.0,1.0,0.0,0.0,24.0,3.0,28.0,4.0,0.0,0.0,0.0,58.0,2.0,0.0,0.0,2.0,88.0,9.0,8.0,18.0,2.0,0.0,1.0,21.0,8.0,72.0,0.0,12.0,10.0,2.0,0.0,371.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,1.0,0.0,20.0,0.0,7.0,5.0,3.0,33.0,97.0,1.0,0.0,0.0,20.0,3.0,1.0,0.0,7.0,8.0,10.0,3.0,3.0,80.0,1.0,0.0,9.0,3.0,42.0,30.0,57.0,0.0,1.0,9.0,0.0,6.0,2.0,7.0,0.0,58.0,8.0,9.0,0.0,11.0,1.0,7.0,0.0,1.0,23.0,0.0,21.0,1.0,0.0,6.0,0.0,3.0,8.0
