,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Australia,0.0,8.0,4.0,96.0,5.0,26.0,4.0,18.0,12.0,4.0,21.0,21.0,124.0,6.0,15.0,105.0,0.0,3040.0,5.0,0.0,103.0,54.0,12.0,25.0,1.0,125.0,3.0,122.0,10.0,0.0,19.0,28.0,54.0,6.0,1.0,5.0,6.0,84.0,35.0,6.0,49.0,11.0,7.0,143.0,41.0,90.0,112.0,5.0,75.0,64.0,6.0,0.0,989.0,124.0,1.0,1.0,16.0,0.0,39.0,21.0,2.0,0.0,5.0,0.0,27.0,43.0,1.0,164.0,60.0,2.0,0.0,33.0,12.0,20.0,2.0,8.0,48.0,27.0,26.0,19.0,26.0,165.0,2.0,2.0,28.0,16.0,30.0,120.0,23.0,5.0,5.0,5.0,0.0,12.0,3.0,20.0,0.0,206.0,23.0,23.0,12.0,37.0,8.0,10.0,6.0,1.0,40.0,3.0,65.0,31.0,0.0,8.0,0.0,7.0,43.0
Armenia,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,7.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Syrian Arab Republic,0.0,1.0,0.0,5.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,3.0,6.0,0.0,181.0,0.0,0.0,5.0,0.0,7.0,121.0,0.0,22.0,0.0,36.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,37.0,21.0,2.0,4.0,2.0,1.0,0.0,7.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,74.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,10.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,17.0,0.0,10.0,6.0,3.0,1.0,1.0,3.0,7.0
"Korea, Republic of",0.0,2.0,0.0,87.0,0.0,10.0,0.0,0.0,2.0,0.0,4.0,2.0,2.0,22.0,0.0,10.0,1.0,866.0,2.0,1.0,49.0,19.0,3.0,2.0,0.0,24.0,1.0,36.0,2.0,0.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,22.0,3.0,0.0,4.0,2.0,8.0,0.0,14.0,36.0,25.0,6.0,12.0,9.0,1.0,0.0,105.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,36.0,8.0,0.0,91.0,3.0,7.0,0.0,1.0,1.0,5.0,0.0,18.0,6.0,19.0,1.0,1.0,2.0,15.0,2.0,2.0,14.0,1.0,13.0,7.0,4.0,0.0,1.0,9.0,0.0,13.0,0.0,4.0,0.0,16.0,2.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,135.0,1.0,0.0,0.0,0.0,0.0,6.0
Israel,0.0,2.0,0.0,16.0,0.0,1.0,2.0,0.0,19.0,1.0,8.0,0.0,0.0,28.0,0.0,25.0,0.0,928.0,0.0,1.0,12.0,3.0,4.0,188.0,1.0,10.0,0.0,20.0,1.0,1.0,3.0,1.0,16.0,0.0,0.0,0.0,0.0,44.0,2.0,0.0,6.0,10.0,2.0,0.0,2.0,15.0,7.0,1.0,11.0,16.0,0.0,0.0,56.0,0.0,1.0,0.0,0.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,31.0,10.0,0.0,27.0,13.0,1.0,0.0,0.0,2.0,7.0,4.0,0.0,6.0,19.0,68.0,1.0,2.0,8.0,0.0,0.0,37.0,39.0,16.0,15.0,32.0,0.0,3.0,2.0,0.0,5.0,0.0,12.0,0.0,41.0,6.0,6.0,11.0,1.0,4.0,1.0,0.0,1.0,23.0,1.0,13.0,31.0,0.0,4.0,1.0,28.0,10.0
"Taiwan, Province of China",0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,10.0,0.0,5.0,0.0,87.0,0.0,1370.0,2.0,0.0,4.0,4.0,57.0,3.0,0.0,15.0,0.0,17.0,20.0,0.0,5.0,0.0,13.0,0.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,5.0,6.0,3.0,1.0,16.0,17.0,2.0,13.0,8.0,0.0,0.0,134.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,8.0,1.0,40.0,4.0,1.0,0.0,0.0,0.0,76.0,0.0,3.0,5.0,235.0,4.0,0.0,3.0,12.0,2.0,0.0,1.0,1.0,67.0,11.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,22.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,0.0,12.0,25.0,1.0,0.0,0.0,4.0,13.0
Kosovo,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,137.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"Korea, Democratic People's Republic of",0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,80.0,0.0,8.0,0.0,273.0,0.0,0.0,16.0,0.0,1.0,1.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,8.0,0.0,0.0,1.0,0.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,1.0
Lithuania,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,46.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Slovakia,0.0,1.0,0.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,234.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,1.0,7.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0
Angola,0.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,1.0,1.0,147.0,0.0,0.0,6.0,0.0,3.0,0.0,1.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,35.0,8.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,8.0,1.0,0.0,0.0,0.0,5.0,4.0
Burkina Faso,0.0,1.0,1.0,23.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,1.0,4.0,0.0,10.0,0.0,276.0,1.0,0.0,10.0,2.0,14.0,7.0,2.0,27.0,1.0,5.0,0.0,0.0,4.0,1.0,30.0,0.0,0.0,7.0,0.0,15.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,4.0,1.0,1.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,7.0,3.0,0.0,0.0,2.0,1.0,11.0,99.0,4.0,20.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,11.0,0.0,16.0,7.0,4.0,2.0,2.0,0.0,3.0,5.0,13.0,0.0,0.0,7.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,15.0,0.0,8.0,8.0,0.0,0.0,0.0,4.0,6.0
Mozambique,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,3.0,0.0,130.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,63.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,68.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,8.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0
Mexico,0.0,2.0,2.0,282.0,2.0,25.0,27.0,0.0,2.0,21.0,37.0,23.0,7.0,22.0,8.0,48.0,0.0,2915.0,28.0,0.0,9.0,13.0,155.0,17.0,1.0,38.0,0.0,19.0,0.0,0.0,1.0,11.0,18.0,0.0,0.0,4.0,17.0,96.0,4.0,0.0,6.0,50.0,6.0,18.0,67.0,80.0,103.0,1.0,51.0,13.0,2.0,0.0,144.0,1.0,0.0,0.0,2.0,3.0,70.0,3.0,4.0,2.0,3.0,0.0,1.0,15.0,3.0,120.0,184.0,2.0,0.0,0.0,2.0,3.0,6.0,2.0,3.0,39.0,24.0,2.0,40.0,14.0,157.0,1.0,55.0,3.0,28.0,118.0,32.0,1.0,4.0,1.0,0.0,5.0,2.0,227.0,0.0,58.0,39.0,11.0,7.0,9.0,2.0,3.0,12.0,2.0,27.0,0.0,45.0,21.0,0.0,12.0,0.0,15.0,160.0
Austria,0.0,1.0,6.0,37.0,0.0,8.0,4.0,0.0,2.0,0.0,8.0,2.0,9.0,0.0,2.0,14.0,1.0,1093.0,1.0,1.0,8.0,4.0,0.0,42.0,0.0,16.0,1.0,20.0,3.0,0.0,5.0,1.0,32.0,0.0,0.0,0.0,0.0,7.0,22.0,3.0,47.0,4.0,2.0,0.0,32.0,30.0,60.0,3.0,26.0,31.0,0.0,0.0,122.0,0.0,0.0,1.0,3.0,1.0,5.0,3.0,6.0,0.0,29.0,0.0,15.0,6.0,0.0,39.0,10.0,1.0,0.0,0.0,0.0,5.0,0.0,7.0,29.0,9.0,12.0,0.0,8.0,2.0,6.0,0.0,3.0,9.0,9.0,23.0,26.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,0.0,22.0,12.0,1.0,2.0,7.0,5.0,2.0,4.0,0.0,8.0,0.0,4.0,15.0,0.0,5.0,0.0,1.0,17.0
Guinea-Bissau,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwanda,0.0,1.0,9.0,43.0,0.0,0.0,3.0,3.0,1.0,41.0,0.0,1.0,14.0,1.0,2.0,5.0,0.0,215.0,0.0,1.0,8.0,2.0,1.0,4.0,19.0,67.0,14.0,6.0,0.0,7.0,1.0,0.0,15.0,0.0,0.0,57.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,2.0,13.0,0.0,30.0,0.0,0.0,1.0,1.0,12.0,45.0,0.0,4.0,0.0,1.0,0.0,8.0,125.0,27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,2.0,0.0,5.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,6.0,0.0,1.0,12.0,0.0,5.0,29.0,7.0,0.0,17.0,1.0,0.0,0.0,4.0,28.0,0.0,0.0,8.0,20.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,5.0
Philippines,0.0,2.0,1.0,75.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,21.0,1.0,35.0,1.0,57.0,3.0,1249.0,0.0,0.0,11.0,2.0,270.0,2.0,1.0,59.0,0.0,212.0,2.0,0.0,3.0,1.0,9.0,1.0,0.0,1.0,0.0,48.0,12.0,0.0,1.0,7.0,0.0,0.0,8.0,29.0,8.0,1.0,7.0,0.0,3.0,0.0,56.0,5.0,0.0,0.0,2.0,0.0,8.0,74.0,0.0,0.0,0.0,0.0,11.0,14.0,3.0,60.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,12.0,19.0,0.0,35.0,14.0,0.0,0.0,2.0,13.0,10.0,29.0,14.0,22.0,1.0,27.0,0.0,0.0,0.0,4.0,0.0,7.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,58.0,10.0,0.0,0.0,1.0,3.0,15.0
Comoros,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,46.0,0.0,0.0,2.0,1.0,2.0,5.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,24.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,16.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,8.0,0.0,0.0,0.0,3.0,2.0
Saudi Arabia,0.0,1.0,0.0,6.0,1.0,3.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,42.0,1.0,29.0,0.0,970.0,0.0,0.0,5.0,4.0,8.0,72.0,1.0,8.0,1.0,162.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,1.0,122.0,19.0,0.0,3.0,2.0,0.0,0.0,2.0,5.0,4.0,5.0,5.0,3.0,0.0,0.0,64.0,0.0,0.0,1.0,4.0,1.0,10.0,0.0,1.0,1.0,2.0,0.0,58.0,11.0,2.0,54.0,80.0,1.0,2.0,0.0,0.0,15.0,0.0,0.0,6.0,2.0,19.0,1.0,3.0,0.0,1.0,1.0,1.0,5.0,16.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,11.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,55.0,0.0,7.0,14.0,0.0,0.0,0.0,35.0,5.0
Pakistan,0.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,9.0,0.0,178.0,3.0,23.0,18.0,550.0,0.0,0.0,4.0,1.0,670.0,35.0,0.0,74.0,2.0,20.0,1.0,1.0,1.0,0.0,19.0,1.0,0.0,2.0,0.0,33.0,21.0,0.0,3.0,3.0,2.0,0.0,21.0,19.0,27.0,1.0,2.0,3.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,13.0,17.0,5.0,0.0,1.0,1.0,0.0,3.0,453.0,0.0,272.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,14.0,454.0,2.0,4.0,14.0,2.0,0.0,8.0,1.0,9.0,8.0,9.0,0.0,43.0,1.0,0.0,6.0,0.0,2.0,0.0,17.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,37.0,0.0,451.0,2.0,9.0,2.0,0.0,12.0,30.0
Djibouti,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Singapore,0.0,1.0,1.0,28.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,19.0,0.0,2.0,0.0,33.0,0.0,935.0,0.0,0.0,159.0,3.0,135.0,5.0,0.0,35.0,0.0,46.0,0.0,0.0,5.0,1.0,8.0,0.0,0.0,0.0,1.0,22.0,6.0,0.0,6.0,2.0,1.0,6.0,2.0,19.0,8.0,0.0,3.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,12.0,4.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,1.0,4.0,13.0,0.0,0.0,3.0,55.0,2.0,0.0,0.0,6.0,24.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,4.0,6.0,0.0,3.0,0.0,6.0,60.0
Greenland,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0
Cambodia,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,2.0,0.0,434.0,0.0,0.0,2.0,1.0,24.0,0.0,1.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,4.0,0.0,33.0,3.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0
Sudan,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,0.0,18.0,23.0,3.0,3.0,95.0,0.0,0.0,0.0,0.0,57.0,53.0,0.0,641.0,0.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,165.0,51.0,58.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,25.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,7.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,14.0,17.0,3.0,10.0,0.0,20.0,26.0
Ireland,0.0,1.0,1.0,335.0,1.0,6.0,1.0,0.0,2.0,0.0,14.0,3.0,6.0,5.0,1.0,27.0,0.0,1913.0,0.0,2.0,24.0,9.0,2.0,0.0,0.0,22.0,1.0,27.0,5.0,0.0,2.0,0.0,61.0,2.0,0.0,0.0,2.0,95.0,4.0,8.0,22.0,0.0,0.0,1.0,18.0,25.0,79.0,0.0,14.0,14.0,0.0,0.0,320.0,0.0,0.0,0.0,3.0,0.0,4.0,2.0,0.0,0.0,32.0,0.0,7.0,9.0,3.0,39.0,64.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,6.0,2.0,19.0,0.0,8.0,51.0,0.0,0.0,10.0,3.0,49.0,56.0,63.0,1.0,0.0,9.0,0.0,5.0,2.0,7.0,0.0,59.0,5.0,3.0,1.0,8.0,1.0,0.0,1.0,0.0,22.0,0.0,19.0,3.0,0.0,0.0,0.0,2.0,7.0
Gambia,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,42.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,6.0,1.0,1.0,1.0,3.0,0.0,4.0,1.0,3.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
