,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,60.0,18.0,4.0,1051.0,5.0,223.0,124.0,9.0,38.0,79.0,47.0,48.0,87.0,41.0,18.0,213.0,2.0,9665.0,1.0,3.0,94.0,66.0,128.0,179.0,1.0,482.0,26.0,112.0,10.0,0.0,41.0,5.0,177.0,15.0,0.0,12.0,6.0,288.0,78.0,6.0,53.0,77.0,17.0,4.0,69.0,369.0,495.0,20.0,624.0,156.0,0.0,0.0,546.0,1.0,7.0,3.0,81.0,81.0,92.0,12.0,40.0,3.0,28.0,5.0,49.0,127.0,97.0,209.0,228.0,0.0,0.0,1.0,10.0,29.0,5.0,3.0,69.0,80.0,107.0,10.0,129.0,64.0,6.0,0.0,154.0,21.0,41.0,452.0,455.0,1.0,171.0,18.0,0.0,46.0,31.0,965.0,2.0,366.0,89.0,38.0,17.0,78.0,6.0,30.0,37.0,1.0,298.0,0.0,50.0,49.0,4.0,213.0,0.0,41.0,219.0
Norway,3.0,2.0,0.0,66.0,0.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,4.0,9.0,0.0,4.0,0.0,345.0,0.0,0.0,7.0,4.0,2.0,7.0,0.0,14.0,8.0,11.0,1.0,0.0,17.0,0.0,10.0,0.0,0.0,1.0,0.0,16.0,0.0,1.0,3.0,0.0,0.0,0.0,29.0,27.0,43.0,0.0,8.0,1.0,1.0,0.0,65.0,0.0,0.0,0.0,13.0,1.0,10.0,2.0,7.0,0.0,9.0,0.0,6.0,6.0,0.0,41.0,0.0,1.0,0.0,0.0,14.0,13.0,0.0,0.0,5.0,0.0,8.0,0.0,3.0,55.0,1.0,0.0,1.0,0.0,6.0,3.0,83.0,3.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,20.0,8.0,3.0,2.0,4.0,0.0,2.0,0.0,0.0,16.0,5.0,2.0,5.0,2.0,0.0,0.0,3.0,9.0
South Africa,1.0,0.0,1.0,162.0,3.0,0.0,7.0,0.0,2.0,3.0,1.0,0.0,3.0,72.0,8.0,33.0,2.0,995.0,0.0,0.0,9.0,7.0,6.0,3.0,0.0,88.0,0.0,31.0,1.0,0.0,0.0,1.0,74.0,4.0,0.0,2.0,1.0,25.0,10.0,0.0,6.0,0.0,1.0,0.0,4.0,13.0,3.0,7.0,3.0,0.0,1.0,0.0,65.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,58.0,20.0,205.0,5.0,0.0,0.0,0.0,8.0,0.0,2.0,17.0,6.0,20.0,5.0,1.0,11.0,5.0,3.0,0.0,10.0,1.0,74.0,21.0,6.0,1.0,4.0,3.0,0.0,4.0,3.0,8.0,0.0,6.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,89.0,0.0,23.0,7.0,1.0,2.0,0.0,9.0,14.0
Japan,8.0,9.0,4.0,607.0,2.0,14.0,4.0,1.0,33.0,7.0,27.0,11.0,6.0,14.0,12.0,96.0,0.0,4312.0,1.0,1.0,70.0,60.0,54.0,10.0,0.0,73.0,5.0,127.0,286.0,1.0,8.0,2.0,125.0,3.0,0.0,16.0,1.0,262.0,24.0,0.0,9.0,9.0,2.0,1.0,11.0,44.0,68.0,17.0,103.0,64.0,0.0,1.0,287.0,6.0,4.0,198.0,70.0,2.0,14.0,2.0,1.0,0.0,11.0,0.0,33.0,55.0,4.0,131.0,15.0,2.0,1.0,0.0,14.0,38.0,7.0,2.0,29.0,150.0,15.0,1.0,12.0,81.0,7.0,1.0,33.0,21.0,36.0,34.0,47.0,1.0,1.0,10.0,0.0,20.0,7.0,19.0,0.0,178.0,121.0,9.0,2.0,9.0,0.0,5.0,1.0,0.0,65.0,0.0,9.0,24.0,0.0,9.0,0.0,38.0,65.0
Namibia,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
Peru,2.0,0.0,2.0,452.0,1.0,8.0,6.0,0.0,5.0,6.0,2.0,7.0,1.0,5.0,0.0,31.0,0.0,1837.0,0.0,0.0,3.0,5.0,151.0,13.0,2.0,15.0,0.0,16.0,1.0,0.0,2.0,1.0,22.0,2.0,0.0,4.0,0.0,13.0,0.0,2.0,1.0,10.0,4.0,0.0,28.0,48.0,14.0,1.0,17.0,1.0,1.0,0.0,130.0,0.0,1.0,0.0,0.0,8.0,17.0,6.0,0.0,1.0,7.0,0.0,6.0,22.0,6.0,91.0,22.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,5.0,17.0,38.0,0.0,81.0,4.0,4.0,0.0,54.0,8.0,6.0,48.0,26.0,0.0,6.0,9.0,0.0,2.0,2.0,179.0,1.0,23.0,15.0,0.0,14.0,1.0,0.0,0.0,3.0,2.0,30.0,0.0,24.0,8.0,0.0,0.0,0.0,12.0,64.0
Iceland,4.0,0.0,0.0,50.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,189.0,2.0,0.0,4.0,9.0,1.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,7.0,5.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,12.0
Italy,93.0,17.0,5.0,556.0,9.0,146.0,189.0,2.0,53.0,26.0,27.0,57.0,51.0,17.0,12.0,270.0,1.0,23467.0,0.0,0.0,83.0,313.0,85.0,33.0,1.0,224.0,51.0,76.0,29.0,0.0,43.0,37.0,398.0,1.0,0.0,27.0,2.0,274.0,102.0,5.0,15.0,87.0,5.0,1.0,54.0,285.0,734.0,9.0,760.0,849.0,15.0,0.0,712.0,2.0,7.0,0.0,457.0,19.0,79.0,7.0,186.0,0.0,14.0,1.0,92.0,112.0,11.0,444.0,394.0,11.0,0.0,0.0,30.0,95.0,9.0,38.0,279.0,69.0,145.0,11.0,15.0,433.0,15.0,1.0,91.0,272.0,172.0,324.0,297.0,3.0,121.0,17.0,0.0,33.0,10.0,185.0,3.0,142.0,98.0,37.0,56.0,73.0,14.0,146.0,4.0,3.0,68.0,0.0,76.0,87.0,0.0,204.0,1.0,22.0,114.0
Hong Kong,1.0,5.0,1.0,222.0,2.0,26.0,3.0,0.0,9.0,3.0,1.0,9.0,4.0,6.0,8.0,92.0,2.0,3734.0,1.0,0.0,110.0,11.0,20.0,7.0,2.0,125.0,1.0,101.0,7.0,0.0,22.0,8.0,34.0,0.0,0.0,3.0,0.0,115.0,34.0,1.0,9.0,4.0,10.0,0.0,13.0,92.0,40.0,15.0,58.0,14.0,4.0,0.0,238.0,2.0,0.0,4.0,4.0,7.0,4.0,3.0,0.0,0.0,17.0,0.0,29.0,15.0,7.0,48.0,9.0,0.0,0.0,3.0,8.0,66.0,1.0,4.0,24.0,73.0,11.0,0.0,9.0,18.0,9.0,1.0,13.0,3.0,99.0,31.0,38.0,3.0,1.0,1.0,2.0,8.0,1.0,9.0,1.0,142.0,9.0,5.0,3.0,6.0,0.0,0.0,4.0,2.0,24.0,1.0,21.0,441.0,1.0,7.0,0.0,7.0,26.0
France,2.0,56.0,1.0,1972.0,8.0,58.0,29.0,0.0,28.0,4.0,10.0,114.0,61.0,77.0,23.0,153.0,1.0,5754.0,1.0,8.0,117.0,60.0,183.0,140.0,8.0,178.0,6.0,195.0,6.0,0.0,58.0,4.0,322.0,5.0,0.0,2.0,3.0,246.0,69.0,1.0,95.0,16.0,3.0,0.0,30.0,158.0,114.0,10.0,83.0,15.0,1.0,0.0,1534.0,1.0,2.0,0.0,20.0,5.0,71.0,25.0,165.0,0.0,64.0,1.0,100.0,81.0,11.0,168.0,98.0,4.0,1.0,1.0,115.0,28.0,8.0,9.0,67.0,32.0,47.0,12.0,59.0,180.0,7.0,2.0,43.0,7.0,56.0,199.0,238.0,2.0,8.0,24.0,4.0,24.0,23.0,140.0,1.0,90.0,82.0,22.0,6.0,48.0,0.0,8.0,2.0,1.0,122.0,0.0,77.0,64.0,6.0,22.0,3.0,53.0,162.0
