,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Chile,1.0,1.0,1.0,10.0,2.0,0.0,14.0,0.0,3.0,5.0,1.0,2.0,0.0,4.0,0.0,18.0,0.0,1196.0,0.0,0.0,3.0,7.0,5.0,5.0,1.0,6.0,3.0,11.0,1.0,0.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,20.0,0.0,36.0,7.0,12.0,0.0,7.0,2.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,5.0,5.0,5.0,18.0,3.0,0.0,3.0,1.0,10.0,12.0,10.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,22.0,11.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,8.0
Philippines,1.0,0.0,2.0,165.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,33.0,2.0,44.0,0.0,1177.0,1.0,0.0,14.0,1.0,179.0,2.0,0.0,49.0,0.0,505.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,30.0,3.0,1.0,0.0,3.0,4.0,0.0,3.0,22.0,53.0,0.0,2.0,4.0,6.0,0.0,103.0,4.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,6.0,11.0,1.0,57.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,26.0,24.0,19.0,0.0,27.0,3.0,0.0,0.0,12.0,10.0,4.0,14.0,1.0,13.0,0.0,26.0,0.0,0.0,3.0,4.0,1.0,13.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,14.0,3.0,0.0,1.0,0.0,3.0,9.0
"Congo, The Democratic Republic of the",1.0,2.0,3.0,32.0,1.0,2.0,7.0,0.0,0.0,0.0,8.0,2.0,0.0,36.0,4.0,6.0,49.0,359.0,2.0,0.0,6.0,5.0,9.0,0.0,0.0,558.0,1.0,32.0,5.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,5.0,37.0,5.0,0.0,6.0,2.0,2.0,0.0,24.0,12.0,6.0,4.0,38.0,8.0,0.0,1.0,49.0,0.0,1.0,0.0,2.0,0.0,12.0,2.0,0.0,0.0,2.0,0.0,19.0,27.0,4.0,99.0,9.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,6.0,9.0,50.0,8.0,3.0,14.0,0.0,1.0,15.0,5.0,15.0,14.0,7.0,0.0,2.0,0.0,0.0,7.0,12.0,25.0,0.0,29.0,1.0,1.0,0.0,7.0,0.0,6.0,5.0,0.0,36.0,0.0,16.0,4.0,0.0,0.0,5.0,14.0,18.0
Haiti,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,75.0,0.0,2.0,0.0,72.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,115.0,1.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0
China,0.0,37.0,3.0,852.0,2.0,18.0,29.0,0.0,41.0,5.0,11.0,10.0,40.0,35.0,6.0,316.0,1.0,13095.0,23.0,5.0,180.0,103.0,67.0,73.0,0.0,734.0,116.0,280.0,67.0,1.0,67.0,10.0,366.0,3.0,0.0,11.0,9.0,272.0,35.0,2.0,13.0,23.0,59.0,5.0,67.0,361.0,271.0,112.0,238.0,36.0,10.0,0.0,1252.0,46.0,23.0,8.0,13.0,10.0,32.0,13.0,7.0,3.0,16.0,2.0,589.0,225.0,43.0,778.0,66.0,23.0,8.0,3.0,23.0,2844.0,6.0,24.0,96.0,8351.0,80.0,3.0,59.0,128.0,18.0,4.0,52.0,19.0,897.0,90.0,135.0,2.0,5.0,50.0,0.0,47.0,3.0,90.0,1.0,318.0,56.0,22.0,24.0,41.0,2.0,10.0,5.0,4.0,187.0,1.0,59.0,298.0,2.0,5.0,0.0,36.0,173.0
Sweden,0.0,4.0,3.0,97.0,2.0,3.0,4.0,0.0,17.0,8.0,0.0,3.0,23.0,10.0,1.0,33.0,5.0,1062.0,0.0,1.0,21.0,14.0,1.0,13.0,0.0,62.0,4.0,33.0,4.0,0.0,10.0,1.0,31.0,0.0,0.0,0.0,2.0,9.0,8.0,3.0,3.0,8.0,8.0,0.0,9.0,19.0,20.0,2.0,25.0,2.0,0.0,0.0,171.0,0.0,1.0,0.0,12.0,3.0,3.0,1.0,0.0,1.0,22.0,0.0,27.0,92.0,0.0,83.0,2.0,0.0,0.0,0.0,27.0,6.0,1.0,2.0,18.0,12.0,8.0,0.0,19.0,129.0,4.0,1.0,7.0,4.0,25.0,9.0,26.0,0.0,0.0,4.0,0.0,6.0,2.0,24.0,0.0,40.0,21.0,3.0,0.0,3.0,0.0,6.0,0.0,0.0,28.0,5.0,7.0,8.0,0.0,0.0,0.0,5.0,56.0
Botswana,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,11.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0
Bulgaria,0.0,3.0,0.0,175.0,1.0,5.0,13.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,22.0,1.0,1605.0,0.0,0.0,8.0,12.0,2.0,3.0,0.0,22.0,3.0,8.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,3.0,3.0,2.0,0.0,5.0,20.0,9.0,2.0,13.0,6.0,0.0,0.0,433.0,0.0,0.0,1.0,7.0,0.0,5.0,1.0,0.0,0.0,5.0,0.0,9.0,3.0,0.0,175.0,12.0,0.0,0.0,0.0,16.0,1.0,0.0,2.0,1.0,6.0,9.0,1.0,13.0,2.0,1.0,0.0,52.0,1.0,13.0,6.0,16.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,7.0,20.0,1.0,2.0,3.0,0.0,6.0,1.0,0.0,25.0,0.0,12.0,2.0,0.0,2.0,0.0,0.0,5.0
Ethiopia,0.0,5.0,4.0,14.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,19.0,3.0,4.0,3.0,229.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,73.0,0.0,14.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,6.0,3.0,3.0,0.0,3.0,1.0,0.0,2.0,6.0,8.0,0.0,11.0,5.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,2.0,0.0,2.0,101.0,1.0,90.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,2.0,7.0,0.0,3.0,4.0,2.0,1.0,5.0,5.0,4.0,10.0,6.0,0.0,2.0,22.0,0.0,7.0,7.0,12.0,0.0,2.0,1.0,1.0,4.0,3.0,8.0,1.0,0.0,6.0,30.0,0.0,3.0,3.0,1.0,0.0,0.0,4.0,9.0
Afghanistan,0.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,0.0,10.0,2.0,393.0,0.0,0.0,11.0,13.0,50.0,25.0,0.0,43.0,0.0,7.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,19.0,4.0,2.0,1.0,4.0,1.0,0.0,4.0,11.0,2.0,0.0,3.0,0.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,47.0,0.0,662.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,39.0,316.0,1.0,12.0,3.0,0.0,0.0,7.0,16.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,22.0,0.0,7.0,1.0,2.0,0.0,0.0,1.0,7.0
Germany,0.0,19.0,15.0,1224.0,33.0,42.0,9.0,1.0,35.0,6.0,76.0,43.0,41.0,34.0,11.0,145.0,6.0,10330.0,5.0,53.0,44.0,178.0,46.0,97.0,7.0,359.0,31.0,167.0,38.0,0.0,135.0,5.0,166.0,2.0,0.0,8.0,17.0,132.0,22.0,0.0,22.0,26.0,12.0,0.0,257.0,194.0,197.0,32.0,295.0,155.0,8.0,0.0,1170.0,5.0,5.0,8.0,6.0,6.0,33.0,9.0,18.0,0.0,108.0,0.0,91.0,93.0,93.0,1243.0,37.0,4.0,0.0,1.0,37.0,52.0,4.0,24.0,34.0,54.0,107.0,4.0,31.0,164.0,18.0,64.0,48.0,22.0,110.0,83.0,294.0,0.0,10.0,21.0,2.0,10.0,23.0,125.0,1.0,177.0,36.0,22.0,13.0,41.0,0.0,22.0,1.0,3.0,146.0,11.0,40.0,56.0,1.0,96.0,0.0,52.0,118.0
"Korea, Republic of",0.0,3.0,0.0,94.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,19.0,1.0,548.0,2.0,0.0,31.0,9.0,2.0,1.0,0.0,40.0,0.0,83.0,4.0,0.0,5.0,2.0,22.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,3.0,5.0,7.0,0.0,6.0,52.0,28.0,5.0,7.0,4.0,5.0,0.0,115.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,98.0,5.0,1.0,46.0,2.0,0.0,0.0,0.0,1.0,13.0,2.0,0.0,6.0,53.0,4.0,3.0,1.0,18.0,2.0,1.0,11.0,0.0,20.0,7.0,6.0,0.0,0.0,3.0,0.0,4.0,0.0,7.0,1.0,16.0,1.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,46.0,16.0,0.0,6.0,0.0,1.0,6.0
Ukraine,0.0,198.0,0.0,810.0,1.0,68.0,84.0,0.0,2.0,2.0,12.0,2.0,3.0,132.0,1.0,98.0,5.0,8550.0,0.0,10.0,332.0,7.0,11.0,558.0,8.0,344.0,47.0,38.0,12.0,1.0,6.0,2.0,38.0,0.0,0.0,1.0,6.0,160.0,22.0,1.0,3.0,76.0,65.0,1.0,50.0,127.0,81.0,4.0,26.0,6.0,4.0,0.0,550.0,1.0,2.0,1.0,3.0,0.0,24.0,66.0,0.0,2.0,5.0,0.0,43.0,71.0,4.0,1478.0,5.0,4.0,0.0,1.0,6.0,12.0,0.0,66.0,1.0,26.0,554.0,4.0,220.0,10.0,15.0,0.0,67.0,187.0,24.0,53.0,19.0,0.0,8.0,0.0,0.0,8.0,1.0,73.0,0.0,34.0,23.0,3.0,25.0,14.0,2.0,2.0,2.0,0.0,274.0,23.0,91.0,32.0,1.0,5.0,0.0,14.0,30.0
South Africa,0.0,4.0,2.0,66.0,3.0,1.0,5.0,0.0,21.0,1.0,8.0,13.0,0.0,14.0,9.0,105.0,0.0,2732.0,0.0,0.0,46.0,8.0,13.0,9.0,1.0,304.0,2.0,146.0,2.0,0.0,21.0,0.0,45.0,0.0,0.0,2.0,0.0,27.0,12.0,9.0,5.0,3.0,1.0,1.0,3.0,24.0,22.0,1.0,33.0,4.0,0.0,0.0,488.0,2.0,1.0,12.0,5.0,0.0,5.0,3.0,8.0,1.0,4.0,0.0,176.0,124.0,33.0,254.0,15.0,0.0,0.0,0.0,18.0,13.0,3.0,2.0,7.0,67.0,48.0,0.0,24.0,78.0,5.0,0.0,10.0,10.0,169.0,26.0,26.0,1.0,3.0,5.0,1.0,10.0,2.0,31.0,0.0,119.0,1.0,19.0,5.0,24.0,1.0,0.0,4.0,0.0,127.0,0.0,82.0,8.0,1.0,7.0,0.0,23.0,44.0
Australia,0.0,21.0,5.0,134.0,2.0,6.0,16.0,33.0,13.0,3.0,24.0,22.0,141.0,5.0,6.0,56.0,0.0,2878.0,2.0,0.0,62.0,22.0,39.0,18.0,1.0,82.0,7.0,131.0,9.0,0.0,13.0,48.0,69.0,2.0,0.0,12.0,2.0,94.0,12.0,2.0,43.0,9.0,5.0,98.0,32.0,106.0,119.0,3.0,48.0,24.0,20.0,0.0,703.0,505.0,0.0,2.0,18.0,2.0,33.0,30.0,2.0,1.0,5.0,0.0,52.0,85.0,4.0,251.0,58.0,1.0,0.0,8.0,16.0,41.0,11.0,8.0,24.0,35.0,31.0,13.0,23.0,105.0,4.0,0.0,28.0,7.0,45.0,88.0,33.0,10.0,12.0,6.0,0.0,11.0,2.0,51.0,2.0,252.0,21.0,21.0,2.0,51.0,4.0,3.0,6.0,3.0,32.0,0.0,34.0,29.0,2.0,26.0,0.0,42.0,109.0
Kazakhstan,0.0,9.0,0.0,15.0,2.0,0.0,17.0,0.0,1.0,1.0,3.0,2.0,8.0,3.0,2.0,11.0,7.0,276.0,0.0,0.0,47.0,6.0,2.0,18.0,0.0,32.0,6.0,3.0,0.0,0.0,2.0,1.0,16.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,6.0,5.0,2.0,8.0,4.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,10.0,9.0,0.0,20.0,3.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,111.0,3.0,0.0,22.0,6.0,1.0,0.0,1.0,0.0,1.0,6.0,10.0,0.0,1.0,2.0,0.0,2.0,6.0,1.0,1.0,4.0,7.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,14.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,3.0
Kenya,0.0,1.0,0.0,6.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,18.0,1.0,11.0,25.0,7.0,1.0,367.0,0.0,0.0,6.0,3.0,16.0,0.0,0.0,78.0,1.0,10.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,3.0,0.0,17.0,4.0,0.0,6.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,3.0,5.0,1.0,0.0,11.0,0.0,1.0,2.0,0.0,4.0,18.0,0.0,0.0,1.0,2.0,0.0,5.0,156.0,19.0,33.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,8.0,11.0,16.0,2.0,9.0,21.0,3.0,0.0,8.0,5.0,2.0,25.0,4.0,0.0,0.0,12.0,0.0,1.0,4.0,1.0,0.0,9.0,21.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,32.0,0.0,21.0,2.0,7.0,0.0,0.0,80.0,38.0
Uganda,0.0,12.0,1.0,9.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,7.0,6.0,0.0,236.0,0.0,0.0,10.0,2.0,5.0,0.0,0.0,71.0,0.0,9.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,4.0,0.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,9.0,1.0,4.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,6.0,75.0,3.0,35.0,13.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,2.0,6.0,79.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,13.0,14.0,0.0,0.0,10.0,2.0,0.0,12.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,19.0,9.0,0.0,6.0,0.0,32.0,17.0
Hungary,0.0,1.0,0.0,379.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,11.0,0.0,8.0,1.0,388.0,0.0,0.0,7.0,3.0,14.0,7.0,0.0,51.0,1.0,3.0,2.0,0.0,5.0,1.0,6.0,0.0,0.0,1.0,43.0,6.0,0.0,1.0,2.0,3.0,17.0,0.0,2.0,14.0,15.0,1.0,8.0,2.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,17.0,3.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,6.0,3.0,1.0,0.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,195.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,15.0
Zimbabwe,0.0,7.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,232.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,12.0,1.0,16.0,6.0,0.0,9.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,19.0,0.0,1.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,17.0,2.0,0.0,0.0,18.0,0.0,3.0,9.0,0.0,0.0,3.0,9.0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,14.0,0.0,57.0,0.0,0.0,0.0,0.0,4.0,2.0
Mexico,0.0,3.0,3.0,207.0,6.0,13.0,27.0,0.0,48.0,34.0,26.0,17.0,8.0,58.0,5.0,70.0,0.0,3337.0,7.0,0.0,25.0,19.0,121.0,26.0,1.0,66.0,2.0,22.0,8.0,1.0,6.0,5.0,35.0,0.0,0.0,3.0,2.0,62.0,4.0,1.0,7.0,24.0,1.0,0.0,212.0,132.0,103.0,5.0,71.0,14.0,2.0,0.0,128.0,0.0,0.0,0.0,0.0,3.0,41.0,5.0,0.0,3.0,3.0,0.0,18.0,45.0,0.0,163.0,2.0,3.0,0.0,0.0,13.0,2.0,12.0,5.0,3.0,21.0,12.0,0.0,61.0,14.0,43.0,0.0,79.0,19.0,25.0,119.0,36.0,2.0,14.0,2.0,0.0,11.0,4.0,45.0,6.0,123.0,37.0,3.0,6.0,7.0,1.0,5.0,7.0,1.0,37.0,1.0,37.0,68.0,0.0,4.0,0.0,8.0,122.0
Lithuania,0.0,7.0,0.0,9.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,310.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,7.0,8.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,7.0,7.0,0.0,4.0,0.0,24.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Korea, Democratic People's Republic of",0.0,14.0,0.0,12.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,41.0,0.0,929.0,0.0,0.0,32.0,0.0,1.0,6.0,0.0,41.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,27.0,4.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,184.0,0.0,0.0,0.0,0.0,1.0,0.0
Canada,0.0,10.0,0.0,619.0,9.0,13.0,3.0,0.0,31.0,3.0,10.0,7.0,17.0,7.0,9.0,275.0,0.0,6226.0,2.0,13.0,149.0,39.0,13.0,17.0,1.0,210.0,1.0,85.0,5.0,0.0,32.0,1.0,54.0,1.0,0.0,1.0,3.0,62.0,35.0,5.0,8.0,3.0,4.0,0.0,48.0,77.0,96.0,2.0,74.0,51.0,0.0,0.0,533.0,1.0,0.0,0.0,15.0,2.0,14.0,17.0,2.0,0.0,83.0,1.0,54.0,42.0,4.0,142.0,9.0,5.0,0.0,0.0,72.0,32.0,5.0,6.0,14.0,55.0,32.0,0.0,78.0,99.0,1.0,6.0,14.0,7.0,78.0,68.0,95.0,2.0,3.0,4.0,0.0,10.0,7.0,104.0,1.0,154.0,34.0,47.0,11.0,17.0,0.0,1.0,4.0,0.0,53.0,2.0,33.0,17.0,1.0,18.0,0.0,16.0,71.0
Estonia,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,11.0,0.0,220.0,0.0,0.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,11.0,3.0,2.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Iraq,0.0,9.0,2.0,44.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,3.0,22.0,8.0,6.0,28.0,481.0,0.0,0.0,1.0,0.0,7.0,263.0,0.0,127.0,3.0,105.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,1.0,70.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,4.0,0.0,2.0,4.0,9.0,0.0,0.0,2.0,0.0,8.0,9.0,21.0,32.0,1.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,4.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,14.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,9.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,21.0,0.0,11.0,19.0,1.0,1.0,6.0,27.0,0.0
Namibia,0.0,2.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,29.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,7.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,4.0,0.0,5.0,0.0,3.0,13.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,7.0,0.0,296.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,9.0,0.0,2.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,3.0,5.0,0.0,0.0,2.0,4.0,16.0,8.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0
