,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Brazil,1.0,1.0,10.0,80.0,7.0,80.0,52.0,0.0,6.0,31.0,99.0,292.0,12.0,10.0,4.0,81.0,0.0,5323.0,1.0,18.0,21.0,58.0,419.0,23.0,1.0,47.0,4.0,43.0,3.0,0.0,10.0,43.0,71.0,9.0,0.0,18.0,0.0,99.0,20.0,13.0,10.0,81.0,4.0,1.0,56.0,301.0,94.0,15.0,121.0,109.0,11.0,1.0,319.0,2.0,1.0,4.0,1.0,90.0,160.0,37.0,0.0,0.0,15.0,1.0,21.0,103.0,1.0,1000.0,232.0,0.0,2.0,1.0,8.0,32.0,19.0,2.0,51.0,37.0,601.0,1.0,216.0,20.0,38.0,1.0,425.0,328.0,40.0,119.0,35.0,1.0,4.0,51.0,0.0,23.0,9.0,339.0,0.0,474.0,139.0,34.0,66.0,62.0,3.0,3.0,7.0,4.0,93.0,0.0,34.0,156.0,4.0,11.0,0.0,244.0,583.0
Azerbaijan,1.0,6.0,0.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,11.0,0.0,458.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,38.0,0.0,31.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,9.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,10.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0
Romania,2.0,16.0,1.0,57.0,11.0,112.0,7.0,0.0,4.0,0.0,16.0,1.0,2.0,7.0,0.0,30.0,0.0,1124.0,1.0,6.0,11.0,17.0,0.0,3.0,0.0,30.0,5.0,12.0,2.0,0.0,2.0,0.0,39.0,5.0,0.0,2.0,0.0,2.0,3.0,7.0,1.0,10.0,0.0,0.0,4.0,22.0,17.0,1.0,7.0,15.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,1.0,9.0,18.0,5.0,0.0,31.0,0.0,6.0,5.0,1.0,21.0,15.0,0.0,0.0,0.0,0.0,213.0,0.0,2.0,18.0,22.0,20.0,0.0,24.0,7.0,2.0,0.0,12.0,8.0,70.0,57.0,98.0,0.0,3.0,1.0,0.0,8.0,0.0,147.0,0.0,9.0,6.0,0.0,3.0,7.0,0.0,27.0,0.0,1.0,81.0,0.0,19.0,30.0,0.0,38.0,0.0,4.0,9.0
Thailand,2.0,12.0,2.0,37.0,5.0,30.0,6.0,0.0,3.0,0.0,16.0,22.0,3.0,8.0,0.0,33.0,2.0,960.0,4.0,0.0,17.0,15.0,37.0,11.0,0.0,57.0,6.0,117.0,9.0,3.0,2.0,0.0,34.0,1.0,0.0,19.0,1.0,127.0,3.0,2.0,12.0,0.0,2.0,1.0,13.0,19.0,104.0,22.0,21.0,6.0,3.0,0.0,159.0,2.0,1.0,0.0,7.0,2.0,21.0,11.0,1.0,0.0,22.0,0.0,13.0,29.0,1.0,50.0,8.0,13.0,0.0,0.0,6.0,6.0,1.0,13.0,7.0,23.0,14.0,0.0,48.0,15.0,7.0,0.0,29.0,8.0,7.0,26.0,15.0,0.0,3.0,10.0,0.0,20.0,5.0,7.0,3.0,20.0,23.0,0.0,7.0,9.0,0.0,7.0,1.0,3.0,84.0,11.0,25.0,17.0,0.0,11.0,3.0,15.0,42.0
Kenya,4.0,5.0,0.0,9.0,1.0,5.0,4.0,0.0,3.0,0.0,0.0,19.0,8.0,21.0,17.0,3.0,0.0,496.0,4.0,0.0,9.0,1.0,5.0,1.0,2.0,208.0,7.0,31.0,2.0,2.0,1.0,0.0,8.0,0.0,0.0,8.0,2.0,43.0,13.0,0.0,8.0,6.0,2.0,0.0,5.0,16.0,8.0,1.0,13.0,3.0,3.0,0.0,39.0,0.0,1.0,1.0,0.0,5.0,6.0,4.0,0.0,0.0,2.0,1.0,5.0,85.0,15.0,89.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,2.0,17.0,4.0,19.0,8.0,1.0,0.0,8.0,0.0,2.0,30.0,10.0,0.0,0.0,18.0,0.0,12.0,16.0,2.0,0.0,4.0,5.0,0.0,2.0,1.0,8.0,5.0,0.0,1.0,18.0,0.0,32.0,3.0,13.0,0.0,0.0,36.0,23.0
Jordan,1.0,0.0,0.0,13.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,40.0,0.0,4.0,1.0,302.0,1.0,0.0,23.0,4.0,1.0,38.0,0.0,10.0,0.0,24.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,78.0,5.0,0.0,2.0,2.0,1.0,0.0,4.0,2.0,4.0,0.0,5.0,2.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,3.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0
Luxembourg,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,9.0,0.0,382.0,0.0,0.0,4.0,2.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,3.0,5.0,0.0,2.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,13.0
Norway,3.0,1.0,0.0,103.0,2.0,2.0,1.0,0.0,4.0,0.0,1.0,4.0,16.0,2.0,0.0,5.0,0.0,358.0,2.0,1.0,6.0,3.0,4.0,4.0,0.0,16.0,3.0,9.0,2.0,0.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,15.0,3.0,1.0,3.0,3.0,0.0,0.0,27.0,25.0,39.0,0.0,12.0,2.0,0.0,0.0,47.0,0.0,0.0,0.0,10.0,1.0,1.0,3.0,5.0,0.0,7.0,0.0,4.0,2.0,0.0,16.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,2.0,6.0,1.0,2.0,0.0,7.0,25.0,2.0,0.0,2.0,0.0,11.0,4.0,28.0,11.0,1.0,0.0,0.0,1.0,1.0,15.0,0.0,7.0,15.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,11.0,3.0,4.0,2.0,0.0,0.0,7.0,15.0
Russian Federation,1.0,81.0,1.0,246.0,5.0,22.0,43.0,0.0,3.0,0.0,41.0,3.0,7.0,160.0,4.0,94.0,23.0,4674.0,5.0,1.0,94.0,16.0,20.0,232.0,1.0,242.0,27.0,51.0,7.0,18.0,3.0,6.0,52.0,1.0,0.0,0.0,29.0,205.0,30.0,1.0,7.0,1.0,13.0,20.0,82.0,34.0,104.0,0.0,27.0,37.0,0.0,0.0,485.0,0.0,1.0,4.0,1.0,4.0,10.0,18.0,4.0,0.0,175.0,0.0,41.0,26.0,27.0,164.0,11.0,9.0,0.0,0.0,19.0,7.0,1.0,13.0,15.0,36.0,26.0,8.0,73.0,16.0,16.0,0.0,89.0,31.0,57.0,31.0,11.0,0.0,3.0,1.0,0.0,8.0,4.0,32.0,0.0,42.0,49.0,1.0,35.0,12.0,0.0,14.0,3.0,0.0,110.0,25.0,66.0,37.0,0.0,21.0,1.0,18.0,30.0
Puerto Rico,1.0,3.0,0.0,35.0,2.0,1.0,4.0,0.0,4.0,0.0,5.0,11.0,3.0,0.0,0.0,19.0,0.0,799.0,0.0,1.0,14.0,4.0,26.0,0.0,1.0,17.0,0.0,17.0,2.0,0.0,3.0,2.0,13.0,0.0,0.0,4.0,4.0,21.0,8.0,0.0,1.0,1.0,1.0,0.0,26.0,19.0,21.0,0.0,9.0,12.0,3.0,0.0,51.0,1.0,1.0,2.0,5.0,0.0,10.0,79.0,0.0,1.0,11.0,0.0,3.0,4.0,0.0,18.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,3.0,6.0,0.0,26.0,12.0,5.0,0.0,4.0,2.0,4.0,24.0,23.0,0.0,2.0,0.0,0.0,1.0,0.0,29.0,0.0,17.0,8.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,17.0,0.0,21.0,1.0,7.0,34.0
Belgium,1.0,0.0,0.0,255.0,1.0,2.0,11.0,0.0,5.0,1.0,8.0,2.0,7.0,8.0,3.0,19.0,0.0,1193.0,1.0,0.0,11.0,13.0,6.0,6.0,0.0,74.0,0.0,13.0,9.0,0.0,3.0,2.0,26.0,1.0,0.0,0.0,0.0,38.0,20.0,2.0,3.0,2.0,1.0,0.0,63.0,17.0,30.0,2.0,15.0,6.0,1.0,0.0,135.0,0.0,0.0,1.0,4.0,2.0,5.0,3.0,1.0,0.0,20.0,0.0,4.0,16.0,0.0,36.0,7.0,0.0,0.0,0.0,13.0,2.0,0.0,2.0,11.0,7.0,7.0,2.0,6.0,26.0,3.0,0.0,9.0,6.0,16.0,29.0,358.0,0.0,4.0,1.0,3.0,10.0,2.0,79.0,0.0,18.0,16.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,18.0,0.0,12.0,11.0,0.0,1.0,0.0,9.0,13.0
"Iran, Islamic Republic of",1.0,10.0,0.0,7.0,1.0,4.0,29.0,0.0,3.0,0.0,0.0,0.0,8.0,262.0,0.0,22.0,5.0,461.0,1.0,0.0,9.0,17.0,8.0,72.0,1.0,25.0,10.0,36.0,1.0,0.0,0.0,0.0,25.0,1.0,0.0,3.0,1.0,186.0,116.0,0.0,19.0,2.0,1.0,0.0,4.0,13.0,13.0,1.0,22.0,0.0,1.0,0.0,297.0,1.0,1.0,0.0,1.0,8.0,2.0,2.0,0.0,0.0,2.0,0.0,15.0,7.0,4.0,15.0,1.0,0.0,1.0,1.0,2.0,15.0,0.0,2.0,6.0,10.0,25.0,2.0,2.0,8.0,3.0,1.0,5.0,7.0,34.0,7.0,16.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,12.0,4.0,0.0,1.0,12.0,0.0,61.0,2.0,0.0,49.0,4.0,2.0,8.0,0.0,1.0,4.0,13.0,5.0
Viet Nam,1.0,2.0,7.0,79.0,0.0,0.0,0.0,0.0,3.0,0.0,119.0,3.0,0.0,4.0,1.0,19.0,0.0,1758.0,3.0,0.0,13.0,2.0,147.0,1.0,3.0,16.0,0.0,36.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,76.0,6.0,1.0,6.0,11.0,0.0,0.0,2.0,22.0,482.0,11.0,22.0,3.0,1.0,0.0,76.0,5.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,16.0,14.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,8.0,44.0,8.0,0.0,7.0,11.0,9.0,1.0,23.0,5.0,5.0,6.0,4.0,0.0,1.0,2.0,0.0,7.0,0.0,11.0,0.0,25.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,5.0,4.0,0.0,0.0,0.0,3.0,8.0
Honduras,2.0,0.0,0.0,16.0,0.0,7.0,9.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,0.0,2.0,0.0,419.0,0.0,1.0,0.0,4.0,79.0,7.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,9.0,0.0,27.0,6.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,4.0,12.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,4.0,1.0,2.0,0.0,7.0,11.0,2.0,8.0,5.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,27.0
Colombia,1.0,2.0,2.0,31.0,1.0,8.0,52.0,0.0,1.0,23.0,14.0,9.0,1.0,7.0,2.0,20.0,0.0,1148.0,0.0,0.0,48.0,4.0,58.0,4.0,0.0,31.0,0.0,23.0,10.0,0.0,4.0,6.0,10.0,0.0,0.0,1.0,0.0,31.0,3.0,1.0,0.0,7.0,3.0,0.0,28.0,16.0,9.0,0.0,8.0,2.0,2.0,0.0,37.0,0.0,0.0,0.0,0.0,7.0,10.0,9.0,0.0,0.0,3.0,0.0,0.0,46.0,2.0,49.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,8.0,7.0,5.0,1.0,38.0,8.0,6.0,0.0,16.0,11.0,9.0,35.0,7.0,1.0,1.0,1.0,0.0,3.0,2.0,127.0,0.0,15.0,8.0,0.0,21.0,9.0,4.0,0.0,1.0,1.0,28.0,2.0,14.0,4.0,0.0,1.0,0.0,32.0,60.0
Chile,16.0,5.0,0.0,16.0,0.0,5.0,19.0,0.0,1.0,10.0,6.0,12.0,2.0,2.0,0.0,24.0,0.0,1495.0,0.0,0.0,7.0,19.0,42.0,4.0,0.0,18.0,7.0,5.0,1.0,0.0,3.0,0.0,12.0,1.0,0.0,1.0,0.0,17.0,2.0,0.0,3.0,3.0,16.0,0.0,32.0,10.0,9.0,1.0,17.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,1.0,34.0,7.0,0.0,0.0,0.0,0.0,4.0,13.0,1.0,8.0,3.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,18.0,8.0,0.0,10.0,42.0,5.0,0.0,4.0,7.0,7.0,19.0,3.0,1.0,3.0,1.0,0.0,6.0,1.0,40.0,0.0,44.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,5.0,0.0,8.0,1.0,0.0,0.0,0.0,3.0,28.0
