,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Hungary,0.0,8.0,0.0,226.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,406.0,7.0,0.0,15.0,1.0,1.0,9.0,1.0,3.0,2.0,6.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,23.0,39.0,0.0,18.0,0.0,0.0,0.0,7.0,19.0,19.0,0.0,11.0,4.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,89.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,5.0,2.0,4.0,0.0,8.0,5.0,1.0,0.0,2.0,3.0,4.0,5.0,13.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,56.0,2.0,0.0,0.0,7.0,0.0,8.0,1.0,1.0,16.0,0.0,2.0,1.0,0.0,3.0,7.0,4.0,3.0
Rwanda,0.0,1.0,8.0,81.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,17.0,2.0,6.0,2.0,173.0,0.0,2.0,5.0,2.0,4.0,46.0,3.0,63.0,1.0,7.0,0.0,7.0,3.0,0.0,15.0,0.0,0.0,16.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,6.0,0.0,34.0,0.0,0.0,3.0,0.0,3.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,49.0,33.0,24.0,2.0,0.0,0.0,0.0,4.0,0.0,11.0,1.0,2.0,1.0,3.0,2.0,1.0,5.0,0.0,0.0,4.0,0.0,2.0,2.0,5.0,0.0,1.0,12.0,0.0,2.0,7.0,7.0,0.0,2.0,0.0,2.0,0.0,4.0,5.0,0.0,0.0,8.0,17.0,0.0,6.0,0.0,2.0,0.0,0.0,4.0,3.0
Philippines,0.0,14.0,0.0,101.0,5.0,3.0,1.0,0.0,0.0,6.0,2.0,8.0,1.0,30.0,2.0,45.0,0.0,1326.0,1.0,0.0,13.0,3.0,75.0,2.0,5.0,39.0,1.0,87.0,3.0,0.0,1.0,1.0,13.0,0.0,0.0,4.0,1.0,61.0,12.0,0.0,1.0,4.0,0.0,0.0,7.0,30.0,12.0,0.0,1.0,7.0,3.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,13.0,43.0,0.0,0.0,0.0,0.0,8.0,27.0,3.0,59.0,0.0,0.0,0.0,2.0,1.0,3.0,7.0,1.0,13.0,16.0,28.0,0.0,30.0,19.0,0.0,0.0,2.0,15.0,10.0,22.0,2.0,18.0,5.0,20.0,0.0,1.0,6.0,1.0,0.0,11.0,5.0,0.0,4.0,0.0,5.0,1.0,2.0,0.0,28.0,0.0,34.0,17.0,1.0,0.0,0.0,6.0,16.0
Hong Kong,0.0,6.0,1.0,237.0,2.0,25.0,2.0,0.0,11.0,2.0,3.0,9.0,4.0,11.0,8.0,84.0,1.0,3735.0,2.0,0.0,106.0,12.0,19.0,8.0,2.0,116.0,1.0,93.0,13.0,0.0,25.0,7.0,35.0,0.0,0.0,3.0,0.0,136.0,31.0,1.0,8.0,4.0,8.0,0.0,9.0,84.0,38.0,9.0,65.0,21.0,4.0,0.0,233.0,2.0,0.0,4.0,3.0,4.0,5.0,3.0,0.0,0.0,18.0,0.0,28.0,26.0,6.0,59.0,9.0,0.0,0.0,3.0,16.0,67.0,0.0,4.0,29.0,65.0,11.0,0.0,5.0,36.0,10.0,1.0,13.0,3.0,146.0,24.0,35.0,4.0,1.0,1.0,2.0,9.0,1.0,6.0,0.0,155.0,9.0,7.0,4.0,6.0,0.0,0.0,3.0,2.0,26.0,0.0,23.0,334.0,1.0,6.0,0.0,8.0,30.0
Czechia,0.0,14.0,4.0,318.0,15.0,34.0,7.0,1.0,36.0,10.0,25.0,28.0,33.0,15.0,43.0,82.0,1.0,2335.0,3.0,2.0,213.0,85.0,39.0,2.0,0.0,107.0,8.0,122.0,22.0,0.0,55.0,10.0,153.0,3.0,0.0,7.0,6.0,208.0,54.0,6.0,30.0,27.0,12.0,1.0,52.0,120.0,120.0,8.0,127.0,104.0,8.0,1.0,447.0,19.0,2.0,0.0,37.0,12.0,17.0,5.0,9.0,0.0,21.0,2.0,73.0,70.0,12.0,188.0,51.0,2.0,2.0,2.0,101.0,19.0,5.0,11.0,81.0,73.0,29.0,3.0,16.0,98.0,19.0,8.0,32.0,20.0,44.0,99.0,118.0,0.0,7.0,15.0,0.0,44.0,9.0,28.0,0.0,97.0,44.0,10.0,18.0,35.0,8.0,5.0,15.0,0.0,87.0,1.0,51.0,48.0,0.0,12.0,0.0,22.0,79.0
Botswana,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,71.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Comoros,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,61.0,0.0,0.0,4.0,1.0,2.0,24.0,0.0,8.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,2.0
Canada,0.0,41.0,1.0,317.0,17.0,97.0,7.0,1.0,18.0,6.0,18.0,7.0,15.0,40.0,11.0,154.0,0.0,5726.0,0.0,0.0,67.0,119.0,8.0,5.0,0.0,162.0,10.0,97.0,9.0,0.0,6.0,3.0,51.0,0.0,0.0,2.0,0.0,73.0,45.0,5.0,7.0,15.0,2.0,0.0,18.0,100.0,149.0,3.0,87.0,70.0,2.0,0.0,460.0,1.0,0.0,1.0,21.0,1.0,16.0,2.0,3.0,0.0,48.0,0.0,37.0,23.0,8.0,113.0,63.0,2.0,0.0,0.0,24.0,19.0,2.0,22.0,33.0,22.0,55.0,1.0,12.0,295.0,9.0,0.0,13.0,22.0,52.0,91.0,40.0,8.0,1.0,5.0,0.0,50.0,8.0,77.0,1.0,243.0,61.0,14.0,4.0,18.0,0.0,5.0,6.0,0.0,26.0,5.0,20.0,23.0,0.0,7.0,0.0,13.0,23.0
Costa Rica,0.0,1.0,0.0,61.0,0.0,9.0,3.0,0.0,0.0,1.0,1.0,15.0,3.0,1.0,0.0,6.0,0.0,402.0,0.0,0.0,9.0,1.0,48.0,3.0,0.0,7.0,0.0,2.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,4.0,0.0,0.0,9.0,14.0,5.0,0.0,7.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,13.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,22.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,2.0,31.0,1.0,0.0,19.0,1.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,10.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,9.0,0.0,1.0,0.0,4.0,24.0
South Sudan,0.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,11.0,1.0,3.0,0.0,84.0,0.0,0.0,1.0,0.0,2.0,14.0,2.0,32.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,4.0,0.0,0.0,3.0,1.0
Saudi Arabia,0.0,2.0,0.0,13.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,37.0,1.0,8.0,0.0,707.0,0.0,0.0,5.0,0.0,10.0,85.0,1.0,86.0,0.0,171.0,3.0,1.0,2.0,0.0,18.0,0.0,0.0,0.0,1.0,65.0,15.0,3.0,6.0,2.0,0.0,0.0,6.0,8.0,5.0,1.0,6.0,3.0,0.0,0.0,67.0,0.0,0.0,0.0,4.0,2.0,8.0,3.0,3.0,1.0,3.0,0.0,101.0,31.0,14.0,57.0,45.0,1.0,1.0,0.0,0.0,13.0,0.0,0.0,13.0,5.0,14.0,1.0,1.0,0.0,4.0,0.0,2.0,8.0,22.0,9.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,10.0,13.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,32.0,0.0,14.0,24.0,0.0,0.0,0.0,13.0,6.0
Armenia,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,72.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,8.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,22.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,21.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,5.0,1.0,0.0,0.0,3.0,1.0
Australia,0.0,14.0,2.0,118.0,9.0,59.0,1.0,23.0,53.0,8.0,11.0,11.0,131.0,11.0,13.0,145.0,0.0,5379.0,4.0,1.0,99.0,65.0,14.0,13.0,6.0,135.0,5.0,160.0,13.0,0.0,39.0,22.0,109.0,5.0,0.0,2.0,2.0,119.0,40.0,10.0,55.0,15.0,3.0,117.0,43.0,97.0,114.0,14.0,111.0,57.0,4.0,0.0,343.0,191.0,0.0,0.0,37.0,2.0,38.0,19.0,1.0,0.0,8.0,1.0,33.0,69.0,13.0,159.0,47.0,0.0,0.0,5.0,26.0,21.0,0.0,10.0,49.0,23.0,27.0,9.0,18.0,79.0,43.0,4.0,38.0,11.0,24.0,118.0,78.0,8.0,4.0,8.0,0.0,24.0,3.0,28.0,0.0,168.0,35.0,17.0,10.0,36.0,2.0,3.0,9.0,1.0,58.0,5.0,60.0,48.0,2.0,7.0,0.0,9.0,55.0
Viet Nam,0.0,14.0,10.0,137.0,0.0,37.0,0.0,0.0,1.0,0.0,93.0,9.0,7.0,4.0,0.0,11.0,0.0,1904.0,0.0,0.0,3.0,5.0,67.0,0.0,2.0,38.0,4.0,36.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,1.0,0.0,59.0,7.0,0.0,7.0,13.0,1.0,0.0,4.0,25.0,162.0,17.0,15.0,9.0,1.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,21.0,29.0,24.0,15.0,3.0,0.0,0.0,0.0,1.0,8.0,0.0,2.0,5.0,22.0,2.0,0.0,11.0,1.0,2.0,3.0,31.0,9.0,4.0,9.0,32.0,0.0,0.0,1.0,0.0,14.0,0.0,7.0,0.0,33.0,8.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,7.0,2.0,0.0,0.0,0.0,12.0,55.0
Albania,0.0,49.0,0.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,182.0,0.0,1188.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,18.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,7.0,0.0,6.0,0.0,13.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0
Pakistan,0.0,1.0,1.0,15.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,3.0,21.0,3.0,439.0,0.0,0.0,5.0,3.0,281.0,27.0,0.0,42.0,4.0,24.0,1.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,14.0,7.0,0.0,0.0,13.0,3.0,0.0,13.0,33.0,21.0,6.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,197.0,1.0,185.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,17.0,561.0,1.0,6.0,3.0,2.0,0.0,0.0,2.0,4.0,8.0,7.0,0.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,12.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,40.0,0.0,169.0,8.0,0.0,1.0,0.0,4.0,3.0
"Korea, Democratic People's Republic of",0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,219.0,0.0,0.0,16.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0
Djibouti,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,10.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
Somalia,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,54.0,0.0,2.0,0.0,91.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,1.0,362.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,1.0
Congo,0.0,7.0,1.0,11.0,2.0,0.0,0.0,1.0,0.0,25.0,5.0,35.0,4.0,94.0,9.0,5.0,15.0,202.0,0.0,0.0,2.0,4.0,7.0,0.0,9.0,576.0,7.0,10.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,8.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,1.0,20.0,0.0,0.0,1.0,1.0,0.0,7.0,53.0,9.0,122.0,6.0,0.0,0.0,6.0,0.0,0.0,8.0,2.0,2.0,9.0,43.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,5.0,13.0,3.0,0.0,0.0,7.0,0.0,4.0,36.0,80.0,0.0,9.0,2.0,1.0,4.0,1.0,6.0,0.0,0.0,0.0,12.0,0.0,19.0,3.0,0.0,0.0,0.0,25.0,10.0
"Congo, The Democratic Republic of the",0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,36.0,0.0,2.0,0.0,80.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,186.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.0,72.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,34.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,2.0,26.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,28.0,2.0,1.0,0.0,0.0,28.0,0.0
Greenland,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,55.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0
Zambia,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,25.0,2.0,2.0,0.0,87.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
Cambodia,0.0,1.0,0.0,535.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,8.0,0.0,587.0,0.0,0.0,2.0,0.0,20.0,1.0,1.0,24.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,13.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,7.0,0.0,2.0,1.0,1.0,0.0,214.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,4.0,23.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,1.0,0.0,0.0,0.0,4.0,12.0
Angola,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,9.0,2.0,2.0,1.0,159.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,106.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,22.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,3.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,1.0,15.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,19.0,0.0,8.0,2.0,0.0,0.0,0.0,12.0,8.0
Kazakhstan,0.0,6.0,1.0,3.0,4.0,6.0,19.0,1.0,9.0,3.0,3.0,2.0,9.0,17.0,0.0,9.0,0.0,244.0,0.0,0.0,4.0,9.0,2.0,2.0,0.0,10.0,1.0,22.0,4.0,0.0,6.0,1.0,18.0,0.0,0.0,1.0,1.0,30.0,7.0,1.0,8.0,11.0,2.0,0.0,5.0,51.0,30.0,1.0,51.0,17.0,2.0,0.0,55.0,0.0,1.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,7.0,0.0,9.0,7.0,4.0,40.0,7.0,0.0,0.0,0.0,3.0,4.0,0.0,123.0,9.0,54.0,26.0,1.0,7.0,14.0,2.0,1.0,15.0,3.0,6.0,14.0,5.0,0.0,3.0,3.0,0.0,6.0,5.0,8.0,0.0,22.0,7.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,31.0,0.0,6.0,12.0,4.0,0.0,0.0,8.0,6.0
Sudan,0.0,5.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,18.0,26.0,3.0,3.0,113.0,0.0,0.0,0.0,0.0,112.0,40.0,3.0,555.0,0.0,29.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,58.0,15.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,7.0,2.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,215.0,68.0,91.0,0.0,0.0,1.0,0.0,0.0,7.0,9.0,0.0,1.0,0.0,38.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,2.0,11.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,8.0,0.0,1.0,10.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0,16.0,4.0,4.0,11.0,0.0,37.0,28.0
Ireland,0.0,2.0,2.0,267.0,0.0,16.0,9.0,0.0,5.0,3.0,6.0,2.0,18.0,4.0,1.0,35.0,0.0,2107.0,0.0,4.0,22.0,5.0,0.0,1.0,0.0,19.0,3.0,40.0,4.0,0.0,4.0,0.0,39.0,3.0,0.0,0.0,1.0,91.0,14.0,5.0,36.0,3.0,18.0,1.0,20.0,13.0,81.0,0.0,15.0,11.0,2.0,0.0,352.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,1.0,0.0,11.0,1.0,3.0,4.0,1.0,32.0,78.0,1.0,0.0,0.0,70.0,4.0,2.0,1.0,5.0,17.0,10.0,3.0,8.0,114.0,2.0,0.0,8.0,0.0,28.0,27.0,172.0,0.0,5.0,2.0,0.0,8.0,1.0,1.0,0.0,39.0,9.0,16.0,1.0,9.0,1.0,7.0,1.0,1.0,20.0,0.0,18.0,1.0,0.0,7.0,0.0,8.0,8.0
