,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Japan,34.0,6.0,6.0,116.0,1.0,19.0,0.0,0.0,33.0,2.0,10.0,7.0,6.0,12.0,8.0,50.0,0.0,2913.0,4.0,1.0,43.0,82.0,24.0,5.0,0.0,64.0,4.0,79.0,256.0,1.0,18.0,3.0,98.0,1.0,0.0,18.0,3.0,287.0,13.0,0.0,12.0,19.0,3.0,1.0,11.0,63.0,72.0,29.0,94.0,68.0,3.0,1.0,216.0,15.0,4.0,87.0,3.0,0.0,25.0,1.0,2.0,0.0,5.0,0.0,21.0,26.0,11.0,79.0,11.0,2.0,1.0,1.0,7.0,43.0,3.0,3.0,25.0,187.0,9.0,0.0,19.0,42.0,1.0,1.0,28.0,14.0,47.0,32.0,21.0,0.0,3.0,9.0,0.0,13.0,0.0,13.0,0.0,116.0,89.0,5.0,1.0,5.0,0.0,1.0,3.0,0.0,41.0,0.0,10.0,38.0,0.0,6.0,0.0,15.0,35.0
Brazil,1.0,1.0,11.0,92.0,7.0,82.0,53.0,0.0,6.0,36.0,100.0,308.0,12.0,11.0,4.0,79.0,0.0,5334.0,1.0,18.0,20.0,59.0,481.0,25.0,1.0,47.0,4.0,43.0,3.0,0.0,10.0,44.0,73.0,10.0,0.0,19.0,0.0,102.0,18.0,13.0,10.0,80.0,5.0,1.0,58.0,302.0,99.0,15.0,119.0,98.0,12.0,1.0,328.0,2.0,1.0,4.0,1.0,89.0,168.0,38.0,0.0,0.0,15.0,1.0,20.0,115.0,1.0,1026.0,224.0,0.0,2.0,1.0,10.0,31.0,29.0,2.0,53.0,41.0,555.0,2.0,219.0,21.0,40.0,1.0,419.0,327.0,40.0,116.0,38.0,1.0,7.0,52.0,0.0,24.0,9.0,318.0,1.0,496.0,136.0,32.0,67.0,63.0,3.0,3.0,8.0,4.0,96.0,0.0,32.0,168.0,4.0,12.0,0.0,252.0,592.0
Azerbaijan,1.0,6.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,11.0,0.0,463.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,39.0,0.0,33.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,8.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,7.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,3.0,0.0,0.0,10.0,0.0,1.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0
Romania,2.0,16.0,1.0,60.0,11.0,112.0,8.0,0.0,4.0,0.0,15.0,1.0,2.0,7.0,0.0,29.0,0.0,1102.0,1.0,7.0,11.0,17.0,0.0,3.0,0.0,28.0,5.0,12.0,2.0,0.0,2.0,0.0,40.0,5.0,0.0,2.0,0.0,2.0,3.0,7.0,1.0,11.0,0.0,0.0,4.0,22.0,19.0,1.0,6.0,15.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,2.0,9.0,18.0,5.0,0.0,33.0,0.0,7.0,5.0,1.0,22.0,16.0,0.0,0.0,0.0,0.0,195.0,0.0,2.0,17.0,21.0,18.0,0.0,23.0,7.0,2.0,0.0,12.0,8.0,68.0,58.0,97.0,0.0,3.0,1.0,0.0,8.0,0.0,147.0,0.0,10.0,6.0,0.0,3.0,7.0,0.0,25.0,0.0,1.0,83.0,0.0,18.0,32.0,0.0,38.0,0.0,4.0,8.0
Thailand,2.0,12.0,2.0,35.0,5.0,30.0,5.0,0.0,3.0,0.0,16.0,23.0,3.0,8.0,0.0,34.0,2.0,961.0,4.0,0.0,16.0,12.0,35.0,11.0,0.0,56.0,6.0,117.0,8.0,3.0,2.0,0.0,32.0,1.0,0.0,19.0,1.0,122.0,3.0,2.0,12.0,0.0,2.0,1.0,13.0,18.0,115.0,21.0,20.0,6.0,3.0,0.0,151.0,2.0,1.0,0.0,7.0,3.0,21.0,11.0,1.0,0.0,20.0,0.0,13.0,29.0,1.0,48.0,9.0,13.0,0.0,0.0,6.0,6.0,1.0,5.0,8.0,24.0,13.0,0.0,49.0,13.0,7.0,0.0,28.0,8.0,8.0,23.0,14.0,0.0,2.0,10.0,0.0,20.0,5.0,7.0,3.0,19.0,21.0,0.0,7.0,9.0,0.0,7.0,1.0,3.0,86.0,11.0,24.0,17.0,0.0,11.0,3.0,15.0,42.0
Kenya,4.0,5.0,0.0,8.0,2.0,5.0,5.0,0.0,3.0,0.0,0.0,18.0,6.0,22.0,17.0,3.0,0.0,457.0,4.0,0.0,10.0,1.0,5.0,1.0,2.0,207.0,7.0,31.0,2.0,2.0,1.0,0.0,8.0,0.0,0.0,8.0,2.0,40.0,12.0,0.0,8.0,6.0,2.0,0.0,4.0,16.0,8.0,1.0,12.0,3.0,3.0,0.0,39.0,0.0,1.0,1.0,0.0,5.0,7.0,4.0,0.0,0.0,2.0,1.0,5.0,87.0,15.0,88.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,2.0,17.0,4.0,17.0,9.0,1.0,0.0,7.0,0.0,2.0,24.0,9.0,0.0,0.0,17.0,0.0,13.0,15.0,2.0,0.0,4.0,5.0,0.0,2.0,1.0,8.0,5.0,0.0,0.0,17.0,0.0,32.0,3.0,13.0,0.0,0.0,36.0,23.0
Luxembourg,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,11.0,0.0,397.0,0.0,0.0,5.0,2.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,3.0,6.0,0.0,1.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,3.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,13.0
Jordan,1.0,0.0,0.0,14.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,39.0,0.0,3.0,1.0,297.0,1.0,0.0,23.0,4.0,0.0,37.0,0.0,10.0,0.0,24.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,78.0,5.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,5.0,2.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0
Norway,3.0,1.0,0.0,101.0,2.0,1.0,1.0,0.0,4.0,0.0,1.0,4.0,18.0,2.0,0.0,5.0,0.0,349.0,2.0,1.0,6.0,3.0,4.0,4.0,0.0,16.0,4.0,9.0,2.0,0.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,15.0,3.0,1.0,3.0,3.0,0.0,0.0,30.0,28.0,42.0,0.0,12.0,2.0,0.0,0.0,46.0,0.0,0.0,0.0,10.0,1.0,2.0,3.0,5.0,0.0,7.0,0.0,4.0,2.0,0.0,16.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,2.0,5.0,1.0,1.0,0.0,7.0,18.0,2.0,0.0,1.0,0.0,12.0,4.0,28.0,11.0,0.0,0.0,0.0,1.0,1.0,15.0,0.0,7.0,15.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,11.0,3.0,4.0,2.0,0.0,0.0,7.0,16.0
Puerto Rico,1.0,3.0,0.0,34.0,2.0,1.0,4.0,0.0,4.0,0.0,5.0,12.0,3.0,0.0,0.0,19.0,0.0,769.0,0.0,1.0,14.0,4.0,27.0,0.0,1.0,17.0,0.0,16.0,2.0,0.0,3.0,2.0,13.0,0.0,0.0,4.0,4.0,21.0,8.0,0.0,1.0,1.0,1.0,0.0,27.0,19.0,22.0,0.0,9.0,13.0,2.0,0.0,47.0,1.0,1.0,2.0,5.0,0.0,10.0,76.0,0.0,1.0,11.0,0.0,3.0,3.0,0.0,18.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,3.0,6.0,0.0,27.0,11.0,5.0,0.0,5.0,2.0,4.0,21.0,23.0,0.0,2.0,0.0,0.0,1.0,0.0,21.0,0.0,18.0,8.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,17.0,0.0,21.0,1.0,7.0,35.0
Russian Federation,1.0,83.0,1.0,255.0,6.0,23.0,45.0,0.0,3.0,0.0,40.0,3.0,8.0,176.0,4.0,95.0,24.0,4746.0,5.0,1.0,94.0,15.0,22.0,235.0,1.0,246.0,27.0,52.0,7.0,17.0,3.0,7.0,52.0,1.0,0.0,0.0,28.0,220.0,30.0,1.0,7.0,1.0,16.0,20.0,86.0,35.0,103.0,0.0,28.0,37.0,0.0,0.0,492.0,0.0,1.0,4.0,1.0,4.0,10.0,19.0,4.0,0.0,182.0,0.0,37.0,25.0,27.0,175.0,11.0,8.0,0.0,0.0,19.0,7.0,1.0,11.0,15.0,36.0,28.0,8.0,77.0,16.0,20.0,0.0,91.0,33.0,57.0,29.0,11.0,0.0,3.0,1.0,0.0,8.0,4.0,32.0,0.0,45.0,50.0,1.0,35.0,15.0,0.0,14.0,3.0,0.0,119.0,25.0,82.0,39.0,0.0,24.0,1.0,20.0,29.0
Papua New Guinea,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
"Iran, Islamic Republic of",1.0,10.0,0.0,7.0,1.0,4.0,28.0,0.0,3.0,0.0,0.0,0.0,8.0,262.0,0.0,20.0,5.0,453.0,1.0,0.0,9.0,18.0,8.0,73.0,1.0,25.0,12.0,39.0,1.0,0.0,0.0,0.0,25.0,1.0,0.0,3.0,1.0,190.0,124.0,0.0,19.0,2.0,1.0,0.0,5.0,14.0,14.0,1.0,21.0,0.0,1.0,0.0,256.0,1.0,1.0,0.0,1.0,7.0,2.0,2.0,0.0,0.0,2.0,0.0,20.0,7.0,4.0,17.0,1.0,0.0,1.0,1.0,2.0,15.0,0.0,2.0,6.0,10.0,25.0,2.0,2.0,9.0,3.0,1.0,5.0,7.0,34.0,8.0,14.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,12.0,4.0,0.0,1.0,13.0,0.0,60.0,2.0,0.0,50.0,4.0,2.0,9.0,0.0,1.0,4.0,15.0,5.0
Belgium,1.0,0.0,0.0,258.0,1.0,2.0,19.0,0.0,5.0,1.0,8.0,2.0,7.0,8.0,3.0,19.0,0.0,1189.0,1.0,0.0,10.0,13.0,8.0,7.0,0.0,78.0,0.0,14.0,9.0,0.0,3.0,2.0,29.0,1.0,0.0,0.0,0.0,41.0,22.0,2.0,3.0,2.0,1.0,0.0,63.0,17.0,30.0,2.0,17.0,6.0,1.0,0.0,134.0,0.0,0.0,1.0,4.0,2.0,5.0,3.0,2.0,0.0,20.0,0.0,4.0,16.0,0.0,34.0,9.0,0.0,0.0,0.0,13.0,3.0,0.0,2.0,11.0,6.0,7.0,2.0,6.0,27.0,3.0,0.0,9.0,6.0,16.0,28.0,382.0,0.0,6.0,1.0,3.0,10.0,2.0,79.0,0.0,21.0,16.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,19.0,0.0,12.0,16.0,0.0,1.0,0.0,9.0,15.0
Viet Nam,1.0,2.0,7.0,87.0,0.0,0.0,0.0,0.0,3.0,0.0,119.0,3.0,0.0,4.0,1.0,17.0,0.0,1764.0,3.0,0.0,13.0,3.0,143.0,1.0,3.0,23.0,0.0,38.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,76.0,6.0,1.0,6.0,5.0,0.0,0.0,2.0,21.0,556.0,10.0,23.0,3.0,1.0,0.0,77.0,5.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,17.0,13.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,8.0,47.0,8.0,0.0,7.0,11.0,9.0,1.0,25.0,5.0,5.0,6.0,4.0,0.0,1.0,2.0,0.0,7.0,0.0,11.0,0.0,25.0,7.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,14.0,0.0,5.0,12.0,0.0,0.0,0.0,3.0,8.0
Honduras,2.0,0.0,0.0,14.0,0.0,7.0,9.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,0.0,2.0,0.0,413.0,0.0,1.0,0.0,4.0,79.0,9.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,3.0,9.0,0.0,26.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0,4.0,12.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,4.0,1.0,2.0,0.0,5.0,9.0,2.0,7.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,5.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,27.0
