,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Iceland,3.0,0.0,0.0,44.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,134.0,0.0,1.0,5.0,9.0,1.0,0.0,0.0,15.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,11.0,0.0,2.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,7.0,5.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,3.0,2.0,15.0,0.0,24.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,6.0
China,2.0,32.0,8.0,514.0,8.0,41.0,21.0,0.0,58.0,2.0,24.0,34.0,40.0,161.0,7.0,463.0,4.0,14506.0,22.0,9.0,99.0,113.0,68.0,56.0,3.0,504.0,143.0,260.0,36.0,0.0,41.0,16.0,211.0,1.0,0.0,14.0,7.0,199.0,47.0,13.0,22.0,12.0,30.0,20.0,54.0,326.0,158.0,218.0,199.0,50.0,9.0,0.0,1068.0,58.0,8.0,9.0,18.0,5.0,30.0,8.0,9.0,1.0,20.0,3.0,325.0,153.0,46.0,631.0,47.0,20.0,9.0,23.0,14.0,1969.0,4.0,22.0,101.0,5346.0,50.0,3.0,26.0,111.0,23.0,9.0,49.0,17.0,724.0,77.0,129.0,1.0,16.0,40.0,0.0,39.0,1.0,91.0,0.0,402.0,45.0,18.0,27.0,29.0,1.0,7.0,3.0,1.0,134.0,2.0,67.0,198.0,4.0,12.0,1.0,40.0,204.0
Guernsey,1.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,58.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,0.0,2.0,1.0,0.0,0.0,8.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Lebanon,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0,6.0,4.0,0.0,415.0,0.0,0.0,2.0,2.0,1.0,175.0,0.0,7.0,0.0,72.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,114.0,41.0,3.0,5.0,0.0,0.0,0.0,49.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,8.0,1.0,1.0,0.0,7.0,2.0,0.0,1.0,4.0,1.0,3.0,14.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,3.0,140.0,2.0,0.0,0.0,5.0,3.0
Haiti,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,516.0,0.0,4.0,0.0,139.0,0.0,0.0,1.0,2.0,6.0,3.0,0.0,16.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,7.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,5.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,26.0,0.0,0.0,4.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,13.0,5.0
United Kingdom,2.0,11.0,14.0,1878.0,26.0,30.0,29.0,2.0,73.0,24.0,149.0,23.0,103.0,47.0,6.0,271.0,6.0,11698.0,15.0,15.0,282.0,99.0,52.0,282.0,3.0,422.0,5.0,334.0,48.0,0.0,80.0,7.0,156.0,0.0,0.0,8.0,10.0,505.0,61.0,12.0,205.0,92.0,8.0,3.0,280.0,309.0,367.0,19.0,322.0,136.0,7.0,0.0,1673.0,5.0,3.0,14.0,52.0,6.0,147.0,40.0,17.0,0.0,72.0,4.0,83.0,167.0,25.0,431.0,113.0,9.0,1.0,5.0,65.0,63.0,7.0,33.0,110.0,114.0,451.0,4.0,44.0,277.0,14.0,6.0,162.0,68.0,117.0,349.0,155.0,1.0,26.0,22.0,0.0,60.0,16.0,255.0,0.0,182.0,111.0,73.0,73.0,30.0,5.0,8.0,26.0,23.0,191.0,0.0,249.0,120.0,0.0,3.0,0.0,62.0,166.0
Ghana,1.0,2.0,3.0,19.0,0.0,1.0,6.0,6.0,6.0,1.0,12.0,3.0,2.0,12.0,0.0,13.0,2.0,571.0,1.0,1.0,2.0,7.0,19.0,0.0,4.0,1071.0,1.0,23.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,14.0,116.0,15.0,9.0,1.0,4.0,6.0,3.0,1.0,3.0,34.0,10.0,1.0,8.0,3.0,6.0,1.0,39.0,0.0,0.0,12.0,0.0,5.0,10.0,0.0,0.0,0.0,3.0,1.0,8.0,140.0,475.0,25.0,3.0,0.0,0.0,2.0,6.0,1.0,10.0,0.0,5.0,5.0,35.0,0.0,25.0,5.0,10.0,0.0,4.0,1.0,4.0,23.0,10.0,0.0,12.0,11.0,0.0,6.0,2.0,9.0,0.0,9.0,7.0,1.0,5.0,6.0,4.0,1.0,0.0,2.0,15.0,1.0,85.0,13.0,0.0,0.0,5.0,16.0,14.0
South Africa,3.0,0.0,1.0,151.0,2.0,1.0,5.0,0.0,3.0,4.0,2.0,13.0,2.0,2.0,11.0,30.0,3.0,968.0,0.0,0.0,12.0,10.0,9.0,3.0,0.0,98.0,0.0,28.0,2.0,0.0,2.0,2.0,39.0,4.0,0.0,1.0,0.0,32.0,3.0,0.0,3.0,1.0,0.0,0.0,8.0,18.0,11.0,7.0,4.0,3.0,1.0,0.0,128.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,1.0,0.0,7.0,48.0,20.0,142.0,7.0,0.0,0.0,0.0,7.0,1.0,0.0,11.0,10.0,33.0,11.0,1.0,15.0,6.0,3.0,1.0,7.0,3.0,97.0,19.0,8.0,0.0,4.0,6.0,0.0,5.0,6.0,9.0,0.0,7.0,3.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,98.0,0.0,19.0,4.0,5.0,4.0,0.0,19.0,20.0
Namibia,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,13.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0
Peru,2.0,0.0,3.0,9.0,1.0,2.0,10.0,0.0,5.0,6.0,10.0,5.0,0.0,3.0,0.0,45.0,0.0,1831.0,15.0,0.0,2.0,6.0,95.0,9.0,2.0,22.0,0.0,9.0,0.0,0.0,1.0,4.0,9.0,2.0,0.0,2.0,3.0,15.0,4.0,2.0,0.0,15.0,3.0,1.0,41.0,50.0,20.0,1.0,15.0,1.0,2.0,0.0,32.0,0.0,1.0,0.0,6.0,7.0,12.0,3.0,0.0,0.0,7.0,0.0,7.0,19.0,1.0,90.0,33.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,4.0,47.0,29.0,0.0,25.0,3.0,2.0,1.0,51.0,21.0,8.0,47.0,12.0,0.0,7.0,4.0,0.0,2.0,0.0,249.0,3.0,18.0,13.0,0.0,13.0,7.0,0.0,0.0,3.0,3.0,43.0,0.0,6.0,17.0,1.0,1.0,0.0,9.0,44.0
Hong Kong,1.0,4.0,1.0,139.0,3.0,20.0,3.0,0.0,3.0,3.0,0.0,4.0,7.0,1.0,5.0,63.0,2.0,2351.0,1.0,0.0,93.0,8.0,15.0,12.0,1.0,127.0,1.0,72.0,5.0,0.0,11.0,9.0,18.0,0.0,0.0,2.0,0.0,53.0,39.0,1.0,7.0,7.0,9.0,0.0,17.0,59.0,29.0,16.0,41.0,18.0,1.0,0.0,258.0,2.0,0.0,1.0,7.0,6.0,4.0,2.0,2.0,0.0,9.0,0.0,25.0,22.0,5.0,33.0,4.0,1.0,0.0,2.0,5.0,66.0,2.0,4.0,57.0,106.0,11.0,0.0,8.0,9.0,2.0,0.0,10.0,3.0,155.0,27.0,36.0,1.0,1.0,4.0,0.0,2.0,1.0,9.0,1.0,104.0,5.0,2.0,0.0,7.0,0.0,0.0,3.0,2.0,21.0,1.0,50.0,424.0,1.0,4.0,0.0,3.0,17.0
Morocco,2.0,3.0,0.0,36.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,12.0,6.0,107.0,1.0,2427.0,0.0,0.0,33.0,1.0,2.0,64.0,1.0,96.0,3.0,192.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,79.0,7.0,0.0,11.0,0.0,0.0,0.0,2.0,2.0,28.0,0.0,7.0,0.0,0.0,0.0,201.0,0.0,0.0,1.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0,1.0,44.0,1.0,1.0,0.0,1.0,0.0,26.0,1.0,0.0,6.0,3.0,12.0,0.0,13.0,12.0,2.0,0.0,6.0,2.0,21.0,28.0,46.0,1.0,0.0,3.0,1.0,0.0,0.0,14.0,0.0,11.0,8.0,4.0,0.0,3.0,2.0,2.0,0.0,0.0,32.0,0.0,6.0,25.0,1.0,0.0,0.0,6.0,26.0
Slovenia,1.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,517.0,0.0,0.0,3.0,6.0,2.0,1.0,0.0,7.0,1.0,6.0,1.0,0.0,3.0,1.0,18.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,8.0,1.0,4.0,1.0,0.0,0.0,28.0,0.0,1.0,0.0,31.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,5.0,2.0,6.0,8.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,6.0,2.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,6.0,0.0,1.0,0.0,0.0,4.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0
Svalbard and Jan Mayen,1.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra Leone,1.0,7.0,1.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,75.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,114.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,4.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,4.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,32.0,0.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0
Germany,9.0,6.0,13.0,1045.0,25.0,33.0,7.0,0.0,26.0,4.0,73.0,15.0,33.0,14.0,4.0,107.0,32.0,6727.0,3.0,99.0,46.0,97.0,28.0,78.0,0.0,290.0,54.0,93.0,9.0,0.0,87.0,7.0,215.0,2.0,0.0,5.0,31.0,84.0,21.0,3.0,18.0,29.0,17.0,1.0,61.0,144.0,129.0,30.0,198.0,180.0,3.0,0.0,1314.0,3.0,0.0,5.0,41.0,7.0,26.0,8.0,4.0,0.0,109.0,0.0,96.0,80.0,68.0,487.0,39.0,4.0,0.0,1.0,28.0,55.0,5.0,7.0,48.0,31.0,147.0,1.0,19.0,111.0,21.0,18.0,53.0,18.0,120.0,90.0,185.0,0.0,6.0,2.0,1.0,14.0,13.0,69.0,0.0,76.0,30.0,8.0,15.0,26.0,1.0,10.0,8.0,1.0,81.0,3.0,53.0,45.0,0.0,111.0,0.0,11.0,119.0
Serbia,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,191.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,12.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,2.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0,3.0
Uganda,0.0,16.0,4.0,12.0,2.0,0.0,2.0,1.0,0.0,5.0,1.0,6.0,0.0,9.0,24.0,13.0,9.0,216.0,0.0,0.0,1.0,0.0,12.0,15.0,2.0,4353.0,0.0,37.0,0.0,0.0,6.0,12.0,4.0,1.0,0.0,5.0,36.0,9.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,17.0,2.0,3.0,2.0,0.0,1.0,0.0,16.0,1.0,0.0,8.0,1.0,3.0,15.0,1.0,0.0,0.0,1.0,0.0,10.0,165.0,50.0,52.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,2.0,28.0,0.0,6.0,2.0,1.0,0.0,3.0,4.0,2.0,10.0,6.0,0.0,5.0,13.0,0.0,1.0,19.0,7.0,0.0,9.0,4.0,0.0,5.0,0.0,1.0,0.0,1.0,3.0,20.0,0.0,72.0,3.0,2.0,12.0,0.0,17.0,8.0
"Tanzania, United Republic of",0.0,8.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,5.0,2.0,10.0,2.0,5.0,1.0,140.0,0.0,0.0,10.0,1.0,5.0,7.0,0.0,288.0,1.0,10.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,6.0,2.0,8.0,4.0,1.0,3.0,0.0,2.0,0.0,1.0,2.0,4.0,0.0,2.0,0.0,3.0,0.0,14.0,1.0,1.0,1.0,0.0,0.0,10.0,56.0,0.0,0.0,0.0,0.0,1.0,65.0,97.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,2.0,13.0,0.0,6.0,0.0,2.0,0.0,2.0,1.0,1.0,11.0,10.0,0.0,1.0,18.0,0.0,14.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,20.0,0.0,13.0,5.0,0.0,0.0,0.0,7.0,7.0
India,0.0,39.0,3.0,141.0,12.0,10.0,29.0,0.0,3.0,2.0,24.0,196.0,13.0,82.0,25.0,356.0,2.0,8976.0,31.0,1.0,187.0,41.0,645.0,27.0,2.0,147.0,2.0,126.0,5.0,0.0,21.0,5.0,82.0,3.0,1.0,83.0,2.0,332.0,39.0,14.0,31.0,24.0,4.0,0.0,56.0,148.0,110.0,5.0,64.0,32.0,13.0,0.0,603.0,107.0,0.0,10.0,9.0,49.0,202.0,49.0,0.0,0.0,5.0,0.0,41.0,328.0,2.0,1039.0,6.0,0.0,9.0,7.0,52.0,31.0,7.0,6.0,41.0,54.0,184.0,1.0,260.0,28.0,8.0,0.0,90.0,35.0,86.0,87.0,54.0,0.0,5.0,12.0,0.0,27.0,6.0,39.0,6.0,343.0,16.0,2.0,16.0,13.0,7.0,5.0,2.0,1.0,268.0,0.0,277.0,47.0,67.0,34.0,0.0,62.0,169.0
Hungary,0.0,9.0,0.0,128.0,2.0,8.0,10.0,0.0,0.0,0.0,0.0,1.0,5.0,26.0,0.0,2.0,0.0,385.0,7.0,0.0,11.0,9.0,0.0,6.0,0.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,27.0,50.0,2.0,13.0,2.0,1.0,0.0,41.0,30.0,29.0,0.0,7.0,0.0,0.0,0.0,141.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,1.0,12.0,0.0,19.0,1.0,1.0,0.0,2.0,0.0,7.0,7.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,2.0,1.0,0.0,2.0,2.0,6.0,0.0,1.0,8.0,1.0,3.0,1.0,0.0,3.0,3.0,2.0,7.0
Iraq,0.0,7.0,1.0,45.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,422.0,1.0,4.0,84.0,346.0,0.0,0.0,2.0,0.0,0.0,94.0,0.0,112.0,1.0,85.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,2.0,0.0,84.0,36.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,9.0,4.0,11.0,11.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,17.0,0.0,6.0,7.0,0.0,3.0,2.0,11.0,2.0
Philippines,0.0,3.0,1.0,82.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,20.0,1.0,32.0,1.0,57.0,3.0,1272.0,0.0,0.0,10.0,2.0,298.0,2.0,1.0,58.0,0.0,218.0,2.0,0.0,3.0,1.0,9.0,1.0,0.0,1.0,0.0,48.0,12.0,0.0,1.0,5.0,0.0,0.0,8.0,21.0,11.0,1.0,7.0,0.0,2.0,0.0,59.0,5.0,0.0,0.0,2.0,0.0,8.0,72.0,0.0,0.0,0.0,0.0,10.0,10.0,3.0,57.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,13.0,20.0,0.0,37.0,14.0,0.0,0.0,1.0,13.0,10.0,29.0,14.0,21.0,1.0,29.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,57.0,6.0,0.0,0.0,1.0,3.0,15.0
Kazakhstan,0.0,5.0,2.0,13.0,3.0,8.0,11.0,0.0,7.0,2.0,2.0,2.0,4.0,9.0,0.0,4.0,5.0,286.0,0.0,0.0,10.0,6.0,0.0,2.0,1.0,17.0,7.0,29.0,3.0,1.0,4.0,0.0,18.0,1.0,0.0,0.0,2.0,34.0,9.0,0.0,4.0,2.0,1.0,0.0,4.0,39.0,33.0,3.0,32.0,13.0,4.0,1.0,51.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,7.0,0.0,16.0,7.0,4.0,7.0,9.0,1.0,0.0,0.0,2.0,5.0,0.0,1.0,7.0,52.0,22.0,1.0,12.0,21.0,3.0,0.0,15.0,9.0,10.0,13.0,4.0,0.0,1.0,1.0,0.0,2.0,3.0,4.0,1.0,14.0,6.0,0.0,7.0,3.0,0.0,5.0,1.0,0.0,19.0,2.0,7.0,25.0,0.0,0.0,0.0,11.0,5.0
Ukraine,0.0,19.0,0.0,485.0,0.0,24.0,24.0,0.0,0.0,0.0,9.0,5.0,11.0,270.0,2.0,61.0,6.0,5967.0,1.0,7.0,79.0,3.0,14.0,217.0,1.0,116.0,2.0,23.0,3.0,0.0,3.0,0.0,12.0,0.0,0.0,2.0,5.0,60.0,23.0,0.0,6.0,2.0,6.0,0.0,58.0,37.0,163.0,0.0,9.0,9.0,0.0,0.0,147.0,0.0,1.0,0.0,2.0,0.0,8.0,13.0,0.0,0.0,7.0,1.0,9.0,92.0,2.0,241.0,4.0,4.0,0.0,0.0,5.0,1.0,2.0,4.0,4.0,9.0,89.0,0.0,131.0,4.0,8.0,1.0,20.0,19.0,18.0,27.0,14.0,0.0,0.0,2.0,0.0,11.0,1.0,16.0,0.0,22.0,12.0,0.0,7.0,30.0,0.0,1.0,0.0,0.0,138.0,1.0,38.0,21.0,0.0,11.0,0.0,13.0,19.0
"Congo, The Democratic Republic of the",0.0,13.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,13.0,2.0,2.0,18.0,1.0,5.0,21.0,150.0,0.0,0.0,0.0,1.0,8.0,0.0,4.0,279.0,0.0,12.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,2.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,9.0,6.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,3.0,0.0,2.0,38.0,4.0,84.0,5.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,3.0,47.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,13.0,6.0,8.0,0.0,0.0,5.0,0.0,2.0,11.0,10.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,18.0,0.0,22.0,3.0,2.0,1.0,2.0,27.0,5.0
Costa Rica,0.0,6.0,0.0,6.0,0.0,0.0,8.0,0.0,1.0,3.0,4.0,2.0,2.0,3.0,0.0,4.0,0.0,392.0,0.0,0.0,8.0,3.0,29.0,3.0,0.0,7.0,0.0,1.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,5.0,3.0,1.0,17.0,9.0,4.0,0.0,15.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,1.0,0.0,2.0,23.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,6.0,21.0,1.0,0.0,11.0,4.0,1.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,4.0,6.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,2.0,0.0,0.0,0.0,7.0,16.0
Malaysia,0.0,2.0,1.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,9.0,0.0,1.0,0.0,2.0,0.0,351.0,12.0,1.0,0.0,2.0,49.0,2.0,0.0,9.0,0.0,12.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,2.0,37.0,2.0,0.0,0.0,2.0,0.0,5.0,1.0,4.0,8.0,1.0,2.0,0.0,2.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,1.0,76.0,15.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,32.0,0.0,0.0,4.0,13.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,19.0,4.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,35.0
