,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Kenya,4.0,2.0,1.0,8.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,19.0,2.0,10.0,20.0,7.0,1.0,491.0,0.0,0.0,9.0,4.0,16.0,0.0,2.0,87.0,6.0,21.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,6.0,1.0,23.0,8.0,0.0,10.0,2.0,2.0,1.0,1.0,16.0,2.0,0.0,5.0,7.0,3.0,0.0,24.0,0.0,1.0,2.0,0.0,4.0,11.0,0.0,0.0,1.0,2.0,1.0,6.0,173.0,20.0,65.0,2.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,8.0,7.0,18.0,2.0,13.0,26.0,2.0,0.0,9.0,5.0,1.0,28.0,5.0,0.0,0.0,18.0,0.0,2.0,13.0,1.0,0.0,4.0,24.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,28.0,0.0,27.0,4.0,6.0,0.0,0.0,87.0,40.0
Jordan,1.0,0.0,0.0,8.0,1.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,400.0,1.0,1.0,18.0,0.0,2.0,40.0,0.0,5.0,2.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,67.0,4.0,0.0,2.0,1.0,1.0,0.0,4.0,2.0,8.0,0.0,2.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,14.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,2.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0
Luxembourg,1.0,1.0,3.0,15.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,456.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,67.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
Puerto Rico,1.0,2.0,0.0,132.0,1.0,0.0,4.0,0.0,2.0,2.0,4.0,9.0,0.0,0.0,0.0,22.0,0.0,604.0,0.0,1.0,9.0,13.0,25.0,0.0,1.0,2.0,0.0,16.0,0.0,0.0,6.0,1.0,11.0,1.0,0.0,0.0,4.0,7.0,3.0,0.0,1.0,2.0,0.0,0.0,43.0,16.0,27.0,0.0,8.0,4.0,3.0,0.0,37.0,0.0,0.0,2.0,3.0,1.0,4.0,1.0,1.0,0.0,3.0,0.0,10.0,2.0,1.0,20.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,25.0,5.0,4.0,0.0,9.0,0.0,3.0,10.0,15.0,0.0,2.0,0.0,0.0,1.0,0.0,11.0,0.0,31.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,21.0,0.0,4.0,1.0,4.0,20.0
Papua New Guinea,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,55.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,4.0
Ukraine,0.0,199.0,0.0,1000.0,1.0,68.0,91.0,0.0,2.0,2.0,16.0,2.0,4.0,366.0,1.0,104.0,6.0,10251.0,1.0,17.0,359.0,8.0,18.0,653.0,8.0,376.0,47.0,44.0,11.0,1.0,7.0,2.0,44.0,0.0,0.0,1.0,9.0,178.0,40.0,1.0,4.0,77.0,67.0,1.0,59.0,142.0,85.0,4.0,29.0,13.0,4.0,0.0,536.0,1.0,3.0,1.0,3.0,0.0,30.0,71.0,0.0,2.0,10.0,0.0,47.0,96.0,5.0,1546.0,7.0,4.0,0.0,1.0,7.0,10.0,0.0,67.0,1.0,33.0,569.0,4.0,261.0,10.0,19.0,1.0,66.0,189.0,34.0,65.0,24.0,0.0,8.0,0.0,0.0,18.0,1.0,73.0,0.0,43.0,23.0,3.0,28.0,42.0,2.0,2.0,2.0,0.0,317.0,24.0,107.0,39.0,1.0,7.0,0.0,20.0,35.0
Uruguay,0.0,4.0,0.0,6.0,1.0,2.0,13.0,0.0,0.0,6.0,0.0,5.0,1.0,3.0,0.0,8.0,0.0,336.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,11.0,0.0,1.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,7.0,9.0,0.0,0.0,2.0,5.0,16.0,12.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,7.0,0.0,28.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,14.0
Albania,0.0,25.0,0.0,263.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,289.0,0.0,2844.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,36.0,2.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,41.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,49.0
Australia,0.0,11.0,7.0,165.0,2.0,9.0,17.0,31.0,18.0,3.0,31.0,19.0,132.0,3.0,3.0,68.0,0.0,2693.0,2.0,0.0,59.0,39.0,31.0,39.0,0.0,95.0,3.0,128.0,9.0,0.0,19.0,54.0,77.0,2.0,0.0,12.0,1.0,96.0,24.0,6.0,41.0,10.0,5.0,139.0,33.0,101.0,131.0,5.0,53.0,28.0,9.0,0.0,1095.0,531.0,0.0,3.0,23.0,2.0,38.0,34.0,1.0,1.0,5.0,0.0,50.0,89.0,3.0,204.0,51.0,1.0,0.0,19.0,14.0,43.0,12.0,10.0,25.0,39.0,30.0,11.0,29.0,158.0,4.0,0.0,27.0,8.0,48.0,97.0,40.0,8.0,13.0,5.0,0.0,14.0,2.0,46.0,2.0,221.0,16.0,28.0,4.0,74.0,5.0,10.0,6.0,3.0,34.0,0.0,42.0,29.0,2.0,27.0,0.0,30.0,100.0
Kuwait,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,192.0,0.0,0.0,1.0,1.0,0.0,32.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,13.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0
Zimbabwe,0.0,6.0,0.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,0.0,247.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,1.0,16.0,6.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,8.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,1.0,16.0,1.0,0.0,0.0,20.0,0.0,0.0,12.0,2.0,0.0,0.0,12.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,13.0,0.0,54.0,0.0,0.0,0.0,0.0,4.0,1.0
Egypt,0.0,2.0,0.0,205.0,0.0,2.0,25.0,0.0,6.0,2.0,12.0,3.0,2.0,24.0,29.0,11.0,0.0,1427.0,1.0,0.0,3.0,2.0,14.0,334.0,0.0,16.0,1.0,614.0,2.0,1.0,2.0,0.0,27.0,1.0,1.0,12.0,1.0,336.0,12.0,2.0,5.0,0.0,3.0,0.0,9.0,28.0,84.0,1.0,16.0,12.0,1.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,19.0,2.0,2.0,0.0,3.0,0.0,9.0,79.0,2.0,71.0,2.0,0.0,1.0,0.0,1.0,86.0,2.0,0.0,25.0,14.0,179.0,0.0,2.0,2.0,2.0,0.0,2.0,19.0,9.0,36.0,19.0,0.0,10.0,16.0,0.0,7.0,4.0,19.0,0.0,11.0,27.0,1.0,2.0,4.0,5.0,2.0,0.0,0.0,31.0,0.0,8.0,63.0,1.0,2.0,0.0,18.0,14.0
Myanmar,0.0,1.0,1.0,30.0,1.0,8.0,10.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,383.0,0.0,0.0,2.0,7.0,13.0,1.0,0.0,32.0,0.0,3.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,11.0,5.0,17.0,1.0,21.0,4.0,1.0,0.0,16.0,0.0,3.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,3.0,0.0,5.0,12.0,0.0,28.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,11.0,7.0,0.0,1.0,0.0,8.0,1.0,3.0,0.0,5.0,3.0,5.0,0.0,3.0,1.0,0.0,23.0,1.0,16.0,0.0,8.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
Serbia,0.0,1.0,0.0,8.0,0.0,7.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,12.0,0.0,508.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,7.0,0.0,5.0,2.0,0.0,0.0,28.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,14.0
China,0.0,32.0,3.0,878.0,3.0,22.0,30.0,0.0,68.0,5.0,16.0,25.0,58.0,65.0,9.0,430.0,2.0,15660.0,28.0,12.0,162.0,135.0,93.0,62.0,3.0,608.0,128.0,307.0,77.0,1.0,89.0,11.0,374.0,4.0,0.0,16.0,11.0,233.0,41.0,3.0,23.0,22.0,33.0,3.0,59.0,435.0,314.0,108.0,277.0,42.0,15.0,0.0,1526.0,51.0,12.0,8.0,10.0,11.0,36.0,18.0,6.0,3.0,20.0,3.0,553.0,202.0,32.0,823.0,63.0,28.0,8.0,3.0,15.0,3157.0,7.0,26.0,92.0,9161.0,74.0,3.0,58.0,134.0,15.0,6.0,57.0,18.0,1021.0,83.0,164.0,1.0,17.0,59.0,0.0,50.0,2.0,61.0,1.0,392.0,65.0,12.0,21.0,52.0,1.0,11.0,7.0,4.0,184.0,3.0,82.0,337.0,3.0,8.0,0.0,55.0,226.0
Germany,0.0,15.0,13.0,860.0,51.0,39.0,13.0,1.0,34.0,7.0,103.0,49.0,57.0,23.0,5.0,136.0,8.0,9336.0,3.0,76.0,46.0,185.0,49.0,106.0,6.0,308.0,39.0,159.0,15.0,0.0,147.0,7.0,201.0,2.0,0.0,9.0,20.0,149.0,26.0,1.0,26.0,22.0,14.0,0.0,89.0,190.0,217.0,40.0,303.0,166.0,7.0,0.0,1269.0,5.0,3.0,4.0,10.0,11.0,35.0,11.0,9.0,0.0,193.0,0.0,100.0,110.0,90.0,862.0,44.0,6.0,0.0,2.0,33.0,60.0,6.0,25.0,49.0,60.0,85.0,2.0,34.0,144.0,20.0,68.0,57.0,27.0,153.0,103.0,334.0,0.0,9.0,17.0,3.0,12.0,20.0,129.0,1.0,170.0,36.0,25.0,16.0,48.0,0.0,18.0,7.0,4.0,132.0,11.0,49.0,70.0,0.0,108.0,0.0,53.0,127.0
Indonesia,0.0,18.0,2.0,82.0,0.0,5.0,2.0,0.0,2.0,0.0,4.0,15.0,0.0,11.0,1.0,67.0,0.0,2733.0,0.0,0.0,21.0,18.0,178.0,19.0,0.0,97.0,0.0,26.0,0.0,0.0,6.0,0.0,23.0,4.0,0.0,7.0,0.0,42.0,2.0,1.0,0.0,12.0,2.0,37.0,255.0,67.0,68.0,12.0,29.0,7.0,1.0,0.0,208.0,4.0,0.0,1.0,3.0,1.0,16.0,10.0,0.0,0.0,2.0,1.0,32.0,46.0,3.0,39.0,11.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,19.0,27.0,33.0,0.0,3.0,6.0,0.0,0.0,72.0,39.0,25.0,8.0,18.0,1.0,5.0,4.0,0.0,3.0,1.0,3.0,0.0,29.0,1.0,0.0,3.0,6.0,0.0,1.0,0.0,1.0,61.0,0.0,18.0,22.0,0.0,0.0,0.0,8.0,37.0
Turkey,0.0,20.0,0.0,66.0,2.0,17.0,12.0,0.0,3.0,1.0,57.0,2.0,2.0,2.0,0.0,17.0,13.0,1257.0,1.0,2.0,23.0,13.0,4.0,66.0,1.0,26.0,51.0,21.0,6.0,0.0,8.0,0.0,40.0,0.0,0.0,0.0,0.0,274.0,25.0,0.0,0.0,2.0,1.0,0.0,27.0,48.0,30.0,4.0,77.0,3.0,1.0,0.0,122.0,0.0,0.0,0.0,1.0,2.0,28.0,4.0,0.0,0.0,2.0,0.0,9.0,50.0,2.0,110.0,34.0,16.0,0.0,0.0,25.0,19.0,0.0,19.0,1.0,27.0,49.0,0.0,40.0,278.0,3.0,0.0,25.0,31.0,51.0,73.0,58.0,0.0,53.0,2.0,0.0,3.0,11.0,58.0,0.0,34.0,16.0,0.0,15.0,9.0,0.0,6.0,0.0,0.0,99.0,1.0,28.0,9.0,1.0,16.0,11.0,10.0,31.0
Congo,0.0,2.0,0.0,22.0,0.0,0.0,0.0,1.0,1.0,3.0,20.0,3.0,0.0,24.0,3.0,11.0,48.0,263.0,0.0,0.0,1.0,5.0,11.0,1.0,3.0,1308.0,2.0,25.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,8.0,3.0,2.0,0.0,1.0,1.0,11.0,2.0,1.0,1.0,1.0,0.0,13.0,3.0,0.0,0.0,36.0,0.0,0.0,11.0,3.0,2.0,7.0,0.0,0.0,0.0,8.0,1.0,18.0,75.0,12.0,216.0,5.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,33.0,0.0,1.0,27.0,1.0,0.0,2.0,18.0,12.0,60.0,0.0,0.0,2.0,7.0,0.0,1.0,25.0,51.0,0.0,24.0,16.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,16.0,0.0,11.0,2.0,2.0,2.0,1.0,21.0,49.0
Mexico,0.0,2.0,2.0,228.0,5.0,18.0,34.0,0.0,3.0,43.0,32.0,21.0,10.0,53.0,5.0,66.0,0.0,3609.0,10.0,0.0,23.0,20.0,139.0,24.0,1.0,64.0,2.0,21.0,7.0,1.0,5.0,4.0,38.0,0.0,0.0,1.0,2.0,58.0,6.0,0.0,8.0,24.0,2.0,0.0,268.0,118.0,92.0,6.0,60.0,15.0,2.0,0.0,135.0,0.0,0.0,0.0,1.0,3.0,38.0,4.0,0.0,4.0,10.0,0.0,13.0,46.0,0.0,141.0,1.0,2.0,0.0,0.0,12.0,2.0,10.0,5.0,4.0,23.0,18.0,0.0,61.0,14.0,109.0,0.0,74.0,20.0,33.0,134.0,41.0,1.0,15.0,1.0,0.0,9.0,5.0,96.0,5.0,87.0,38.0,3.0,6.0,10.0,0.0,5.0,9.0,0.0,42.0,1.0,42.0,87.0,0.0,5.0,0.0,9.0,154.0
Iraq,0.0,9.0,1.0,78.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,333.0,8.0,8.0,104.0,563.0,0.0,0.0,2.0,0.0,4.0,203.0,0.0,215.0,2.0,155.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,3.0,1.0,77.0,21.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,5.0,0.0,1.0,6.0,7.0,0.0,0.0,2.0,0.0,12.0,7.0,30.0,32.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,17.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,27.0,0.0,14.0,21.0,1.0,3.0,6.0,37.0,2.0
Bangladesh,0.0,3.0,2.0,30.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,52.0,0.0,10.0,0.0,510.0,0.0,0.0,4.0,4.0,117.0,0.0,0.0,15.0,0.0,8.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,21.0,7.0,0.0,2.0,3.0,1.0,4.0,3.0,13.0,14.0,0.0,1.0,1.0,1.0,0.0,53.0,1.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,2.0,28.0,0.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,11.0,7.0,4.0,0.0,0.0,3.0,0.0,0.0,11.0,3.0,2.0,5.0,26.0,0.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,15.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,14.0,0.0,81.0,7.0,4.0,0.0,0.0,0.0,5.0
Ethiopia,0.0,4.0,5.0,13.0,0.0,3.0,4.0,0.0,2.0,0.0,1.0,2.0,4.0,20.0,5.0,4.0,3.0,237.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,80.0,0.0,14.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,8.0,4.0,3.0,0.0,5.0,1.0,0.0,3.0,8.0,8.0,0.0,12.0,7.0,13.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,2.0,0.0,4.0,85.0,1.0,123.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,2.0,11.0,0.0,3.0,5.0,2.0,1.0,7.0,6.0,3.0,7.0,6.0,0.0,3.0,12.0,0.0,7.0,7.0,14.0,0.0,1.0,2.0,1.0,4.0,4.0,10.0,1.0,0.0,6.0,31.0,0.0,4.0,4.0,13.0,0.0,0.0,9.0,7.0
South Sudan,0.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,49.0,1.0,1.0,2.0,35.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,9.0,0.0,0.0,5.0,1.0
Kyrgyzstan,0.0,7.0,0.0,2.0,0.0,8.0,13.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,4.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,16.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,10.0,0.0,8.0,1.0,0.0,0.0,8.0,9.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,3.0,18.0,0.0,0.0,0.0,2.0,1.0
Uganda,0.0,19.0,2.0,10.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,6.0,12.0,5.0,0.0,245.0,0.0,0.0,8.0,2.0,6.0,0.0,1.0,62.0,0.0,11.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,5.0,1.0,9.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,34.0,9.0,2.0,5.0,0.0,2.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,8.0,85.0,6.0,35.0,12.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,2.0,6.0,76.0,0.0,7.0,1.0,0.0,0.0,0.0,3.0,2.0,17.0,7.0,0.0,3.0,16.0,1.0,0.0,15.0,0.0,0.0,6.0,6.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,16.0,0.0,19.0,9.0,0.0,6.0,0.0,33.0,18.0
South Africa,0.0,1.0,1.0,50.0,3.0,2.0,8.0,0.0,10.0,3.0,2.0,19.0,1.0,10.0,15.0,57.0,1.0,1569.0,0.0,0.0,40.0,5.0,10.0,9.0,0.0,161.0,2.0,73.0,4.0,0.0,20.0,1.0,43.0,0.0,0.0,1.0,0.0,33.0,10.0,9.0,5.0,2.0,1.0,1.0,3.0,25.0,19.0,1.0,16.0,4.0,1.0,0.0,267.0,2.0,1.0,14.0,3.0,3.0,7.0,0.0,6.0,0.0,2.0,0.0,145.0,106.0,23.0,153.0,15.0,0.0,0.0,0.0,18.0,7.0,2.0,2.0,12.0,59.0,42.0,0.0,22.0,48.0,6.0,0.0,7.0,7.0,137.0,25.0,22.0,1.0,2.0,6.0,1.0,13.0,4.0,14.0,0.0,73.0,2.0,2.0,4.0,26.0,0.0,0.0,4.0,0.0,145.0,0.0,86.0,5.0,4.0,2.0,0.0,27.0,34.0
Greece,0.0,4.0,0.0,100.0,0.0,32.0,2.0,0.0,101.0,0.0,8.0,1.0,7.0,11.0,1.0,113.0,0.0,5842.0,1.0,0.0,2.0,80.0,4.0,7.0,1.0,95.0,1.0,9.0,3.0,0.0,13.0,0.0,12.0,0.0,0.0,3.0,0.0,218.0,28.0,1.0,13.0,2.0,1.0,0.0,8.0,8.0,11.0,7.0,12.0,14.0,2.0,0.0,66.0,0.0,1.0,2.0,2.0,25.0,64.0,0.0,0.0,0.0,4.0,0.0,13.0,18.0,1.0,135.0,2.0,0.0,0.0,0.0,6.0,152.0,0.0,0.0,3.0,8.0,8.0,0.0,3.0,6.0,0.0,0.0,5.0,43.0,30.0,32.0,61.0,0.0,1.0,2.0,0.0,38.0,0.0,44.0,0.0,25.0,53.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,13.0,0.0,10.0,6.0,59.0,12.0,2.0,2.0,14.0
