,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Argentina,5.0,3.0,0.0,45.0,11.0,121.0,82.0,14.0,2.0,58.0,37.0,19.0,4.0,15.0,1.0,1166.0,0.0,17576.0,10.0,0.0,27.0,27.0,186.0,28.0,0.0,99.0,8.0,17.0,9.0,0.0,14.0,3.0,28.0,2.0,0.0,5.0,0.0,55.0,11.0,0.0,5.0,17.0,79.0,0.0,185.0,113.0,58.0,2.0,35.0,9.0,1.0,0.0,209.0,0.0,0.0,0.0,4.0,11.0,659.0,10.0,0.0,2.0,3.0,1.0,12.0,23.0,0.0,225.0,9.0,3.0,1.0,0.0,5.0,3.0,1.0,63.0,7.0,84.0,40.0,16.0,57.0,61.0,6.0,0.0,38.0,40.0,43.0,90.0,18.0,0.0,18.0,1.0,0.0,4.0,2.0,23.0,0.0,263.0,18.0,6.0,8.0,5.0,0.0,53.0,3.0,1.0,38.0,0.0,21.0,41.0,0.0,1.0,0.0,42.0,82.0
Chile,1.0,1.0,1.0,10.0,2.0,0.0,14.0,0.0,3.0,6.0,1.0,2.0,0.0,4.0,0.0,18.0,0.0,1182.0,0.0,0.0,3.0,7.0,5.0,5.0,1.0,6.0,3.0,11.0,1.0,0.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,20.0,0.0,36.0,7.0,12.0,0.0,7.0,2.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,5.0,5.0,5.0,18.0,3.0,0.0,3.0,1.0,10.0,12.0,10.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,22.0,11.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,8.0
Philippines,1.0,0.0,2.0,161.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,33.0,2.0,42.0,0.0,1172.0,1.0,0.0,14.0,1.0,170.0,2.0,0.0,49.0,0.0,513.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,29.0,3.0,1.0,0.0,3.0,4.0,0.0,3.0,22.0,52.0,0.0,2.0,4.0,6.0,0.0,105.0,4.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,6.0,11.0,1.0,57.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,24.0,23.0,19.0,0.0,26.0,3.0,0.0,0.0,12.0,10.0,4.0,14.0,1.0,13.0,0.0,25.0,0.0,0.0,3.0,4.0,1.0,13.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,14.0,3.0,0.0,1.0,0.0,3.0,9.0
"Congo, The Democratic Republic of the",1.0,2.0,0.0,32.0,1.0,2.0,7.0,0.0,0.0,0.0,6.0,2.0,0.0,37.0,4.0,6.0,49.0,365.0,2.0,0.0,6.0,5.0,9.0,0.0,0.0,551.0,1.0,32.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,5.0,37.0,5.0,0.0,6.0,2.0,2.0,0.0,24.0,12.0,6.0,4.0,39.0,8.0,0.0,1.0,46.0,0.0,1.0,0.0,2.0,0.0,13.0,2.0,0.0,0.0,2.0,0.0,19.0,28.0,4.0,96.0,9.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,6.0,9.0,45.0,8.0,3.0,14.0,0.0,1.0,15.0,5.0,15.0,13.0,7.0,0.0,2.0,0.0,0.0,7.0,12.0,25.0,0.0,29.0,1.0,1.0,0.0,7.0,0.0,6.0,5.0,0.0,38.0,0.0,16.0,4.0,0.0,0.0,5.0,14.0,18.0
Canada,0.0,11.0,0.0,616.0,9.0,13.0,3.0,0.0,31.0,3.0,10.0,7.0,17.0,7.0,8.0,276.0,0.0,6165.0,2.0,13.0,150.0,41.0,14.0,17.0,1.0,210.0,1.0,84.0,5.0,0.0,32.0,1.0,54.0,1.0,0.0,1.0,2.0,62.0,34.0,5.0,8.0,3.0,4.0,0.0,48.0,76.0,96.0,2.0,73.0,48.0,0.0,0.0,531.0,1.0,0.0,0.0,16.0,2.0,15.0,19.0,2.0,0.0,81.0,1.0,54.0,42.0,4.0,141.0,9.0,5.0,0.0,0.0,72.0,32.0,5.0,6.0,14.0,57.0,33.0,0.0,79.0,98.0,1.0,6.0,14.0,7.0,77.0,67.0,94.0,2.0,3.0,4.0,0.0,9.0,7.0,99.0,1.0,153.0,33.0,47.0,11.0,17.0,0.0,1.0,4.0,0.0,53.0,2.0,32.0,16.0,1.0,18.0,0.0,15.0,72.0
Iraq,0.0,22.0,2.0,43.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,3.0,16.0,8.0,6.0,28.0,482.0,0.0,0.0,1.0,0.0,7.0,265.0,0.0,139.0,3.0,106.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,1.0,72.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,2.0,4.0,9.0,0.0,0.0,2.0,0.0,8.0,9.0,21.0,33.0,1.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,5.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,14.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,9.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,21.0,0.0,11.0,19.0,1.0,0.0,6.0,27.0,0.0
Haiti,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,75.0,0.0,2.0,0.0,71.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,115.0,1.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0
China,0.0,36.0,3.0,844.0,2.0,18.0,24.0,0.0,41.0,5.0,11.0,9.0,40.0,35.0,6.0,308.0,1.0,12984.0,23.0,5.0,179.0,104.0,66.0,74.0,0.0,726.0,111.0,277.0,67.0,1.0,66.0,3.0,369.0,3.0,0.0,11.0,8.0,279.0,35.0,2.0,12.0,23.0,54.0,5.0,67.0,355.0,266.0,112.0,237.0,35.0,9.0,0.0,1247.0,45.0,23.0,8.0,10.0,10.0,32.0,13.0,7.0,3.0,16.0,2.0,592.0,225.0,37.0,762.0,66.0,23.0,8.0,3.0,21.0,2820.0,5.0,24.0,96.0,8311.0,79.0,3.0,59.0,127.0,18.0,4.0,52.0,19.0,902.0,90.0,133.0,2.0,5.0,51.0,0.0,46.0,3.0,90.0,1.0,316.0,55.0,22.0,24.0,41.0,2.0,10.0,5.0,4.0,188.0,1.0,56.0,297.0,2.0,5.0,0.0,36.0,177.0
Sweden,0.0,4.0,3.0,97.0,1.0,3.0,4.0,0.0,17.0,8.0,0.0,3.0,23.0,10.0,1.0,33.0,5.0,1056.0,0.0,1.0,21.0,14.0,1.0,13.0,0.0,61.0,4.0,33.0,4.0,0.0,10.0,1.0,31.0,0.0,0.0,0.0,1.0,9.0,8.0,3.0,3.0,8.0,8.0,0.0,9.0,19.0,20.0,2.0,25.0,2.0,0.0,0.0,174.0,0.0,1.0,0.0,12.0,3.0,3.0,1.0,0.0,1.0,20.0,0.0,26.0,92.0,0.0,82.0,2.0,0.0,0.0,0.0,27.0,6.0,1.0,2.0,18.0,12.0,8.0,0.0,19.0,129.0,4.0,1.0,7.0,4.0,25.0,9.0,25.0,0.0,0.0,4.0,0.0,6.0,2.0,25.0,0.0,40.0,21.0,3.0,0.0,3.0,0.0,8.0,0.0,0.0,28.0,5.0,7.0,8.0,0.0,0.0,0.0,5.0,56.0
Ethiopia,0.0,5.0,4.0,13.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,19.0,2.0,4.0,3.0,231.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,73.0,0.0,14.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,6.0,3.0,3.0,0.0,3.0,1.0,0.0,2.0,6.0,8.0,0.0,11.0,5.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,2.0,0.0,2.0,99.0,1.0,89.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,2.0,7.0,0.0,3.0,4.0,2.0,1.0,5.0,5.0,4.0,10.0,6.0,0.0,2.0,22.0,0.0,7.0,7.0,13.0,0.0,2.0,1.0,1.0,4.0,3.0,8.0,0.0,0.0,6.0,30.0,0.0,3.0,3.0,1.0,0.0,0.0,4.0,8.0
Botswana,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,43.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,13.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0
Bulgaria,0.0,3.0,0.0,175.0,1.0,5.0,13.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,23.0,1.0,1601.0,0.0,0.0,8.0,12.0,2.0,4.0,0.0,23.0,3.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,3.0,3.0,2.0,0.0,5.0,20.0,9.0,2.0,12.0,5.0,0.0,0.0,437.0,0.0,0.0,1.0,7.0,0.0,5.0,1.0,0.0,0.0,5.0,0.0,10.0,3.0,0.0,171.0,12.0,0.0,0.0,0.0,15.0,1.0,0.0,2.0,1.0,6.0,9.0,1.0,13.0,2.0,1.0,0.0,52.0,1.0,13.0,6.0,16.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,8.0,19.0,1.0,2.0,3.0,0.0,6.0,1.0,0.0,25.0,0.0,12.0,2.0,0.0,2.0,0.0,0.0,4.0
Afghanistan,0.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,0.0,9.0,2.0,391.0,0.0,0.0,10.0,13.0,51.0,25.0,0.0,43.0,0.0,7.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,19.0,4.0,2.0,1.0,4.0,1.0,0.0,4.0,11.0,3.0,0.0,3.0,0.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,47.0,0.0,658.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,38.0,313.0,0.0,12.0,3.0,0.0,0.0,7.0,16.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,22.0,0.0,7.0,1.0,2.0,0.0,0.0,1.0,7.0
Germany,0.0,18.0,15.0,1225.0,33.0,42.0,9.0,1.0,35.0,6.0,73.0,43.0,40.0,35.0,11.0,146.0,6.0,10415.0,5.0,53.0,44.0,177.0,44.0,100.0,7.0,463.0,30.0,168.0,38.0,0.0,135.0,4.0,164.0,2.0,0.0,8.0,17.0,130.0,22.0,0.0,21.0,26.0,12.0,0.0,258.0,194.0,195.0,32.0,294.0,154.0,8.0,0.0,1162.0,5.0,5.0,8.0,6.0,6.0,33.0,10.0,16.0,0.0,108.0,0.0,91.0,92.0,92.0,1264.0,37.0,4.0,0.0,1.0,37.0,52.0,4.0,24.0,34.0,56.0,105.0,4.0,31.0,164.0,17.0,64.0,46.0,22.0,112.0,75.0,287.0,0.0,11.0,21.0,2.0,10.0,23.0,128.0,1.0,176.0,36.0,22.0,13.0,41.0,0.0,22.0,1.0,3.0,146.0,11.0,40.0,56.0,1.0,89.0,0.0,52.0,120.0
South Africa,0.0,4.0,2.0,66.0,3.0,1.0,4.0,0.0,21.0,2.0,9.0,13.0,0.0,15.0,9.0,124.0,0.0,3140.0,0.0,0.0,50.0,8.0,12.0,9.0,1.0,374.0,2.0,157.0,2.0,0.0,21.0,0.0,45.0,0.0,0.0,2.0,0.0,26.0,11.0,9.0,5.0,3.0,1.0,1.0,3.0,26.0,23.0,1.0,33.0,4.0,0.0,0.0,498.0,2.0,1.0,12.0,5.0,0.0,5.0,7.0,7.0,1.0,4.0,0.0,178.0,123.0,33.0,260.0,15.0,0.0,0.0,0.0,18.0,14.0,3.0,2.0,7.0,71.0,49.0,0.0,24.0,79.0,5.0,0.0,11.0,10.0,173.0,28.0,26.0,1.0,3.0,5.0,1.0,10.0,2.0,34.0,0.0,121.0,1.0,19.0,5.0,24.0,1.0,0.0,3.0,0.0,128.0,0.0,82.0,8.0,1.0,7.0,0.0,23.0,44.0
"Korea, Republic of",0.0,3.0,0.0,93.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,19.0,1.0,541.0,2.0,0.0,29.0,9.0,2.0,1.0,0.0,39.0,0.0,83.0,3.0,0.0,5.0,2.0,22.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,3.0,4.0,7.0,0.0,6.0,52.0,26.0,5.0,7.0,4.0,5.0,0.0,112.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,97.0,4.0,1.0,46.0,2.0,0.0,0.0,0.0,1.0,13.0,2.0,0.0,5.0,53.0,4.0,3.0,1.0,18.0,2.0,1.0,9.0,0.0,20.0,7.0,6.0,0.0,0.0,3.0,0.0,4.0,0.0,7.0,1.0,15.0,1.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,46.0,16.0,0.0,6.0,0.0,1.0,6.0
Ukraine,0.0,198.0,0.0,792.0,1.0,65.0,83.0,0.0,2.0,2.0,12.0,2.0,3.0,128.0,1.0,94.0,5.0,8445.0,0.0,10.0,332.0,7.0,11.0,550.0,8.0,344.0,47.0,38.0,12.0,1.0,6.0,2.0,38.0,0.0,0.0,1.0,6.0,160.0,22.0,1.0,3.0,76.0,65.0,1.0,50.0,128.0,80.0,4.0,26.0,6.0,4.0,0.0,552.0,1.0,2.0,1.0,3.0,0.0,24.0,63.0,0.0,2.0,5.0,0.0,42.0,71.0,4.0,1466.0,5.0,4.0,0.0,1.0,6.0,11.0,0.0,64.0,1.0,26.0,555.0,4.0,217.0,10.0,15.0,0.0,67.0,188.0,24.0,53.0,19.0,0.0,8.0,0.0,0.0,8.0,1.0,72.0,0.0,35.0,23.0,3.0,25.0,14.0,2.0,2.0,2.0,0.0,274.0,23.0,89.0,31.0,1.0,5.0,0.0,14.0,30.0
Australia,0.0,21.0,5.0,133.0,2.0,6.0,16.0,33.0,13.0,3.0,23.0,22.0,141.0,5.0,6.0,59.0,0.0,2920.0,2.0,0.0,62.0,23.0,40.0,18.0,1.0,83.0,7.0,141.0,9.0,0.0,13.0,48.0,68.0,1.0,0.0,12.0,2.0,95.0,12.0,2.0,43.0,9.0,5.0,95.0,32.0,106.0,119.0,3.0,49.0,23.0,20.0,0.0,672.0,502.0,0.0,2.0,5.0,2.0,33.0,30.0,2.0,1.0,5.0,0.0,51.0,85.0,4.0,248.0,48.0,1.0,0.0,8.0,16.0,40.0,11.0,8.0,24.0,33.0,30.0,9.0,23.0,105.0,4.0,0.0,27.0,6.0,45.0,88.0,33.0,10.0,12.0,9.0,0.0,11.0,2.0,50.0,2.0,249.0,21.0,21.0,2.0,50.0,4.0,3.0,6.0,3.0,32.0,0.0,37.0,29.0,1.0,26.0,0.0,42.0,109.0
Kazakhstan,0.0,9.0,0.0,15.0,2.0,0.0,17.0,0.0,1.0,1.0,3.0,2.0,8.0,3.0,2.0,11.0,7.0,274.0,0.0,0.0,47.0,7.0,2.0,18.0,0.0,33.0,6.0,3.0,0.0,0.0,2.0,1.0,13.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,6.0,5.0,2.0,8.0,4.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,9.0,11.0,0.0,20.0,3.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,112.0,3.0,0.0,22.0,6.0,1.0,0.0,1.0,0.0,1.0,6.0,10.0,0.0,1.0,2.0,0.0,2.0,6.0,1.0,1.0,3.0,7.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,14.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,3.0
Kenya,0.0,1.0,0.0,6.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,18.0,1.0,12.0,25.0,7.0,1.0,364.0,0.0,0.0,6.0,3.0,16.0,0.0,0.0,78.0,1.0,10.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,3.0,0.0,17.0,4.0,0.0,6.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,2.0,5.0,1.0,0.0,9.0,0.0,1.0,2.0,0.0,4.0,18.0,0.0,0.0,1.0,2.0,0.0,5.0,157.0,19.0,33.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,8.0,11.0,15.0,2.0,9.0,21.0,3.0,0.0,8.0,5.0,2.0,25.0,4.0,0.0,0.0,12.0,0.0,1.0,4.0,1.0,0.0,9.0,21.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,32.0,0.0,21.0,2.0,7.0,0.0,0.0,80.0,37.0
Uganda,0.0,11.0,1.0,9.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,7.0,6.0,0.0,235.0,0.0,0.0,10.0,2.0,5.0,0.0,0.0,68.0,0.0,9.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,4.0,0.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,9.0,1.0,4.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,5.0,76.0,3.0,35.0,13.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,2.0,6.0,79.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,13.0,12.0,0.0,0.0,11.0,2.0,0.0,12.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,20.0,9.0,0.0,6.0,0.0,32.0,17.0
Hungary,0.0,1.0,0.0,371.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,11.0,0.0,8.0,1.0,385.0,0.0,0.0,7.0,3.0,14.0,7.0,0.0,51.0,1.0,3.0,2.0,0.0,5.0,1.0,6.0,0.0,0.0,1.0,43.0,4.0,0.0,1.0,2.0,3.0,17.0,0.0,2.0,14.0,15.0,1.0,8.0,2.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,18.0,3.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,195.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,15.0
Zimbabwe,0.0,7.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,237.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,12.0,1.0,16.0,6.0,0.0,9.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,19.0,0.0,1.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,17.0,2.0,0.0,0.0,18.0,0.0,3.0,9.0,0.0,0.0,3.0,9.0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,14.0,0.0,57.0,0.0,0.0,0.0,0.0,4.0,2.0
Mexico,0.0,3.0,3.0,204.0,6.0,13.0,26.0,0.0,48.0,34.0,24.0,17.0,8.0,58.0,5.0,70.0,0.0,3340.0,7.0,0.0,24.0,18.0,121.0,26.0,1.0,66.0,2.0,21.0,8.0,1.0,6.0,5.0,35.0,0.0,0.0,3.0,2.0,62.0,4.0,1.0,7.0,22.0,1.0,0.0,203.0,128.0,102.0,5.0,68.0,5.0,2.0,0.0,130.0,0.0,0.0,0.0,0.0,3.0,42.0,5.0,0.0,3.0,3.0,0.0,18.0,45.0,0.0,158.0,2.0,3.0,0.0,0.0,13.0,2.0,12.0,4.0,3.0,21.0,12.0,0.0,61.0,14.0,42.0,0.0,78.0,19.0,24.0,117.0,36.0,2.0,14.0,2.0,0.0,11.0,4.0,43.0,6.0,122.0,38.0,3.0,6.0,7.0,1.0,5.0,7.0,1.0,37.0,1.0,37.0,68.0,0.0,4.0,0.0,8.0,120.0
Lithuania,0.0,7.0,0.0,9.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,308.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,7.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,7.0,7.0,0.0,4.0,0.0,25.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Korea, Democratic People's Republic of",0.0,14.0,0.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,41.0,0.0,900.0,0.0,0.0,32.0,0.0,1.0,6.0,0.0,41.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,27.0,3.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,112.0,0.0,0.0,0.0,0.0,1.0,0.0
Estonia,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,11.0,0.0,221.0,0.0,0.0,16.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,11.0,3.0,2.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Namibia,0.0,2.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,29.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,7.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0
