,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Azerbaijan,1.0,6.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,12.0,0.0,471.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,39.0,0.0,31.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,9.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0
Romania,2.0,16.0,1.0,45.0,8.0,166.0,6.0,0.0,3.0,0.0,15.0,1.0,3.0,8.0,0.0,29.0,0.0,1174.0,1.0,6.0,11.0,22.0,1.0,4.0,0.0,29.0,4.0,11.0,3.0,0.0,2.0,0.0,41.0,3.0,0.0,2.0,0.0,2.0,3.0,6.0,1.0,10.0,0.0,0.0,2.0,20.0,16.0,1.0,13.0,15.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,1.0,9.0,17.0,11.0,0.0,26.0,0.0,6.0,5.0,1.0,24.0,19.0,0.0,0.0,0.0,0.0,226.0,0.0,2.0,18.0,22.0,21.0,1.0,22.0,7.0,3.0,0.0,10.0,8.0,75.0,58.0,99.0,0.0,3.0,1.0,0.0,7.0,0.0,156.0,0.0,10.0,8.0,0.0,3.0,14.0,0.0,33.0,0.0,1.0,84.0,0.0,20.0,29.0,0.0,39.0,0.0,4.0,8.0
Thailand,2.0,12.0,3.0,37.0,6.0,31.0,6.0,0.0,4.0,0.0,16.0,27.0,3.0,10.0,0.0,34.0,2.0,1068.0,4.0,0.0,14.0,16.0,36.0,11.0,0.0,67.0,7.0,123.0,9.0,5.0,3.0,0.0,36.0,1.0,0.0,18.0,1.0,129.0,3.0,3.0,12.0,0.0,3.0,1.0,11.0,20.0,49.0,22.0,22.0,6.0,3.0,0.0,169.0,2.0,1.0,0.0,7.0,3.0,24.0,13.0,1.0,0.0,23.0,0.0,13.0,31.0,2.0,55.0,12.0,12.0,0.0,6.0,6.0,6.0,0.0,14.0,10.0,25.0,14.0,0.0,50.0,15.0,5.0,0.0,30.0,8.0,8.0,37.0,16.0,0.0,3.0,10.0,0.0,16.0,4.0,6.0,3.0,24.0,25.0,0.0,8.0,9.0,0.0,7.0,1.0,3.0,83.0,11.0,25.0,17.0,0.0,11.0,3.0,15.0,44.0
Kenya,4.0,5.0,0.0,27.0,1.0,5.0,4.0,0.0,3.0,0.0,0.0,20.0,8.0,25.0,19.0,4.0,0.0,513.0,4.0,0.0,9.0,2.0,4.0,3.0,2.0,225.0,7.0,42.0,2.0,2.0,2.0,0.0,8.0,0.0,0.0,8.0,2.0,46.0,13.0,0.0,8.0,6.0,2.0,0.0,5.0,17.0,9.0,1.0,14.0,3.0,3.0,0.0,50.0,0.0,1.0,1.0,0.0,5.0,6.0,4.0,0.0,0.0,2.0,1.0,6.0,88.0,15.0,101.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,7.0,16.0,4.0,20.0,6.0,1.0,0.0,9.0,0.0,2.0,27.0,11.0,0.0,0.0,19.0,0.0,12.0,18.0,4.0,0.0,4.0,5.0,0.0,2.0,1.0,9.0,5.0,0.0,1.0,21.0,0.0,37.0,3.0,14.0,0.0,0.0,37.0,22.0
Jordan,1.0,0.0,0.0,18.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,43.0,0.0,4.0,1.0,313.0,1.0,0.0,23.0,4.0,1.0,31.0,0.0,11.0,0.0,24.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,82.0,6.0,0.0,1.0,2.0,1.0,0.0,4.0,2.0,3.0,0.0,4.0,2.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,3.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0
Luxembourg,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,9.0,0.0,374.0,0.0,0.0,4.0,2.0,4.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,3.0,5.0,0.0,2.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,13.0
Norway,3.0,1.0,0.0,99.0,2.0,2.0,1.0,0.0,4.0,0.0,1.0,4.0,17.0,6.0,0.0,6.0,0.0,362.0,2.0,1.0,6.0,3.0,4.0,4.0,0.0,16.0,4.0,9.0,1.0,0.0,3.0,1.0,15.0,0.0,0.0,1.0,0.0,15.0,3.0,1.0,3.0,3.0,0.0,0.0,26.0,25.0,38.0,0.0,12.0,2.0,0.0,0.0,56.0,0.0,0.0,0.0,12.0,1.0,2.0,3.0,5.0,0.0,8.0,0.0,4.0,3.0,0.0,16.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,1.0,2.0,0.0,8.0,32.0,1.0,0.0,2.0,0.0,10.0,4.0,25.0,11.0,1.0,0.0,0.0,1.0,1.0,15.0,0.0,7.0,15.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,8.0,11.0,3.0,3.0,2.0,0.0,0.0,7.0,14.0
Russian Federation,1.0,77.0,1.0,251.0,5.0,24.0,40.0,0.0,1.0,0.0,38.0,2.0,6.0,138.0,4.0,90.0,23.0,4545.0,3.0,1.0,86.0,13.0,16.0,223.0,1.0,230.0,27.0,48.0,6.0,19.0,3.0,5.0,45.0,1.0,0.0,0.0,29.0,188.0,33.0,1.0,7.0,1.0,14.0,20.0,71.0,30.0,101.0,1.0,24.0,36.0,0.0,0.0,431.0,0.0,0.0,4.0,1.0,4.0,9.0,17.0,4.0,0.0,155.0,0.0,40.0,26.0,26.0,157.0,10.0,8.0,0.0,0.0,16.0,7.0,0.0,13.0,16.0,33.0,20.0,8.0,59.0,14.0,16.0,0.0,82.0,28.0,57.0,54.0,7.0,0.0,3.0,1.0,0.0,8.0,4.0,31.0,0.0,39.0,43.0,1.0,14.0,11.0,0.0,16.0,2.0,0.0,102.0,26.0,56.0,36.0,0.0,13.0,1.0,15.0,27.0
Puerto Rico,1.0,3.0,0.0,38.0,2.0,2.0,4.0,0.0,4.0,0.0,5.0,11.0,3.0,0.0,0.0,18.0,0.0,767.0,0.0,1.0,14.0,4.0,29.0,0.0,1.0,17.0,0.0,17.0,2.0,0.0,3.0,2.0,12.0,0.0,0.0,4.0,0.0,21.0,10.0,0.0,1.0,1.0,1.0,0.0,24.0,20.0,21.0,0.0,8.0,12.0,3.0,0.0,59.0,1.0,1.0,2.0,5.0,0.0,10.0,78.0,0.0,1.0,11.0,0.0,3.0,4.0,0.0,17.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,4.0,6.0,0.0,38.0,12.0,5.0,0.0,4.0,4.0,5.0,25.0,23.0,0.0,2.0,0.0,0.0,1.0,0.0,29.0,0.0,18.0,7.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,17.0,0.0,21.0,0.0,6.0,33.0
Belgium,1.0,0.0,0.0,257.0,1.0,2.0,11.0,0.0,5.0,0.0,5.0,2.0,6.0,8.0,3.0,13.0,0.0,1157.0,1.0,0.0,11.0,9.0,6.0,14.0,0.0,72.0,0.0,11.0,9.0,0.0,3.0,2.0,25.0,1.0,0.0,0.0,0.0,38.0,20.0,2.0,3.0,2.0,1.0,0.0,61.0,16.0,30.0,2.0,15.0,7.0,1.0,0.0,125.0,0.0,0.0,1.0,2.0,2.0,5.0,3.0,1.0,0.0,21.0,0.0,4.0,14.0,0.0,31.0,7.0,0.0,0.0,0.0,13.0,1.0,0.0,2.0,11.0,8.0,6.0,2.0,6.0,17.0,3.0,0.0,9.0,6.0,14.0,24.0,322.0,0.0,2.0,1.0,3.0,10.0,2.0,93.0,0.0,14.0,4.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,18.0,0.0,12.0,9.0,1.0,1.0,0.0,9.0,13.0
"Iran, Islamic Republic of",1.0,10.0,0.0,6.0,1.0,3.0,29.0,0.0,3.0,0.0,0.0,0.0,8.0,264.0,0.0,16.0,5.0,457.0,1.0,0.0,9.0,15.0,8.0,75.0,1.0,25.0,9.0,38.0,1.0,0.0,0.0,0.0,25.0,1.0,0.0,2.0,0.0,171.0,115.0,0.0,18.0,2.0,1.0,0.0,3.0,8.0,10.0,0.0,18.0,0.0,1.0,0.0,336.0,0.0,1.0,0.0,1.0,6.0,2.0,2.0,3.0,0.0,2.0,0.0,11.0,5.0,4.0,8.0,1.0,0.0,1.0,0.0,3.0,14.0,0.0,2.0,6.0,9.0,22.0,2.0,2.0,6.0,3.0,1.0,6.0,5.0,29.0,5.0,14.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,11.0,3.0,0.0,0.0,10.0,0.0,62.0,2.0,0.0,51.0,4.0,2.0,7.0,0.0,1.0,4.0,11.0,5.0
Viet Nam,1.0,2.0,7.0,80.0,0.0,0.0,0.0,0.0,3.0,0.0,125.0,3.0,0.0,4.0,1.0,19.0,0.0,1787.0,3.0,0.0,13.0,1.0,151.0,1.0,3.0,15.0,0.0,37.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,73.0,6.0,1.0,5.0,11.0,1.0,0.0,2.0,23.0,189.0,11.0,20.0,3.0,1.0,0.0,70.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,13.0,14.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,7.0,38.0,7.0,0.0,8.0,11.0,8.0,1.0,22.0,6.0,6.0,6.0,4.0,0.0,0.0,2.0,0.0,7.0,0.0,11.0,0.0,24.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,7.0,4.0,0.0,0.0,0.0,3.0,8.0
Honduras,2.0,0.0,0.0,22.0,0.0,5.0,9.0,0.0,0.0,2.0,1.0,4.0,3.0,1.0,0.0,1.0,0.0,427.0,0.0,1.0,0.0,4.0,74.0,6.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,9.0,1.0,26.0,6.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,4.0,11.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,4.0,1.0,2.0,0.0,7.0,11.0,2.0,8.0,5.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,28.0
France,3.0,16.0,3.0,1544.0,13.0,52.0,30.0,0.0,21.0,4.0,12.0,148.0,39.0,50.0,19.0,159.0,0.0,5076.0,3.0,4.0,117.0,52.0,197.0,86.0,0.0,168.0,12.0,147.0,5.0,1.0,48.0,3.0,353.0,1.0,0.0,3.0,4.0,170.0,53.0,2.0,76.0,10.0,5.0,1.0,46.0,99.0,125.0,17.0,65.0,16.0,0.0,0.0,980.0,5.0,2.0,0.0,30.0,4.0,67.0,23.0,87.0,4.0,91.0,2.0,44.0,78.0,5.0,173.0,41.0,4.0,1.0,1.0,14.0,23.0,7.0,5.0,23.0,26.0,45.0,8.0,56.0,108.0,50.0,3.0,41.0,5.0,48.0,85.0,255.0,1.0,5.0,13.0,0.0,22.0,21.0,243.0,1.0,52.0,42.0,13.0,8.0,40.0,1.0,6.0,1.0,2.0,107.0,0.0,60.0,58.0,2.0,22.0,0.0,58.0,231.0
Colombia,1.0,2.0,2.0,38.0,1.0,7.0,52.0,0.0,1.0,24.0,14.0,10.0,0.0,6.0,2.0,20.0,0.0,1123.0,0.0,0.0,28.0,4.0,61.0,4.0,0.0,31.0,1.0,24.0,10.0,0.0,4.0,6.0,9.0,0.0,0.0,1.0,0.0,43.0,3.0,1.0,0.0,7.0,5.0,0.0,27.0,17.0,10.0,0.0,9.0,3.0,2.0,0.0,32.0,0.0,0.0,0.0,0.0,6.0,9.0,9.0,0.0,0.0,3.0,0.0,0.0,40.0,2.0,40.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,8.0,9.0,6.0,1.0,38.0,8.0,6.0,0.0,16.0,13.0,9.0,34.0,5.0,1.0,0.0,1.0,0.0,3.0,2.0,131.0,0.0,15.0,8.0,0.0,21.0,9.0,4.0,0.0,1.0,1.0,30.0,5.0,14.0,4.0,0.0,1.0,0.0,33.0,61.0
Chile,16.0,5.0,0.0,16.0,0.0,5.0,14.0,0.0,1.0,9.0,8.0,11.0,2.0,2.0,0.0,23.0,0.0,1540.0,0.0,0.0,7.0,19.0,42.0,9.0,0.0,17.0,8.0,5.0,1.0,0.0,2.0,0.0,12.0,1.0,0.0,1.0,0.0,16.0,2.0,0.0,4.0,4.0,17.0,0.0,23.0,10.0,15.0,1.0,17.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,6.0,2.0,35.0,7.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,8.0,4.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0,19.0,8.0,0.0,11.0,38.0,3.0,0.0,4.0,7.0,7.0,19.0,3.0,2.0,7.0,2.0,0.0,6.0,1.0,61.0,0.0,48.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,0.0,8.0,1.0,0.0,0.0,0.0,3.0,29.0
