,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Romania,2.0,2.0,0.0,180.0,13.0,21.0,33.0,0.0,2.0,0.0,23.0,0.0,3.0,8.0,0.0,74.0,0.0,1837.0,1.0,7.0,18.0,12.0,5.0,7.0,0.0,29.0,2.0,24.0,2.0,0.0,4.0,0.0,38.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,20.0,23.0,66.0,3.0,14.0,11.0,0.0,0.0,204.0,1.0,0.0,0.0,1.0,1.0,12.0,7.0,4.0,0.0,32.0,0.0,11.0,3.0,0.0,31.0,6.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,3.0,14.0,34.0,0.0,23.0,0.0,2.0,2.0,20.0,9.0,856.0,32.0,103.0,0.0,7.0,0.0,0.0,4.0,0.0,62.0,0.0,21.0,14.0,0.0,1.0,6.0,0.0,32.0,2.0,0.0,39.0,0.0,16.0,64.0,0.0,3.0,0.0,1.0,15.0
Thailand,1.0,5.0,2.0,57.0,4.0,15.0,0.0,0.0,2.0,0.0,6.0,10.0,3.0,5.0,0.0,11.0,0.0,905.0,0.0,1.0,30.0,6.0,61.0,20.0,0.0,41.0,0.0,56.0,0.0,2.0,2.0,0.0,24.0,0.0,0.0,3.0,0.0,43.0,6.0,1.0,9.0,3.0,0.0,1.0,9.0,13.0,144.0,29.0,30.0,3.0,3.0,0.0,75.0,1.0,0.0,0.0,3.0,3.0,5.0,10.0,0.0,0.0,14.0,1.0,98.0,28.0,0.0,30.0,5.0,5.0,1.0,0.0,6.0,9.0,1.0,5.0,6.0,86.0,11.0,0.0,18.0,7.0,8.0,0.0,19.0,3.0,13.0,53.0,10.0,0.0,0.0,1.0,0.0,19.0,2.0,3.0,1.0,14.0,7.0,4.0,6.0,7.0,0.0,2.0,0.0,1.0,192.0,0.0,8.0,6.0,0.0,0.0,0.0,13.0,25.0
Kenya,4.0,2.0,2.0,7.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,19.0,2.0,10.0,21.0,7.0,1.0,453.0,0.0,0.0,10.0,4.0,16.0,0.0,2.0,80.0,6.0,17.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,5.0,1.0,20.0,7.0,0.0,10.0,2.0,2.0,1.0,1.0,15.0,2.0,0.0,4.0,5.0,3.0,0.0,17.0,0.0,1.0,2.0,0.0,4.0,11.0,0.0,0.0,1.0,2.0,1.0,5.0,171.0,19.0,44.0,2.0,1.0,0.0,0.0,0.0,2.0,8.0,1.0,8.0,9.0,18.0,2.0,13.0,26.0,2.0,0.0,9.0,5.0,1.0,28.0,4.0,0.0,0.0,16.0,0.0,2.0,14.0,1.0,0.0,4.0,22.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,27.0,0.0,25.0,3.0,6.0,0.0,0.0,84.0,39.0
Jordan,1.0,0.0,0.0,6.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,417.0,1.0,1.0,15.0,0.0,2.0,43.0,0.0,5.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,0.0,2.0,1.0,1.0,0.0,4.0,2.0,8.0,0.0,2.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,16.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,4.0,2.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0
Luxembourg,1.0,1.0,3.0,16.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,443.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0
Lithuania,0.0,4.0,0.0,11.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,308.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,3.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,20.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,2.0,8.0,0.0,4.0,0.0,49.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bulgaria,0.0,2.0,0.0,146.0,1.0,9.0,14.0,0.0,0.0,0.0,8.0,1.0,2.0,3.0,0.0,26.0,1.0,1601.0,0.0,0.0,9.0,19.0,3.0,3.0,0.0,24.0,3.0,8.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,2.0,2.0,0.0,6.0,23.0,12.0,4.0,14.0,6.0,0.0,0.0,483.0,0.0,0.0,1.0,8.0,0.0,6.0,1.0,0.0,0.0,6.0,0.0,6.0,11.0,0.0,175.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,2.0,3.0,6.0,10.0,1.0,14.0,2.0,1.0,0.0,58.0,2.0,14.0,6.0,16.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0,0.0,6.0,46.0,0.0,2.0,7.0,0.0,4.0,1.0,0.0,49.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,5.0
China,0.0,30.0,3.0,907.0,3.0,19.0,28.0,0.0,63.0,5.0,16.0,24.0,57.0,39.0,8.0,395.0,2.0,15102.0,29.0,12.0,164.0,125.0,72.0,60.0,3.0,604.0,126.0,302.0,77.0,1.0,89.0,11.0,380.0,4.0,0.0,17.0,11.0,257.0,40.0,3.0,23.0,21.0,35.0,2.0,56.0,421.0,316.0,115.0,274.0,42.0,15.0,0.0,1448.0,50.0,13.0,9.0,10.0,11.0,37.0,17.0,6.0,3.0,16.0,3.0,575.0,202.0,35.0,806.0,71.0,24.0,10.0,3.0,17.0,3116.0,8.0,25.0,93.0,9008.0,74.0,3.0,59.0,136.0,20.0,7.0,58.0,17.0,1025.0,90.0,163.0,1.0,14.0,56.0,0.0,52.0,2.0,77.0,1.0,366.0,64.0,20.0,20.0,50.0,1.0,10.0,7.0,4.0,195.0,3.0,70.0,321.0,3.0,7.0,0.0,42.0,178.0
Canada,0.0,8.0,0.0,707.0,9.0,15.0,2.0,1.0,17.0,3.0,15.0,7.0,20.0,6.0,8.0,269.0,0.0,6752.0,2.0,12.0,131.0,50.0,17.0,17.0,1.0,210.0,1.0,97.0,13.0,0.0,35.0,4.0,51.0,2.0,0.0,1.0,3.0,67.0,40.0,4.0,12.0,5.0,4.0,0.0,138.0,98.0,102.0,3.0,91.0,73.0,0.0,0.0,608.0,4.0,0.0,1.0,5.0,1.0,15.0,10.0,1.0,0.0,126.0,2.0,57.0,39.0,2.0,138.0,15.0,2.0,0.0,0.0,104.0,31.0,5.0,5.0,23.0,60.0,32.0,0.0,88.0,107.0,2.0,0.0,16.0,14.0,89.0,78.0,98.0,3.0,3.0,4.0,0.0,10.0,6.0,117.0,1.0,149.0,39.0,43.0,11.0,18.0,0.0,3.0,3.0,0.0,70.0,2.0,27.0,30.0,0.0,26.0,0.0,18.0,64.0
Iraq,0.0,10.0,2.0,77.0,1.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,3.0,218.0,8.0,7.0,102.0,530.0,0.0,0.0,1.0,0.0,4.0,236.0,0.0,209.0,3.0,140.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,2.0,1.0,84.0,16.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,5.0,0.0,2.0,5.0,8.0,0.0,0.0,2.0,0.0,13.0,7.0,32.0,31.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,16.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,25.0,0.0,13.0,22.0,1.0,3.0,6.0,35.0,0.0
Namibia,0.0,3.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,27.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,6.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,5.0,9.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,0.0,6.0,5.0,15.0,0.0,3.0,4.0,0.0,2.0,0.0,1.0,2.0,3.0,20.0,5.0,4.0,3.0,241.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,81.0,0.0,14.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,8.0,4.0,3.0,0.0,5.0,1.0,0.0,3.0,8.0,8.0,0.0,12.0,7.0,13.0,0.0,9.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,2.0,0.0,3.0,101.0,1.0,126.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,2.0,11.0,0.0,3.0,5.0,2.0,1.0,7.0,6.0,4.0,8.0,6.0,0.0,3.0,14.0,0.0,7.0,7.0,14.0,0.0,1.0,2.0,1.0,4.0,4.0,9.0,1.0,0.0,6.0,31.0,0.0,4.0,4.0,13.0,0.0,0.0,9.0,9.0
South Africa,0.0,3.0,2.0,56.0,3.0,2.0,4.0,0.0,10.0,4.0,2.0,21.0,1.0,12.0,15.0,63.0,1.0,1723.0,0.0,0.0,44.0,6.0,11.0,9.0,0.0,175.0,2.0,77.0,4.0,0.0,22.0,1.0,46.0,0.0,0.0,1.0,0.0,29.0,10.0,9.0,5.0,2.0,1.0,1.0,3.0,27.0,22.0,1.0,19.0,4.0,1.0,0.0,306.0,2.0,2.0,14.0,4.0,3.0,8.0,0.0,6.0,0.0,2.0,0.0,150.0,106.0,23.0,202.0,13.0,0.0,0.0,0.0,18.0,8.0,2.0,3.0,13.0,56.0,42.0,0.0,23.0,60.0,6.0,0.0,9.0,9.0,150.0,25.0,21.0,1.0,2.0,6.0,1.0,13.0,4.0,12.0,0.0,73.0,1.0,19.0,4.0,25.0,0.0,0.0,4.0,0.0,138.0,0.0,83.0,6.0,4.0,2.0,0.0,28.0,38.0
Ukraine,0.0,199.0,0.0,951.0,1.0,67.0,87.0,0.0,2.0,2.0,12.0,2.0,2.0,346.0,1.0,100.0,5.0,9843.0,1.0,10.0,350.0,8.0,19.0,643.0,8.0,366.0,47.0,44.0,11.0,1.0,7.0,2.0,43.0,0.0,0.0,1.0,9.0,178.0,39.0,1.0,4.0,77.0,66.0,1.0,57.0,136.0,84.0,4.0,29.0,13.0,4.0,0.0,533.0,1.0,3.0,1.0,2.0,0.0,30.0,71.0,0.0,2.0,5.0,0.0,46.0,94.0,4.0,1536.0,7.0,4.0,0.0,1.0,7.0,10.0,0.0,67.0,1.0,33.0,562.0,4.0,260.0,10.0,19.0,1.0,70.0,189.0,28.0,62.0,23.0,0.0,8.0,0.0,0.0,18.0,1.0,71.0,0.0,39.0,23.0,3.0,28.0,42.0,2.0,2.0,2.0,0.0,314.0,24.0,105.0,36.0,1.0,5.0,0.0,20.0,34.0
Uruguay,0.0,4.0,0.0,7.0,0.0,2.0,13.0,0.0,0.0,7.0,0.0,2.0,0.0,3.0,0.0,11.0,0.0,319.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,11.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,6.0,9.0,0.0,0.0,1.0,5.0,16.0,10.0,3.0,1.0,4.0,2.0,0.0,0.0,1.0,4.0,0.0,17.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,10.0
Albania,0.0,25.0,0.0,261.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,289.0,0.0,2532.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,36.0,2.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,41.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,49.0
Australia,0.0,11.0,7.0,163.0,2.0,7.0,17.0,31.0,17.0,3.0,30.0,17.0,135.0,2.0,6.0,73.0,0.0,2998.0,2.0,0.0,54.0,40.0,30.0,18.0,0.0,94.0,3.0,133.0,9.0,0.0,16.0,51.0,76.0,2.0,0.0,12.0,1.0,92.0,18.0,5.0,41.0,8.0,4.0,124.0,31.0,105.0,136.0,4.0,52.0,25.0,8.0,0.0,1012.0,531.0,0.0,3.0,23.0,2.0,33.0,33.0,1.0,1.0,5.0,0.0,50.0,83.0,3.0,237.0,49.0,1.0,0.0,19.0,14.0,41.0,12.0,8.0,26.0,39.0,28.0,11.0,30.0,148.0,3.0,0.0,28.0,9.0,52.0,96.0,40.0,8.0,12.0,5.0,0.0,13.0,2.0,50.0,2.0,240.0,16.0,29.0,3.0,74.0,5.0,10.0,6.0,3.0,33.0,0.0,34.0,31.0,2.0,27.0,0.0,32.0,100.0
Kuwait,0.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,210.0,0.0,0.0,1.0,1.0,0.0,27.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0
Zimbabwe,0.0,6.0,0.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,3.0,0.0,255.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,1.0,14.0,6.0,0.0,9.0,15.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,20.0,31.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,1.0,15.0,2.0,0.0,0.0,20.0,0.0,2.0,9.0,2.0,0.0,3.0,12.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,15.0,0.0,58.0,0.0,0.0,0.0,0.0,4.0,2.0
Egypt,0.0,2.0,0.0,208.0,0.0,2.0,24.0,0.0,5.0,2.0,12.0,3.0,2.0,18.0,31.0,10.0,0.0,1419.0,1.0,0.0,3.0,2.0,11.0,334.0,0.0,16.0,1.0,621.0,2.0,1.0,2.0,0.0,30.0,1.0,1.0,13.0,1.0,263.0,11.0,2.0,5.0,0.0,3.0,0.0,9.0,32.0,90.0,1.0,16.0,12.0,1.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,20.0,2.0,2.0,0.0,3.0,0.0,9.0,87.0,2.0,70.0,2.0,0.0,1.0,0.0,1.0,79.0,3.0,0.0,26.0,12.0,178.0,0.0,1.0,2.0,2.0,0.0,2.0,9.0,11.0,32.0,21.0,0.0,10.0,17.0,0.0,7.0,4.0,19.0,0.0,10.0,27.0,1.0,2.0,4.0,3.0,3.0,0.0,0.0,32.0,0.0,7.0,66.0,1.0,2.0,0.0,23.0,13.0
Myanmar,0.0,1.0,1.0,30.0,1.0,8.0,10.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,402.0,0.0,0.0,0.0,8.0,12.0,3.0,0.0,32.0,0.0,2.0,0.0,0.0,10.0,0.0,9.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,11.0,5.0,17.0,1.0,22.0,5.0,1.0,0.0,14.0,0.0,3.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,3.0,0.0,4.0,13.0,0.0,27.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,13.0,7.0,0.0,1.0,0.0,8.0,1.0,3.0,0.0,5.0,3.0,5.0,0.0,3.0,1.0,0.0,23.0,1.0,16.0,0.0,8.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0
Serbia,0.0,1.0,0.0,7.0,0.0,7.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,14.0,0.0,572.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,7.0,0.0,5.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,15.0
Germany,0.0,15.0,18.0,988.0,51.0,39.0,13.0,1.0,32.0,7.0,100.0,46.0,56.0,32.0,6.0,130.0,7.0,9556.0,6.0,64.0,44.0,188.0,48.0,106.0,6.0,300.0,41.0,158.0,14.0,0.0,146.0,7.0,181.0,2.0,0.0,9.0,16.0,145.0,23.0,1.0,26.0,24.0,15.0,0.0,91.0,199.0,214.0,33.0,357.0,216.0,8.0,0.0,1243.0,5.0,4.0,4.0,11.0,9.0,35.0,11.0,12.0,0.0,184.0,0.0,85.0,113.0,84.0,889.0,45.0,3.0,0.0,2.0,32.0,58.0,6.0,25.0,50.0,62.0,97.0,3.0,33.0,151.0,19.0,68.0,56.0,24.0,126.0,88.0,316.0,0.0,9.0,20.0,3.0,12.0,18.0,115.0,1.0,173.0,39.0,27.0,14.0,47.0,0.0,20.0,7.0,4.0,134.0,11.0,48.0,66.0,0.0,103.0,0.0,53.0,129.0
Indonesia,0.0,18.0,2.0,78.0,0.0,5.0,2.0,0.0,2.0,0.0,4.0,19.0,0.0,11.0,1.0,62.0,0.0,2657.0,0.0,0.0,20.0,17.0,211.0,16.0,0.0,102.0,0.0,24.0,0.0,0.0,6.0,0.0,22.0,1.0,0.0,9.0,0.0,42.0,2.0,1.0,0.0,12.0,2.0,37.0,250.0,66.0,68.0,11.0,31.0,6.0,1.0,0.0,203.0,4.0,0.0,1.0,3.0,1.0,13.0,10.0,0.0,0.0,2.0,1.0,30.0,46.0,0.0,38.0,11.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,16.0,24.0,34.0,0.0,3.0,6.0,0.0,0.0,71.0,39.0,26.0,9.0,16.0,1.0,5.0,5.0,0.0,3.0,1.0,3.0,0.0,29.0,0.0,0.0,3.0,6.0,0.0,1.0,0.0,1.0,62.0,0.0,16.0,22.0,0.0,0.0,0.0,12.0,42.0
Turkey,0.0,13.0,0.0,73.0,2.0,17.0,15.0,0.0,3.0,1.0,49.0,2.0,2.0,2.0,0.0,18.0,13.0,1255.0,1.0,2.0,21.0,12.0,4.0,69.0,1.0,26.0,42.0,20.0,6.0,0.0,8.0,0.0,36.0,0.0,0.0,0.0,0.0,259.0,30.0,0.0,0.0,2.0,1.0,0.0,26.0,52.0,30.0,4.0,89.0,3.0,1.0,0.0,128.0,0.0,0.0,0.0,1.0,3.0,28.0,4.0,0.0,0.0,2.0,0.0,8.0,48.0,2.0,94.0,34.0,16.0,0.0,0.0,25.0,20.0,0.0,19.0,1.0,25.0,47.0,0.0,43.0,263.0,3.0,0.0,26.0,30.0,50.0,66.0,58.0,0.0,55.0,2.0,0.0,3.0,11.0,54.0,0.0,40.0,15.0,0.0,22.0,7.0,0.0,2.0,0.0,0.0,90.0,1.0,27.0,10.0,0.0,16.0,10.0,10.0,30.0
Congo,0.0,2.0,0.0,19.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,3.0,0.0,24.0,2.0,9.0,30.0,258.0,0.0,0.0,1.0,4.0,6.0,1.0,3.0,1170.0,0.0,23.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,7.0,3.0,2.0,0.0,1.0,1.0,10.0,2.0,1.0,1.0,1.0,0.0,12.0,3.0,0.0,0.0,33.0,0.0,0.0,10.0,3.0,2.0,7.0,0.0,0.0,0.0,7.0,1.0,16.0,71.0,10.0,211.0,4.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,33.0,0.0,1.0,22.0,1.0,0.0,2.0,19.0,11.0,58.0,0.0,0.0,2.0,7.0,0.0,1.0,24.0,50.0,0.0,24.0,16.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,16.0,0.0,10.0,2.0,2.0,2.0,1.0,21.0,47.0
Mexico,0.0,2.0,2.0,230.0,5.0,18.0,29.0,0.0,3.0,42.0,32.0,20.0,11.0,54.0,5.0,68.0,0.0,3565.0,10.0,0.0,22.0,20.0,138.0,25.0,1.0,67.0,2.0,23.0,7.0,1.0,6.0,6.0,41.0,0.0,0.0,1.0,2.0,55.0,5.0,1.0,8.0,26.0,3.0,0.0,267.0,120.0,93.0,6.0,62.0,15.0,2.0,0.0,146.0,0.0,0.0,0.0,1.0,3.0,41.0,4.0,0.0,5.0,10.0,0.0,12.0,47.0,0.0,149.0,1.0,2.0,0.0,0.0,13.0,1.0,10.0,5.0,5.0,20.0,12.0,0.0,67.0,17.0,97.0,0.0,73.0,20.0,29.0,133.0,40.0,2.0,14.0,1.0,0.0,10.0,5.0,85.0,5.0,114.0,36.0,3.0,7.0,10.0,0.0,4.0,8.0,0.0,41.0,1.0,41.0,86.0,0.0,4.0,0.0,8.0,150.0
Bangladesh,0.0,3.0,2.0,30.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,50.0,0.0,11.0,0.0,512.0,0.0,0.0,2.0,4.0,114.0,1.0,0.0,15.0,0.0,8.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,19.0,8.0,0.0,2.0,3.0,1.0,4.0,3.0,11.0,13.0,0.0,1.0,1.0,1.0,0.0,52.0,1.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,2.0,27.0,0.0,0.0,1.0,10.0,0.0,2.0,0.0,0.0,11.0,7.0,4.0,0.0,0.0,3.0,0.0,0.0,11.0,3.0,2.0,5.0,25.0,0.0,5.0,1.0,0.0,3.0,1.0,0.0,0.0,15.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,16.0,0.0,74.0,7.0,4.0,0.0,0.0,0.0,5.0
