,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Slovakia,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,210.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Lithuania,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Costa Rica,0.0,5.0,0.0,14.0,0.0,4.0,5.0,0.0,1.0,3.0,0.0,3.0,2.0,2.0,0.0,5.0,0.0,335.0,0.0,0.0,8.0,1.0,27.0,1.0,0.0,9.0,0.0,2.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,12.0,8.0,6.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,12.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,5.0,20.0,2.0,0.0,12.0,2.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,2.0,6.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,3.0,0.0,1.0,0.0,5.0,17.0
Angola,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,122.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,9.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,9.0,1.0,0.0,0.0,0.0,7.0,3.0
Mozambique,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,9.0,0.0,2.0,0.0,104.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,40.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,0.0,3.0,1.0,26.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,4.0,2.0,2.0,0.0,10.0,0.0,279.0,1.0,0.0,9.0,2.0,10.0,8.0,2.0,37.0,1.0,6.0,0.0,0.0,5.0,1.0,29.0,0.0,0.0,9.0,0.0,20.0,16.0,0.0,2.0,0.0,0.0,0.0,1.0,16.0,3.0,0.0,5.0,1.0,1.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,9.0,3.0,0.0,0.0,1.0,1.0,0.0,89.0,4.0,26.0,6.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,16.0,0.0,14.0,6.0,3.0,3.0,2.0,0.0,3.0,7.0,14.0,1.0,0.0,10.0,0.0,0.0,3.0,1.0,0.0,5.0,4.0,0.0,1.0,2.0,6.0,0.0,0.0,1.0,15.0,0.0,9.0,8.0,0.0,0.0,0.0,7.0,1.0
Mexico,0.0,2.0,2.0,306.0,3.0,40.0,27.0,0.0,0.0,14.0,35.0,17.0,5.0,22.0,9.0,42.0,0.0,2642.0,26.0,0.0,7.0,13.0,119.0,23.0,0.0,36.0,0.0,17.0,1.0,0.0,0.0,10.0,12.0,0.0,0.0,5.0,17.0,88.0,4.0,0.0,4.0,52.0,7.0,18.0,38.0,77.0,92.0,2.0,52.0,9.0,2.0,0.0,142.0,1.0,0.0,0.0,1.0,4.0,63.0,4.0,4.0,0.0,1.0,0.0,7.0,18.0,3.0,112.0,350.0,2.0,0.0,0.0,8.0,7.0,5.0,2.0,3.0,34.0,23.0,2.0,58.0,22.0,127.0,1.0,55.0,8.0,20.0,106.0,24.0,1.0,3.0,1.0,0.0,4.0,1.0,252.0,0.0,69.0,35.0,11.0,8.0,7.0,3.0,2.0,11.0,2.0,22.0,0.0,56.0,14.0,0.0,12.0,0.0,13.0,111.0
Indonesia,0.0,2.0,1.0,14.0,1.0,6.0,0.0,0.0,2.0,0.0,2.0,6.0,4.0,1.0,1.0,47.0,0.0,2169.0,0.0,0.0,31.0,20.0,114.0,5.0,2.0,69.0,0.0,8.0,0.0,0.0,1.0,0.0,33.0,4.0,0.0,13.0,0.0,15.0,8.0,0.0,7.0,7.0,2.0,1.0,22.0,53.0,25.0,11.0,46.0,12.0,2.0,0.0,104.0,1.0,0.0,0.0,8.0,0.0,10.0,38.0,0.0,0.0,2.0,2.0,28.0,39.0,6.0,37.0,79.0,0.0,0.0,1.0,1.0,10.0,2.0,1.0,25.0,40.0,184.0,0.0,8.0,1.0,1.0,0.0,20.0,31.0,9.0,9.0,12.0,0.0,8.0,2.0,0.0,19.0,0.0,8.0,0.0,7.0,23.0,1.0,3.0,25.0,0.0,3.0,1.0,0.0,87.0,0.0,21.0,6.0,0.0,1.0,0.0,1.0,28.0
Romania,0.0,17.0,1.0,68.0,1.0,162.0,9.0,0.0,3.0,0.0,18.0,0.0,3.0,1.0,0.0,26.0,0.0,1151.0,0.0,3.0,12.0,19.0,1.0,4.0,0.0,18.0,5.0,18.0,4.0,0.0,2.0,0.0,38.0,1.0,0.0,0.0,0.0,39.0,5.0,1.0,1.0,22.0,0.0,0.0,7.0,26.0,22.0,2.0,13.0,8.0,0.0,0.0,152.0,0.0,0.0,0.0,2.0,1.0,7.0,12.0,11.0,0.0,11.0,1.0,6.0,3.0,0.0,21.0,19.0,0.0,0.0,0.0,0.0,264.0,0.0,2.0,18.0,27.0,24.0,1.0,26.0,9.0,2.0,0.0,11.0,10.0,78.0,30.0,66.0,0.0,4.0,1.0,0.0,5.0,0.0,95.0,0.0,11.0,6.0,0.0,4.0,12.0,0.0,108.0,0.0,1.0,88.0,0.0,15.0,36.0,0.0,36.0,0.0,3.0,3.0
Austria,0.0,1.0,1.0,48.0,1.0,12.0,4.0,0.0,3.0,0.0,5.0,3.0,7.0,12.0,3.0,11.0,1.0,981.0,1.0,1.0,9.0,3.0,13.0,19.0,0.0,14.0,0.0,15.0,2.0,0.0,4.0,2.0,20.0,0.0,0.0,0.0,0.0,7.0,22.0,3.0,23.0,1.0,2.0,0.0,26.0,21.0,26.0,3.0,18.0,19.0,0.0,0.0,135.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,4.0,0.0,24.0,0.0,14.0,29.0,0.0,37.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,7.0,31.0,6.0,5.0,0.0,8.0,15.0,3.0,0.0,1.0,12.0,7.0,14.0,24.0,0.0,2.0,1.0,2.0,2.0,1.0,4.0,0.0,20.0,8.0,0.0,1.0,8.0,5.0,2.0,2.0,0.0,4.0,0.0,15.0,16.0,0.0,6.0,0.0,0.0,16.0
Guinea-Bissau,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,0.0,7.0,0.0,121.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,2.0,0.0,354.0,7.0,0.0,13.0,5.0,0.0,7.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,23.0,53.0,0.0,15.0,0.0,0.0,0.0,41.0,21.0,19.0,0.0,5.0,2.0,0.0,0.0,135.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,8.0,0.0,9.0,1.0,1.0,0.0,1.0,1.0,8.0,4.0,19.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,8.0,2.0,6.0,1.0,1.0,9.0,1.0,2.0,1.0,0.0,2.0,6.0,4.0,1.0
Rwanda,0.0,1.0,9.0,68.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,9.0,1.0,3.0,0.0,123.0,0.0,1.0,6.0,2.0,1.0,45.0,1.0,66.0,1.0,6.0,0.0,7.0,1.0,0.0,17.0,0.0,0.0,14.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,4.0,0.0,32.0,0.0,0.0,2.0,1.0,2.0,6.0,0.0,6.0,0.0,2.0,0.0,0.0,38.0,27.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,2.0,1.0,5.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,6.0,0.0,1.0,6.0,0.0,1.0,4.0,8.0,0.0,9.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,8.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0
Philippines,0.0,8.0,1.0,63.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,40.0,3.0,43.0,0.0,1065.0,0.0,0.0,7.0,3.0,140.0,1.0,1.0,62.0,0.0,150.0,2.0,0.0,1.0,1.0,9.0,1.0,0.0,1.0,0.0,45.0,11.0,0.0,1.0,7.0,0.0,0.0,4.0,25.0,6.0,1.0,2.0,5.0,3.0,0.0,50.0,0.0,0.0,0.0,2.0,0.0,6.0,76.0,0.0,0.0,0.0,0.0,8.0,14.0,4.0,55.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,10.0,17.0,0.0,35.0,14.0,0.0,0.0,2.0,13.0,11.0,23.0,4.0,27.0,1.0,23.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,33.0,11.0,0.0,0.0,0.0,3.0,14.0
Comoros,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,41.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,19.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,16.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0
Saudi Arabia,0.0,2.0,0.0,5.0,1.0,2.0,7.0,0.0,0.0,0.0,3.0,2.0,0.0,21.0,1.0,13.0,0.0,694.0,0.0,0.0,6.0,3.0,8.0,54.0,0.0,25.0,1.0,162.0,0.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,1.0,57.0,22.0,1.0,5.0,2.0,0.0,0.0,3.0,4.0,2.0,3.0,3.0,4.0,0.0,0.0,65.0,0.0,0.0,1.0,3.0,2.0,10.0,0.0,3.0,1.0,2.0,0.0,41.0,6.0,1.0,52.0,55.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,8.0,2.0,6.0,1.0,3.0,0.0,1.0,1.0,2.0,5.0,12.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,10.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,49.0,0.0,10.0,8.0,0.0,0.0,0.0,9.0,2.0
Pakistan,0.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,156.0,3.0,20.0,6.0,462.0,0.0,0.0,3.0,3.0,648.0,35.0,0.0,68.0,2.0,21.0,1.0,1.0,1.0,0.0,14.0,0.0,0.0,2.0,1.0,32.0,15.0,0.0,3.0,3.0,4.0,0.0,21.0,21.0,30.0,7.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,13.0,14.0,5.0,0.0,1.0,1.0,0.0,4.0,460.0,0.0,270.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,12.0,345.0,1.0,5.0,4.0,2.0,0.0,7.0,2.0,5.0,7.0,7.0,0.0,43.0,1.0,0.0,4.0,0.0,3.0,0.0,17.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,37.0,0.0,463.0,5.0,9.0,2.0,0.0,10.0,24.0
Djibouti,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
Somalia,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,40.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,1.0,8.0,6.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0
Singapore,0.0,1.0,1.0,40.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,22.0,0.0,869.0,0.0,0.0,145.0,1.0,29.0,5.0,0.0,14.0,0.0,32.0,0.0,0.0,6.0,1.0,8.0,0.0,0.0,0.0,1.0,21.0,5.0,0.0,6.0,2.0,1.0,6.0,2.0,10.0,5.0,0.0,3.0,3.0,0.0,0.0,76.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,1.0,12.0,7.0,3.0,0.0,5.0,32.0,1.0,0.0,0.0,6.0,20.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,5.0,0.0,1.0,0.0,2.0,24.0
Greenland,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Zambia,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Cambodia,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,2.0,0.0,440.0,0.0,0.0,2.0,1.0,10.0,0.0,1.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0
Sudan,0.0,5.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,15.0,1.0,13.0,27.0,4.0,3.0,82.0,0.0,0.0,0.0,0.0,61.0,47.0,1.0,710.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,42.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,20.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,187.0,46.0,60.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,27.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,7.0,0.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,18.0,17.0,3.0,11.0,0.0,24.0,28.0
Ireland,0.0,1.0,2.0,350.0,1.0,6.0,7.0,0.0,4.0,0.0,1.0,3.0,11.0,6.0,1.0,34.0,0.0,1731.0,0.0,5.0,16.0,1.0,1.0,0.0,0.0,22.0,3.0,27.0,4.0,0.0,0.0,0.0,58.0,2.0,0.0,0.0,2.0,88.0,9.0,8.0,17.0,2.0,0.0,1.0,20.0,8.0,72.0,0.0,10.0,10.0,2.0,0.0,367.0,0.0,0.0,0.0,3.0,0.0,5.0,3.0,1.0,0.0,21.0,0.0,7.0,6.0,3.0,42.0,97.0,1.0,0.0,0.0,16.0,3.0,1.0,0.0,7.0,6.0,10.0,3.0,3.0,78.0,1.0,0.0,9.0,3.0,43.0,38.0,58.0,0.0,1.0,9.0,0.0,6.0,2.0,7.0,0.0,58.0,7.0,4.0,0.0,12.0,1.0,7.0,1.0,1.0,21.0,0.0,21.0,1.0,0.0,6.0,0.0,3.0,8.0
Gambia,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,46.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Chad,0.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,11.0,0.0,185.0,0.0,0.0,2.0,0.0,1.0,6.0,3.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,0.0,12.0,7.0,1.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,36.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,4.0,10.0,0.0,3.0,17.0,0.0,0.0,2.0,1.0,26.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,7.0,33.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,0.0,13.0,1.0,1.0,0.0,0.0,6.0,1.0
Malawi,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,189.0,1.0,1.0,0.0,81.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,7.0,1.0,33.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,46.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0
