,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
United Kingdom,2.0,21.0,9.0,2181.0,14.0,47.0,11.0,7.0,96.0,13.0,73.0,21.0,90.0,44.0,50.0,306.0,6.0,12150.0,8.0,12.0,285.0,86.0,55.0,497.0,7.0,284.0,11.0,313.0,15.0,0.0,143.0,4.0,175.0,2.0,0.0,14.0,14.0,481.0,88.0,8.0,159.0,55.0,18.0,1.0,246.0,206.0,382.0,4.0,293.0,90.0,6.0,4.0,2117.0,5.0,0.0,16.0,59.0,11.0,144.0,20.0,20.0,2.0,55.0,1.0,73.0,163.0,24.0,314.0,136.0,8.0,0.0,2.0,231.0,52.0,11.0,23.0,96.0,154.0,213.0,10.0,27.0,301.0,16.0,6.0,84.0,60.0,73.0,210.0,147.0,1.0,31.0,41.0,0.0,85.0,23.0,145.0,0.0,215.0,104.0,84.0,58.0,48.0,7.0,5.0,7.0,39.0,174.0,0.0,165.0,72.0,1.0,4.0,0.0,30.0,100.0
Ghana,3.0,0.0,5.0,17.0,0.0,3.0,1.0,11.0,4.0,2.0,8.0,36.0,2.0,16.0,1.0,14.0,0.0,669.0,0.0,1.0,5.0,6.0,65.0,0.0,4.0,186.0,2.0,30.0,3.0,0.0,0.0,0.0,22.0,0.0,0.0,17.0,20.0,30.0,11.0,0.0,4.0,8.0,2.0,2.0,5.0,44.0,15.0,2.0,16.0,12.0,9.0,1.0,31.0,1.0,0.0,6.0,0.0,2.0,19.0,0.0,0.0,0.0,2.0,0.0,16.0,111.0,127.0,26.0,10.0,0.0,0.0,2.0,1.0,0.0,15.0,0.0,10.0,3.0,38.0,0.0,25.0,13.0,0.0,0.0,5.0,6.0,13.0,27.0,8.0,0.0,9.0,23.0,0.0,3.0,8.0,8.0,1.0,8.0,6.0,2.0,2.0,5.0,6.0,0.0,0.0,1.0,21.0,1.0,71.0,11.0,0.0,0.0,1.0,72.0,87.0
South Africa,3.0,0.0,1.0,166.0,3.0,0.0,7.0,0.0,2.0,2.0,1.0,0.0,3.0,39.0,7.0,31.0,2.0,979.0,0.0,0.0,8.0,7.0,6.0,3.0,0.0,90.0,0.0,31.0,1.0,0.0,0.0,1.0,69.0,4.0,0.0,2.0,0.0,23.0,12.0,0.0,6.0,0.0,1.0,0.0,4.0,14.0,4.0,7.0,3.0,0.0,1.0,0.0,58.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,55.0,18.0,194.0,4.0,0.0,0.0,0.0,8.0,0.0,2.0,17.0,6.0,22.0,5.0,1.0,11.0,5.0,3.0,0.0,13.0,1.0,64.0,21.0,5.0,1.0,4.0,3.0,0.0,3.0,2.0,8.0,0.0,5.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,85.0,0.0,24.0,2.0,1.0,2.0,0.0,10.0,14.0
Spain,60.0,17.0,4.0,1050.0,6.0,240.0,133.0,9.0,37.0,65.0,34.0,48.0,134.0,36.0,13.0,210.0,1.0,9684.0,0.0,2.0,92.0,58.0,81.0,179.0,1.0,469.0,34.0,108.0,10.0,1.0,42.0,8.0,166.0,18.0,0.0,12.0,4.0,278.0,77.0,12.0,95.0,77.0,16.0,4.0,73.0,373.0,461.0,19.0,644.0,159.0,0.0,0.0,536.0,1.0,7.0,2.0,93.0,91.0,90.0,12.0,39.0,2.0,28.0,5.0,46.0,126.0,78.0,207.0,229.0,0.0,0.0,0.0,10.0,29.0,5.0,3.0,67.0,80.0,105.0,11.0,126.0,45.0,9.0,0.0,151.0,23.0,36.0,465.0,422.0,1.0,176.0,19.0,0.0,47.0,31.0,923.0,4.0,349.0,137.0,39.0,17.0,75.0,4.0,37.0,51.0,2.0,293.0,0.0,48.0,47.0,4.0,222.0,0.0,41.0,207.0
Norway,3.0,2.0,0.0,71.0,0.0,2.0,1.0,0.0,9.0,0.0,0.0,1.0,4.0,9.0,0.0,4.0,0.0,357.0,0.0,1.0,7.0,3.0,4.0,8.0,0.0,17.0,8.0,10.0,1.0,0.0,17.0,0.0,13.0,0.0,0.0,1.0,0.0,16.0,0.0,1.0,3.0,0.0,0.0,0.0,22.0,20.0,33.0,0.0,8.0,1.0,1.0,0.0,67.0,0.0,0.0,0.0,14.0,1.0,8.0,2.0,6.0,0.0,9.0,0.0,6.0,6.0,0.0,42.0,0.0,1.0,0.0,0.0,14.0,12.0,0.0,0.0,4.0,0.0,8.0,0.0,3.0,55.0,1.0,0.0,1.0,0.0,6.0,3.0,71.0,10.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,18.0,8.0,3.0,2.0,5.0,0.0,3.0,0.0,0.0,16.0,9.0,2.0,5.0,2.0,0.0,0.0,7.0,14.0
Japan,7.0,8.0,5.0,576.0,2.0,15.0,4.0,1.0,22.0,7.0,28.0,11.0,6.0,12.0,12.0,94.0,0.0,4243.0,1.0,1.0,68.0,61.0,54.0,10.0,0.0,80.0,5.0,121.0,276.0,1.0,10.0,2.0,128.0,3.0,0.0,15.0,2.0,267.0,23.0,0.0,10.0,11.0,2.0,1.0,10.0,47.0,68.0,29.0,107.0,68.0,1.0,1.0,265.0,8.0,4.0,196.0,24.0,2.0,14.0,2.0,2.0,0.0,11.0,0.0,34.0,53.0,4.0,126.0,15.0,2.0,1.0,0.0,14.0,45.0,7.0,2.0,30.0,164.0,14.0,1.0,19.0,74.0,7.0,1.0,31.0,20.0,36.0,35.0,48.0,1.0,2.0,9.0,0.0,14.0,7.0,16.0,0.0,153.0,118.0,9.0,2.0,9.0,0.0,5.0,1.0,0.0,62.0,0.0,9.0,28.0,0.0,9.0,0.0,38.0,67.0
Namibia,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,14.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0
Peru,2.0,0.0,2.0,379.0,1.0,8.0,6.0,0.0,5.0,5.0,2.0,8.0,1.0,5.0,0.0,31.0,0.0,1850.0,1.0,0.0,3.0,4.0,135.0,11.0,2.0,13.0,0.0,16.0,1.0,0.0,3.0,2.0,23.0,2.0,0.0,4.0,0.0,13.0,0.0,2.0,1.0,10.0,5.0,0.0,35.0,51.0,18.0,1.0,18.0,1.0,1.0,0.0,103.0,0.0,2.0,0.0,6.0,8.0,17.0,2.0,0.0,1.0,8.0,0.0,7.0,22.0,4.0,98.0,22.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,5.0,15.0,41.0,0.0,82.0,5.0,5.0,1.0,43.0,8.0,7.0,52.0,25.0,0.0,7.0,9.0,0.0,2.0,2.0,186.0,1.0,22.0,15.0,0.0,14.0,3.0,0.0,0.0,3.0,2.0,32.0,0.0,24.0,15.0,0.0,0.0,0.0,12.0,60.0
Iceland,4.0,0.0,0.0,50.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,193.0,2.0,0.0,4.0,10.0,1.0,1.0,0.0,14.0,0.0,3.0,1.0,0.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,7.0,6.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,11.0
Italy,91.0,17.0,5.0,485.0,9.0,135.0,197.0,2.0,43.0,26.0,27.0,60.0,49.0,18.0,13.0,244.0,1.0,23109.0,0.0,0.0,86.0,298.0,107.0,32.0,1.0,208.0,43.0,74.0,27.0,0.0,49.0,35.0,405.0,2.0,0.0,22.0,2.0,280.0,102.0,5.0,11.0,76.0,3.0,1.0,53.0,291.0,704.0,7.0,690.0,786.0,14.0,0.0,669.0,2.0,7.0,0.0,462.0,16.0,78.0,10.0,186.0,0.0,14.0,1.0,56.0,117.0,9.0,393.0,286.0,8.0,1.0,0.0,31.0,90.0,10.0,40.0,267.0,65.0,142.0,11.0,13.0,415.0,15.0,1.0,102.0,228.0,154.0,296.0,266.0,5.0,118.0,13.0,0.0,25.0,7.0,207.0,3.0,124.0,79.0,37.0,78.0,68.0,12.0,51.0,4.0,2.0,63.0,0.0,78.0,94.0,0.0,252.0,1.0,22.0,116.0
